Domain,Is spam,DR,Dofollow ref. domains,Dofollow linked domains,"Traffic ","Keywords ",Links to target,New links,Lost links,Dofollow links,First seen,Lost
itxoft.com,true,83,2535,7,0,0,1,0,1,0,2025-02-26 22:39:47,2026-04-22 08:41:11
uba.ar,false,81,28037,18902,490932,48358,1,0,0,0,2026-03-04 03:22:00,
adevarul.ro,false,77,13737,2590,702506,50885,2,0,0,2,2025-11-01 18:31:25,
hotnews.ro,false,76,10741,27575,666020,23218,1,0,0,1,2024-06-27 10:41:39,
stirileprotv.ro,false,75,9906,18723,1642344,49338,1,0,0,1,2024-11-18 16:56:27,
rankyour.website,true,74,150,998,0,0,1,0,0,0,2025-12-22 07:37:21,
mediafax.ro,false,74,7466,13558,581395,14356,1,0,0,1,2025-03-07 10:18:42,
ziare.com,false,73,6915,24152,521003,16805,1,0,0,1,2025-07-01 09:03:17,
tvr.ro,false,73,4512,1839,63998,3227,4,0,0,4,2024-12-31 23:17:24,
seoexpress.org,true,73,1345,7,0,0,1,1,1,0,2026-03-30 15:28:49,2026-04-06 21:55:46
buybacklinks.agency,true,72,418,998,0,0,1,1,0,0,2026-05-01 15:09:10,
evz.ro,false,71,5907,16923,185808,9480,1,0,0,1,2024-06-27 18:44:28,
capital.ro,false,71,3971,13870,43194,2532,1,0,0,1,2025-06-24 04:28:36,
gandul.ro,false,71,5716,11635,215817,8725,1,0,0,1,2024-11-17 16:24:47,
jurnalul.ro,false,70,5098,10618,103043,11808,1,0,0,1,2024-12-16 10:34:57,
observatornews.ro,false,70,4357,7190,94957,11385,1,0,0,1,2024-10-11 05:53:20,
stiripesurse.ro,false,69,3935,7792,795357,4814,1,0,0,1,2025-10-10 18:11:33,
cotidianul.ro,false,66,3088,6963,42937,1029,1,0,0,1,2024-12-25 07:51:09,
prosport.ro,false,66,5108,7026,839180,11051,1,0,0,1,2024-08-28 11:33:58,
rank-top.click,true,63,127,998,0,0,1,0,0,0,2026-03-24 08:32:48,
sport.ro,false,62,3375,4455,1219752,12818,1,0,0,1,2025-03-26 23:46:41,
spotmedia.ro,false,61,3513,12017,228291,6999,1,0,0,1,2025-02-03 18:46:10,
tvrinfo.ro,false,61,2173,1693,53527,4483,1,0,0,1,2025-05-17 23:25:45,
newsweek.ro,false,60,3025,7103,106997,6296,1,0,0,1,2024-11-25 16:24:12,
gds.ro,false,59,2191,5765,34091,1491,1,0,0,1,2024-08-28 18:19:10,
ziuaconstanta.ro,false,58,2179,6072,17014,2298,2,0,0,2,2024-08-28 09:05:10,
money.ro,false,56,2230,8789,9679,1279,1,0,0,1,2024-06-26 14:12:13,
business24.ro,false,56,1138,7600,1490,465,1,0,0,1,2024-06-20 19:39:31,
linkrankpro.shop,true,54,144,998,0,0,1,1,0,0,2026-05-05 01:21:37,
ziarulevenimentul.ro,false,54,1204,6955,13707,275,1,0,0,1,2025-07-02 02:52:24,
rankxlinks.shop,true,54,108,998,0,0,1,1,0,0,2026-05-05 05:10:09,
ranklinkerpro.shop,true,54,105,2,0,0,1,1,0,0,2026-06-04 21:29:40,
seorankflow.shop,true,54,98,2,0,0,1,1,0,0,2026-05-29 21:46:52,
buyseobacklinks.shop,true,54,96,998,0,0,1,1,0,0,2026-05-28 00:10:12,
authoritybacklinks.shop,true,53,119,998,0,0,1,1,0,0,2026-05-10 19:48:21,
as.ro,false,53,1562,2941,110856,7142,1,0,0,1,2024-10-22 15:39:31,
backlinker.shop,true,52,590,0,0,0,1,0,0,0,2025-09-24 17:42:18,
pbnseolinks.shop,true,52,233,998,0,0,1,1,0,0,2026-05-08 10:54:30,
linkrankboost.shop,true,52,137,999,0,0,1,1,0,0,2026-05-13 10:50:58,
linkseopro.shop,true,52,202,998,0,0,1,1,0,0,2026-05-10 02:01:12,
seolinkpro.shop,true,52,122,998,0,0,1,1,0,0,2026-05-08 11:24:12,
premiumseolinks.shop,true,52,124,998,0,0,1,1,0,0,2026-05-08 04:30:59,
ranklinkpro.shop,true,52,122,998,0,0,1,1,0,0,2026-05-04 13:16:02,
ranklinkx.shop,true,52,112,998,0,0,1,1,0,0,2026-05-08 01:59:04,
toplinkranker.shop,true,52,118,998,0,0,1,1,0,0,2026-05-10 08:19:25,
linkrankseo.shop,true,52,99,998,0,0,1,1,0,0,2026-05-02 20:29:32,
golazo.ro,false,51,1960,3102,221592,4866,1,0,0,1,2025-07-09 04:36:46,
bistriteanul.ro,false,50,766,1829,7161,187,1,0,0,1,2024-10-07 05:15:39,
sante.gov.mg,false,50,3700,16373,107,103,3,0,0,0,2025-12-14 00:33:47,
exlinko.net,true,50,1849,0,0,0,1,0,1,0,2025-02-23 11:29:59,2026-03-29 01:42:10
drparvincarter.com,true,50,804,17648,21,3,2,0,0,0,2025-09-04 18:17:05,
bye.fyi,false,49,818,18,3,2,1,0,1,0,2026-01-07 14:41:56,2026-04-06 00:44:05
trafficspike.shop,true,48,65,0,0,0,1,1,0,0,2026-06-15 19:55:46,
ziuanews.ro,false,47,1012,1858,12016,54,1,0,0,1,2025-05-19 19:37:46,
openflightmaps.org,false,47,850,27,10,9,1,0,0,0,2025-09-20 05:03:31,
creativeposts.top,true,44,148,18,0,0,2,0,0,0,2026-01-08 15:10:56,
rikor.com,true,43,4241,102228,620,54,3,1,1,0,2025-09-19 19:44:19,
atomizelink.icu,true,42,523,18,0,0,1,0,0,0,2026-02-03 13:36:56,
chaboclubedobrasil.com.br,true,42,2481,2,0,0,1,0,1,0,2026-01-13 00:40:24,2026-04-30 17:36:48
kupangkota.go.id,true,42,4350,59780,8257,670,2,0,0,0,2025-08-28 03:45:01,
bugetul.ro,false,42,957,2875,6676,491,1,0,0,1,2024-06-26 23:34:17,
blogsphere.top,true,41,78,18,0,0,1,0,0,0,2025-12-23 17:50:13,
metamagic.top,true,41,111,18,0,0,1,0,0,0,2026-02-27 03:58:18,
orangesport.ro,false,41,947,1248,62685,1719,1,0,0,1,2024-10-09 17:27:23,
heroes.app,false,41,4629,11514,7,3,1,1,0,0,2026-05-01 17:02:33,
byteshort.xyz,true,41,168,18,0,0,1,1,0,0,2026-03-29 07:49:51,
screenshots.wiki,true,41,134,47,0,0,2,1,1,0,2026-02-19 14:26:22,
primasport.ro,false,40,610,1386,98814,2833,1,0,0,1,2024-06-26 19:55:49,
timponline.ro,false,40,676,2013,14697,190,1,0,0,1,2024-12-07 20:18:55,
comunic.ro,false,39,324,1289,85,34,1,0,0,1,2025-10-28 16:48:43,
jake.eu,true,39,155,1275,0,0,1,0,0,0,2026-03-20 15:14:34,
1616.ro,false,38,828,2276,464,70,1,0,0,1,2024-06-27 02:22:13,
pandurul.ro,false,38,629,1344,24483,194,3,0,0,3,2024-12-19 21:54:37,
mesagerulneamt.ro,false,38,555,1892,15002,184,1,0,0,1,2025-06-25 03:00:52,
jurnaluldearges.ro,false,37,560,1893,15732,346,1,0,0,1,2024-11-25 15:52:05,
prolinkbox.com,true,36,532,0,0,0,1,0,1,0,2025-07-24 20:58:37,2026-03-29 09:54:56
doctorsacademy.org.uk,true,36,1087,16224,80,53,1,1,0,0,2026-03-29 02:52:25,
haus-xxl.de,true,35,2376,53294,389,313,2,0,0,0,2025-09-29 05:28:13,
ctnews.ro,false,33,380,504,919,223,1,0,0,1,2024-08-30 20:03:33,
sptfm.ro,false,32,617,207,1158,164,1,0,0,1,2025-05-20 11:29:44,
radioimpuls.ro,false,32,822,1321,118453,5072,1,0,0,1,2024-09-24 15:21:18,
processus.edu.br,false,31,1376,6104,4837,656,1,0,1,0,2025-10-08 21:23:44,2026-04-21 08:39:56
onlinegroup.no,true,31,3218,11869,0,0,1,0,0,0,2025-10-23 18:03:50,
practicar.ca,true,30,496,10912,442,46,2,0,2,0,2025-08-29 23:25:34,2026-04-11 02:46:09
seo-high-ranking.shop,true,30,1343,237,0,0,1,1,0,0,2026-04-19 00:11:14,
scmoatti.com,false,30,1629,1246,44,16,1,1,0,0,2026-06-21 06:44:48,
brasov.net,false,30,541,767,2413,563,1,0,0,1,2024-08-28 12:20:54,
bzc.ro,false,30,411,1733,313,42,1,0,0,1,2024-08-27 17:03:32,
thebacklink.shop,true,29,865,240,0,0,1,1,0,0,2026-04-16 09:29:38,
seoexpress.website,true,29,889,247,0,0,1,1,0,0,2026-05-02 08:42:22,
seoexpress.site,true,29,875,240,0,0,1,1,0,0,2026-05-10 00:34:46,
123webshop.shop,true,29,872,237,0,0,1,1,0,0,2026-05-02 00:50:31,
theseohighranking.shop,true,29,872,237,0,0,1,1,0,0,2026-04-27 23:00:23,
thetoprankingseo.shop,true,29,859,240,0,0,1,1,0,0,2026-05-01 21:13:45,
seohighranking.shop,true,29,860,237,0,0,1,1,0,0,2026-05-22 16:54:17,
highseoranking.shop,true,29,877,237,0,0,1,1,0,0,2026-04-29 13:12:07,
therankboostseo.shop,true,29,876,247,0,0,1,1,0,0,2026-05-02 17:12:22,
rankinghighseo.shop,true,29,939,237,0,0,2,2,0,0,2026-05-04 22:35:51,
theseomasterhigh.shop,true,29,860,237,0,0,1,1,0,0,2026-04-30 09:08:23,
activeshop.shop,true,29,969,240,0,0,1,1,0,0,2026-04-20 06:30:40,
seoexpress.store,true,29,870,237,0,0,1,1,0,0,2026-04-30 10:47:33,
thehighseo.shop,true,29,878,237,0,0,1,1,0,0,2026-05-07 04:17:20,
therankinghighseo.shop,true,29,877,240,0,0,1,1,0,0,2026-04-16 20:15:10,
theguestposts.shop,true,29,874,237,0,0,1,1,0,0,2026-05-05 00:25:47,
kawaiishop.shop,true,29,875,237,0,0,1,1,0,0,2026-05-09 11:07:40,
theguestpost.shop,true,29,873,250,0,0,1,1,0,0,2026-05-22 13:35:54,
theseorankinghigh.shop,true,29,871,237,0,0,1,1,0,0,2026-05-02 15:59:17,
mysky-shop.shop,true,29,871,237,0,0,1,1,0,0,2026-04-21 15:48:56,
ekenkoshop.shop,true,29,875,240,0,0,1,1,0,0,2026-05-03 21:07:20,
seoexpress.space,true,29,865,237,0,0,1,1,0,0,2026-05-02 10:10:59,
thebacklinks.shop,true,29,869,247,0,0,1,1,0,0,2026-04-16 15:04:25,
lixil-reformshop.shop,true,29,864,237,0,0,1,1,0,0,2026-05-02 05:25:52,
shopbetreiber-blog.shop,true,29,874,241,0,0,1,1,0,0,2026-05-15 04:31:15,
seorankinghigh.shop,true,29,864,237,0,0,1,1,0,0,2026-06-03 07:42:24,
