Domain,Is spam,DR,Dofollow ref. domains,Dofollow linked domains,"Traffic ","Keywords ",Links to target,New links,Lost links,Dofollow links,First seen,Lost
web.app,false,91,71511,938555,1087451,18652,7,7,0,7,2026-05-08 11:37:38,
itxoft.com,true,83,2535,7,0,0,1,0,1,0,2025-02-26 21:56:22,2026-04-22 20:50:43
timesofmalta.com,false,78,19491,7161,452703,11466,1,0,0,1,2025-09-30 19:39:31,
adevarul.ro,false,77,13737,2590,702506,50885,2,0,0,2,2022-12-11 07:35:51,
hotnews.ro,false,76,10741,27575,666020,23218,1,0,0,1,2024-07-01 20:48:42,
stirileprotv.ro,false,75,9906,18723,1642344,49338,3,0,0,3,2022-09-07 21:00:32,
rankyour.website,true,74,150,998,0,0,1,0,0,0,2025-12-22 00:31:57,
ziare.com,false,73,6915,24152,521003,16805,1,0,0,1,2025-10-10 15:23:34,
seoexpress.org,true,73,1345,7,0,0,1,1,1,0,2026-03-30 19:48:59,2026-04-07 02:05:36
profit.ro,false,72,3732,5643,83470,6244,1,0,0,1,2024-08-08 14:34:14,
buybacklinks.agency,true,72,418,998,0,0,1,1,0,0,2026-05-08 06:14:17,
evz.ro,false,71,5907,16923,185808,9480,2,0,0,2,2022-12-11 23:22:16,
siteprice.org,false,71,9171,60,17271,5078,19,5,5,0,2025-07-18 14:55:09,
capital.ro,false,71,3971,13870,43194,2532,3,0,0,3,2019-03-11 00:00:23,
gandul.ro,false,71,5716,11635,215817,8725,1,0,0,1,2024-05-02 20:30:32,
kingranks.com,true,71,4927,6201717,0,0,2,0,0,2,2024-07-24 06:47:00,
realitatea.net,false,70,6038,3536,119227,1556,1,0,1,1,2022-10-20 20:44:18,2026-04-26 03:53:23
economica.net,false,70,3283,5715,76103,8425,1,0,0,1,2023-03-04 12:02:39,
jurnalul.ro,false,70,5098,10618,103043,11808,6,0,0,6,2022-09-21 14:10:52,
observatornews.ro,false,70,4357,7190,94957,11385,1,0,0,1,2022-12-20 01:06:44,
stiripesurse.ro,false,69,3935,7792,795357,4814,2,0,0,2,2025-09-24 19:45:55,
articlement.com,true,69,4005,6092005,0,0,1,0,0,1,2025-02-25 17:32:18,
protv.ro,false,69,6130,8578,561901,17149,1,0,0,1,2023-11-03 14:01:16,
startupcafe.ro,false,66,2047,5430,61888,2221,1,0,0,1,2025-03-05 08:54:20,
sitelike.org,false,66,9673,22,4977,2069,13,0,0,0,2021-01-16 15:27:07,
