Domain,Is spam,DR,Dofollow ref. domains,Dofollow linked domains,"Traffic ","Keywords ",Links to target,New links,Lost links,Dofollow links,First seen,Lost
youtube.com,false,99,12470241,136902,2628014848,157697225,10,0,0,1,2026-01-19 23:51:01,
goo.gl,false,97,3511227,0,99877,22437,1,1,0,1,2026-06-16 08:57:35,
wikipedia.org,false,97,3904564,247376,4173217024,72996419,5,1,0,0,2019-06-13 20:19:58,
t.me,false,97,1939733,548160,31322366,427589,20,0,0,20,2026-03-21 05:39:44,
web.app,false,91,71511,938555,1087451,18652,51,51,0,51,2026-04-30 05:38:23,
firebaseapp.com,true,88,19412,673225,1544592,4596,6,0,0,6,2025-12-15 14:21:23,
softpedia.com,false,86,37644,98101,243966,36236,1,0,0,1,2019-01-06 07:38:21,
itxoft.com,true,83,2535,7,0,0,1,0,1,0,2025-03-07 00:08:29,2026-04-10 03:57:58
adevarul.ro,false,77,13737,2590,702506,50885,2,0,0,2,2025-06-18 12:19:33,
rankyour.website,true,74,150,998,0,0,1,1,0,0,2026-04-26 02:01:41,
factmags.com,true,74,5183,39241247,0,0,1,1,0,0,2026-05-07 10:49:58,
ziare.com,false,73,6915,24152,521003,16805,3,0,0,3,2021-02-03 17:21:16,
seoexpress.org,true,73,1345,7,0,0,1,1,1,0,2026-04-04 03:11:42,2026-04-09 12:31:09
buybacklinks.agency,true,72,418,998,0,0,1,1,0,0,2026-04-13 16:19:38,
evz.ro,false,71,5907,16923,185808,9480,4,0,0,3,2018-11-14 13:44:49,
siteprice.org,false,71,9171,60,17271,5078,23,12,4,0,2025-07-09 12:45:46,
capital.ro,false,71,3971,13870,43194,2532,3,0,0,2,2018-12-13 22:08:33,
kingranks.com,true,71,4927,6201717,0,0,2,1,0,2,2025-02-26 00:25:39,
economica.net,false,70,3283,5715,76103,8425,4,0,0,1,2019-02-26 08:47:54,
stiripesurse.ro,false,69,3935,7792,795357,4814,1,0,0,1,2025-10-07 20:38:50,
