Keyword,SERP features,Volume,KD,CPC,legalbet.ro/: URL,legalbet.ro/: Organic Position,legalbet.ro/: Organic Traffic,legalbet.ro/: Ad title,legalbet.ro/: Ad display URL,legalbet.ro/: Ad description,legalbet.ro/: Ad block,legalbet.ro/: Ad position,legalbet.ro/: Paid traffic,pariurix.com/: URL,pariurix.com/: Organic Position,pariurix.com/: Organic Traffic,pariurix.com/: Ad title,pariurix.com/: Ad display URL,pariurix.com/: Ad description,pariurix.com/: Ad block,pariurix.com/: Ad position,pariurix.com/: Paid traffic,beturi.ro/: URL,beturi.ro/: Organic Position,beturi.ro/: Organic Traffic,beturi.ro/: Ad title,beturi.ro/: Ad display URL,beturi.ro/: Ad description,beturi.ro/: Ad block,beturi.ro/: Ad position,beturi.ro/: Paid traffic,pontul-zilei.com/: URL,pontul-zilei.com/: Organic Position,pontul-zilei.com/: Organic Traffic,pontul-zilei.com/: Ad title,pontul-zilei.com/: Ad display URL,pontul-zilei.com/: Ad description,pontul-zilei.com/: Ad block,pontul-zilei.com/: Ad position,pontul-zilei.com/: Paid traffic,10pariuri.ro/: URL,10pariuri.ro/: Organic Position,10pariuri.ro/: Organic Traffic,10pariuri.ro/: Ad title,10pariuri.ro/: Ad display URL,10pariuri.ro/: Ad description,10pariuri.ro/: Ad block,10pariuri.ro/: Ad position,10pariuri.ro/: Paid traffic,biletu-zilei.com/: URL,biletu-zilei.com/: Organic Position,biletu-zilei.com/: Organic Traffic,biletu-zilei.com/: Ad title,biletu-zilei.com/: Ad display URL,biletu-zilei.com/: Ad description,biletu-zilei.com/: Ad block,biletu-zilei.com/: Ad position,biletu-zilei.com/: Paid traffic,supercazino.ro/: URL,supercazino.ro/: Organic Position,supercazino.ro/: Organic Traffic,supercazino.ro/: Ad title,supercazino.ro/: Ad display URL,supercazino.ro/: Ad description,supercazino.ro/: Ad block,supercazino.ro/: Ad position,supercazino.ro/: Paid traffic,jucatorul.ro/: URL,jucatorul.ro/: Organic Position,jucatorul.ro/: Organic Traffic,jucatorul.ro/: Ad title,jucatorul.ro/: Ad display URL,jucatorul.ro/: Ad description,jucatorul.ro/: Ad block,jucatorul.ro/: Ad position,jucatorul.ro/: Paid traffic,xbets.ro/: URL,xbets.ro/: Organic Position,xbets.ro/: Organic Traffic,xbets.ro/: Ad title,xbets.ro/: Ad display URL,xbets.ro/: Ad description,xbets.ro/: Ad block,xbets.ro/: Ad position,xbets.ro/: Paid traffic,pariuri1x2.ro/: URL,pariuri1x2.ro/: Organic Position,pariuri1x2.ro/: Organic Traffic,pariuri1x2.ro/: Ad title,pariuri1x2.ro/: Ad display URL,pariuri1x2.ro/: Ad description,pariuri1x2.ro/: Ad block,pariuri1x2.ro/: Ad position,pariuri1x2.ro/: Paid traffic,casepariurionline.ro/: URL,casepariurionline.ro/: Organic Position,casepariurionline.ro/: Organic Traffic,casepariurionline.ro/: Ad title,casepariurionline.ro/: Ad display URL,casepariurionline.ro/: Ad description,casepariurionline.ro/: Ad block,casepariurionline.ro/: Ad position,casepariurionline.ro/: Paid traffic,case-pariuri.ro/: URL,case-pariuri.ro/: Organic Position,case-pariuri.ro/: Organic Traffic,case-pariuri.ro/: Ad title,case-pariuri.ro/: Ad display URL,case-pariuri.ro/: Ad description,case-pariuri.ro/: Ad block,case-pariuri.ro/: Ad position,case-pariuri.ro/: Paid traffic,Updated
superbet,"Sitelinks, Video preview",1430000,44,0.53,,,,,,,,,,,,,,,,,,,https://beturi.ro/ghid-casino/metode-de-plata-superbet/,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 11:58:47
poziții superliga,"Knowledge panel, Video preview",517000,45,1.65,,,,,,,,,,,,,,,,,,,https://beturi.ro/clasament-rezultate-fotbal-top-campionate/,29,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/pozitii-superliga/,10,12716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26 02:24:29
totogaming,Sitelinks,195000,53,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/totogaming/,5,1,,,,,,,https://10pariuri.ro/totogaming-romania/,9,0,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/totogaming-casino/,3,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 02:36:41
vbet,,145000,3,0.74,,,,,,,,,,,,,,,,,,,https://beturi.ro/recenzie/vbet-casino/,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18 03:13:43
italia keno,,118000,47,0.39,,,,,,,,,,https://pariurix.com/casino/loto/italia-keno.html,10,0,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/loto-italia-keno-afla-acum-cand-si-unde-poti-paria/,16,0,,,,,,,https://10pariuri.ro/loto/italia-loto-keno-20-90/,19,0,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-keno-10e-20-90/,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 04:00:54
getsbet,,92000,55,0.31,,,,,,,,,,https://pariurix.com/casino/recenzii/gets-bet-casino,4,6,,,,,,,https://beturi.ro/aff/sp-getsbet/,5,0,,,,,,,https://www.pontul-zilei.com/agentie/gets-bet/,3,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 01:00:00
polonia multi,Image pack,63000,54,0.47,,,,,,,,,,https://pariurix.com/casino/loto/polonia-multi-20-80.html,20,0,,,,,,,https://beturi.ro/ghid-pariuri/polonia-multi/,16,0,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,6,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 03:17:57
888,"Sitelinks, Video preview",51000,62,0.85,,,,,,,,,,,,,,,,,,,https://beturi.ro/recenzie/888/,6,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 10:57:10
vlad casino,"Top ads, Paid sitelinks, Sitelinks",49000,30,1.58,,,,,,,,,,https://pariurix.com/casino/recenzii/vlad-cazino,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/vlad-cazino/,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 06:16:57
club superbet,Video preview,47000,49,0.48,,,,,,,,,,,,,,,,,,,https://beturi.ro/case-pariuri-oferte/superbet-club/,13,597,,,,,,,https://www.pontul-zilei.com/blog/superbet-club/,17,244,,,,,,,https://10pariuri.ro/blog/superbet-club/,16,306,,,,,,,https://biletu-zilei.com/blog-pariuri-cazino/superbet-club/,15,382,,,,,,,https://www.supercazino.ro/blog/superbet-club/,10,1165,,,,,,,https://jucatorul.ro/cazino/recenzii/superbet/club/,20,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 07:19:46
