Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
ponturi pariuri azi,RO,Romania,Romanian,,false,false,false,true,false,false,,3900,58,0.51,2712,2979,266,,1,1,,,https://biletu-zilei.com/ponturi-pariuri/,,https://biletu-zilei.com/ponturi-pariuri/,2024-06-27 07:41:08,2026-06-26 01:06:23
ponturi pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,,9100,58,0.66,2679,1697,-982,,3,4,-1,,https://biletu-zilei.com/ponturi-pariuri/,,https://biletu-zilei.com/ponturi-pariuri/,2024-06-27 18:42:40,2026-06-16 01:42:12
888 casino,RO,Romania,Romanian,888 Casino (Organization),true,false,true,true,true,true,"Sitelinks, Knowledge panel, Video preview",120000,8,1.16,1542,,,,14,,Lost,,https://biletu-zilei.com/888casino/stergere-cont-888-casino/,,,2024-06-27 20:42:35,
player casino,RO,Romania,English,,false,false,false,true,true,false,Sitelinks,15000,51,0.69,1141,1091,-50,,7,5,2,,https://biletu-zilei.com/player-casino/player-casino-aplicatie/,,https://biletu-zilei.com/aplicatii-jocuri-de-noroc/player-aplicatie/,2024-06-27 02:23:27,2026-06-21 19:18:38
strategie loto polonia 3 numere,RO,Romania,Romanian,Loto Polonia (Event),true,false,false,true,false,false,,800,28,0.50,272,950,678,,2,1,1,,https://biletu-zilei.com/loto-polonia-multi/,,https://biletu-zilei.com/loterii-internationale/strategie-polonia-3-numere/,2024-06-24 20:27:19,2026-06-05 20:45:20
10 pariuri,RO,Romania,Romanian,10pariuri (Organization),true,false,false,true,false,false,Sitelinks,3500,69,1.68,485,911,426,,3,2,1,,https://biletu-zilei.com/ponturi-pariuri/,,https://biletu-zilei.com/ponturi-pariuri/,2024-06-27 08:35:38,2026-06-19 01:38:53
biletul zilei fotbal,RO,Romania,Romanian,Biletul Zilei (Event),true,false,false,true,false,false,,900,61,0.35,929,853,-76,,1,1,,,https://biletu-zilei.com/pronosticuri-fotbal/,,https://biletu-zilei.com/pronosticuri-fotbal/,2024-06-23 16:24:55,2026-06-22 13:03:25
ponturi tenis,RO,Romania,Romanian,,false,false,false,true,true,false,,1400,3,0.79,750,732,-18,,2,2,,,https://biletu-zilei.com/ponturi-tenis/,,https://biletu-zilei.com/ponturi-tenis/,2024-06-26 12:19:33,2026-06-21 21:54:46
biletul zilei,RO,Romania,Romanian,Daily Ticket (Event),false,false,false,true,false,false,Video preview,900,64,0.39,1897,732,-1165,,3,1,2,,https://biletu-zilei.com/,,https://biletu-zilei.com/,2024-06-27 08:05:56,2026-06-24 18:59:02
fotbal la tv,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,8200,45,0.02,435,669,234,,4,4,,,https://biletu-zilei.com/fotbal-azi-la-tv/,,https://biletu-zilei.com/fotbal-azi-la-tv/,2024-06-27 10:06:47,2026-06-17 14:23:17
