Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
bonus pariuri sportive,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,400,64,6.58,,67,,,,3,New,,,,https://case-pariuri.ro/,,2026-05-23 11:13:17
bonusuri case de pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,350,61,5.46,0,53,53,,37,3,34,,https://case-pariuri.ro/,,https://case-pariuri.ro/,2024-06-24 22:03:05,2026-05-20 08:30:06
bonus pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,,400,69,6.25,,48,,,,4,New,,,,https://case-pariuri.ro/,,2026-06-24 11:50:30
bonusuri pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,200,65,6.25,,29,,,,3,New,,,,https://case-pariuri.ro/,,2026-06-14 23:00:23
bonus case de pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,200,62,5.46,0,21,21,,28,3,25,,https://case-pariuri.ro/,,https://case-pariuri.ro/,2024-06-15 23:25:25,2026-06-22 03:14:59
case de pariuri cu bonus fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,100,59,2.12,,18,,,,2,New,,,,https://case-pariuri.ro/,,2026-06-08 01:07:55
verificare bilet casa pariurilor cod scurt,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,true,true,false,false,,3400,38,0.78,,18,,,,17,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-17 01:49:59
bonus pariuri online,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,150,67,9.57,0,17,17,,54,3,51,,https://case-pariuri.ro/,,https://case-pariuri.ro/,2024-06-22 16:53:07,2026-06-14 23:41:24
case de pariuri cu bonus la inregistrare,RO,Romania,Romanian,,false,false,false,true,true,false,,150,60,6.62,0,14,14,,37,4,33,,https://case-pariuri.ro/,,https://case-pariuri.ro/,2024-06-15 20:01:51,2026-06-04 05:15:13
validare opta,RO,Romania,Romanian,Opta (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail",200,19,1.62,,13,,,,7,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/ce-inseamna-validare-opta-la-pariuri-sportive/,,2026-06-12 09:14:50
ce inseamna 1x la pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",200,0,0.34,,11,,,,8,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/ce-inseamna-sansa-dubla-la-pariuri/,,2026-06-06 11:03:33
bonusuri case pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,90,57,4.32,0,10,10,,33,3,30,,https://case-pariuri.ro/,,https://case-pariuri.ro/,2024-06-23 13:30:26,2026-06-14 20:55:05
bonusuri pariuri sportive,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,90,64,5.62,,9,,,,4,New,,,,https://case-pariuri.ro/,,2026-06-04 16:42:09
favbet pareri,RO,Romania,Romanian,Favbet (Organization),true,false,false,true,true,false,Sitelinks,100,23,2.02,,6,,,,6,New,,,,https://case-pariuri.ro/pareri/favbet/,,2026-06-08 23:52:08
pareri winbet,RO,Romania,Romanian,Winbet (Organization),true,false,false,true,true,false,,100,24,1.11,,5,,,,7,New,,,,https://case-pariuri.ro/pareri/winbet/,,2026-06-09 22:36:27
winbet pareri,RO,Romania,Romanian,Winbet (Organization),true,false,false,true,false,false,,80,29,1.01,0,5,4,,25,6,19,,https://case-pariuri.ro/pareri/winbet/,,https://case-pariuri.ro/pareri/winbet/,2024-06-27 01:34:18,2026-05-22 14:35:19
verificare bilet online,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,800,20,0.75,,4,,,,17,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-11 03:01:01
ce inseamna sansa dubla,RO,Romania,Romanian,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",90,12,0.20,,3,,,,10,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/ce-inseamna-sansa-dubla-la-pariuri/,,2026-06-18 18:03:01
super avantaj superbet,RO,Romania,Romanian,"Superbet (Organization), Super Avantaj (Event)",true,false,false,true,true,false,People also ask,100,10,0.84,,2,,,,11,New,,,,https://case-pariuri.ro/blog/ce-inseamna-super-avantaj-de-la-superbet/,,2026-06-18 21:54:30
scanare bilet casa pariurilor,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,false,true,false,false,,2200,39,0.86,,2,,,,25,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-26 02:55:04
verificare bilet bet,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,450,52,0.76,,1,,,,23,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-26 07:57:19
superbet club card,RO,Romania,English,Superbet Club Card (Product),true,false,false,true,true,false,Video preview,1700,38,0.68,,1,,,,28,New,,,,https://case-pariuri.ro/blog/superbet-club-ghidul-complet-si-beneficiile-exclusive/,,2026-06-14 02:34:42
top case pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Image pack,200,44,4.67,0,,,,27,,Lost,,https://case-pariuri.ro/,,,2024-06-11 23:09:14,
cod bilet casa pariurilor,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,false,true,false,false,Video preview,350,24,0.89,,0,,,,28,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-11 03:41:31
gets bet verificare bilet live,RO,Romania,Romanian,GetsBet (Organization),true,false,true,true,false,false,"Sitelinks, Video preview",900,55,0.79,,0,,,,34,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-05 19:19:51
ce inseamna gg la pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",150,0,0.56,,0,,,,1,New,,,AI Overview,https://case-pariuri.ro/ghid-pariuri-sportive/ce-inseamna-gg-la-pariuri-sportive/,,2026-05-29 03:50:06
top case pariuri online,RO,Romania,Romanian,,false,false,false,true,true,false,"Image pack, Video preview, Bottom ads, Paid sitelinks",80,45,6.37,0,,,,34,,Lost,,https://case-pariuri.ro/,,,2024-06-22 06:33:33,
case pariuri sportive,RO,Romania,Romanian,,false,false,false,true,true,false,"Thumbnail, Image pack, Video preview",80,48,5.94,0,,,,36,,Lost,,https://case-pariuri.ro/,,,2024-06-20 02:31:14,
scanare bilet gets bet,RO,Romania,Romanian,GetsBet (Organization),true,false,true,true,false,false,Video preview,700,48,1.08,,0,,,,45,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-24 14:15:43
case de pariuri noi,RO,Romania,Romanian,,false,false,false,true,true,false,"Image pack, Video preview",200,45,2.08,0,,,,41,,Lost,,https://case-pariuri.ro/,,,2024-06-13 23:58:31,
sportingbet pareri,RO,Romania,Romanian,Sportingbet (Organization),true,false,false,true,false,false,"Image pack, Video preview",150,0,2.50,0,,,,43,,Lost,,https://case-pariuri.ro/,,,2024-06-27 09:20:49,
top case de pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,Image pack,150,45,6.43,0,,,,43,,Lost,,https://case-pariuri.ro/,,,2024-06-08 18:38:22,
case de pariuri cu bonus,RO,Romania,Romanian,,false,false,false,true,true,false,Image pack,150,18,7.35,0,,,,45,,Lost,,https://case-pariuri.ro/,,,2024-06-22 02:26:28,
netbet pareri,RO,Romania,Romanian,Netbet (Organization),true,false,false,true,false,false,,200,18,2.49,,0,,,,10,New,,,,https://case-pariuri.ro/pareri/netbet/,,2026-06-17 11:47:00
verificare bilet,RO,Romania,Romanian,,false,false,false,true,false,false,"Sitelinks, Video preview",7100,40,1.64,,0,,,,26,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-20 19:53:54
pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,"Top stories, Thumbnail, Local pack, Video preview",700,73,6.02,,0,,,,29,New,,,,https://case-pariuri.ro/,,2026-06-21 09:07:00
betano pareri,RO,Romania,Romanian,Betano (Organization),true,false,false,true,true,false,"Image pack, Video preview",100,3,3.71,0,,,,34,,Lost,,https://case-pariuri.ro/pareri/betano/,,,2024-06-25 19:42:13,
unibet pareri,RO,Romania,Romanian,Unibet (Organization),true,false,false,true,false,false,"Image pack, Video preview",200,3,3.62,0,,,,34,,Lost,,https://case-pariuri.ro/pareri/unibet/,,,2024-06-21 17:30:41,
casa pariurilor verificare bilet,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,false,true,false,false,,2200,42,0.94,,0,,,,28,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-17 18:15:57
get bet verificare bilet,RO,Romania,Romanian,,false,false,false,true,false,false,Sitelinks,900,54,0.95,,0,,,,27,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-18 21:40:08
verificare bilet total bet,RO,Romania,Romanian,Total Bet (Organization),true,false,false,true,false,false,"Sitelinks, Video preview",500,61,0.81,,0,,,,29,New,,,,https://case-pariuri.ro/ghid-pariuri-sportive/cum-verifici-un-bilet-la-pariuri/,,2026-06-20 01:44:29
