Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
peste 2.5 goluri,RO,Romania,Romanian,,false,false,false,true,false,false,"People also ask, Video preview, Image pack",500,0,0.91,189,,,,1,,Lost,,https://casepariurionline.ro/ce-inseamna-peste-si-sub-2-5-goluri-over-si-under/,,,2024-06-21 07:48:27,
ce inseamna gg,RO,Romania,Romanian,,false,false,false,true,false,false,"Featured snippet, People also ask, Video preview, Image pack",250,0,0.08,180,,,,1,,Lost,Featured snippet,https://casepariurionline.ro/ce-inseamna-gg3-la-pariuri/,,,2024-06-11 10:49:10,
case pariuri online,RO,Romania,Romanian,,false,false,false,true,true,false,"Video preview, Image pack",1000,46,4.65,154,,,,3,,Lost,,https://casepariurionline.ro/,,,2024-06-24 11:22:51,
casa de pariuri,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Video preview, Image pack",1500,42,2.96,153,,,,2,,Lost,,https://casepariurionline.ro/,,,2024-06-25 00:12:13,
case de pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,"Image pack, Thumbnail, Video preview",900,48,5.83,131,,,,3,,Lost,,https://casepariurionline.ro/,,,2024-06-24 22:25:31,
case pariuri,RO,Romania,Romanian,,false,false,false,true,true,false,"Thumbnail, Image pack, Video preview",800,46,5.46,107,,,,2,,Lost,,https://casepariurionline.ro/,,,2024-06-23 05:54:33,
handicap pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,"Video preview, Image pack",150,0,0.65,85,,,,1,,Lost,,https://casepariurionline.ro/ce-inseamna-handicap-la-pariuri/,,,2024-06-08 11:46:17,
case pariuri romania,RO,Romania,Romanian,Romania (Location),false,false,false,true,true,false,"Thumbnail, Video preview, Image pack, Bottom ads, Paid sitelinks",250,46,8.06,68,,,,1,,Lost,,https://casepariurionline.ro/,,,2024-06-24 02:03:12,
ce inseamna x2 la pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,"Featured snippet, People also ask, Image pack, Video preview",150,0,0.95,58,,,,1,,Lost,Featured snippet,https://casepariurionline.ro/ce-inseamna-sansa-dubla-la-pariuri/,,,2024-06-26 12:36:37,
ce inseamna peste 0.5 goluri,RO,Romania,Romanian,,false,false,false,true,false,false,"Featured snippet, Thumbnail, Image pack, Video preview",100,0,,49,,,,1,,Lost,Featured snippet,https://casepariurionline.ro/total-goluri-asiatice/,,,2024-06-09 19:43:21,
cele mai bune case de pariuri online,RO,Romania,Romanian,,false,false,false,true,true,false,"Video preview, Image pack",350,45,3.14,44,,,,4,,Lost,,https://casepariurionline.ro/,,,2024-06-17 06:41:29,
nr superbet,RO,Romania,Romanian,Superbet (Organization),true,false,false,true,false,false,"Featured snippet, Video preview, Image pack",100,1,0.87,43,,,,1,,Lost,Featured snippet,https://casepariurionline.ro/contact-superbet/,,,2024-06-10 07:27:47,
verificare bilet superbet scanare,RO,Romania,Romanian,Superbet (Organization),true,false,true,true,false,false,"Sitelinks, Video preview, Image pack",300,0,1.02,43,,,,2,,Lost,,https://casepariurionline.ro/verificare-bilet-superbet/,,,2024-06-24 13:33:18,
ce inseamna handicap la pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,"Featured snippet, Thumbnail, Video preview, Knowledge panel",200,0,0.08,41,,,,2,,Lost,,https://casepariurionline.ro/ce-inseamna-handicap-la-pariuri/,,,2024-05-29 06:47:33,
pariuri handicap,RO,Romania,Romanian,,false,false,false,true,false,false,"Video preview, Image pack",100,0,0.92,40,,,,1,,Lost,,https://casepariurionline.ro/ce-inseamna-handicap-la-pariuri/,,,2024-06-23 04:24:04,
casa pariu,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,true,true,true,true,"Sitelinks, Thumbnail, Video preview, Image pack",500,54,2.68,36,,,,2,,Lost,,https://casepariurionline.ro/,,,2024-06-13 03:36:30,
case de pariuri romania,RO,Romania,Romanian,Romania (Location),false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, Image pack, Video preview, Bottom ads",400,45,5.41,35,,,,3,,Lost,,https://casepariurionline.ro/,,,2024-06-08 13:06:11,
casa pariuri sportive,RO,Romania,Romanian,,false,false,false,true,true,false,"Thumbnail, Image pack",350,40,1.60,34,,,,4,,Lost,,https://casepariurionline.ro/,,,2024-06-23 19:32:57,
pariuri online romania,RO,Romania,Romanian,Romania (Location),false,false,false,true,true,false,Image pack,350,61,7.05,33,,,,5,,Lost,,https://casepariurionline.ro/,,,2024-05-30 03:41:09,
case de pariuri online,RO,Romania,Romanian,,false,false,false,true,true,false,"Video preview, Image pack, Bottom ads, Paid sitelinks",350,46,4.50,33,,,,4,,Lost,,https://casepariurionline.ro/,,,2024-06-26 17:43:30,
case de pariuri noi,RO,Romania,Romanian,,false,false,false,true,true,false,"Image pack, Video preview",200,45,2.08,31,,,,2,,Lost,,https://casepariurionline.ro/,,,2024-06-13 23:58:31,
ponturi 100 sigure,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,500,24,0.29,30,,,,6,,Lost,,https://casepariurionline.ro/meciuri-sigure-la-pariuri/,,,2024-06-24 09:33:15,
handicap asiatic,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,100,0,0.20,28,,,,2,,Lost,,https://casepariurionline.ro/ce-inseamna-handicap-asiatic-la-pariuri-sportive/,,,2024-06-10 11:14:08,
nr telefon superbet,RO,Romania,Romanian,Superbet (Organization),true,false,false,true,false,false,"Local pack, Image pack, Video preview",200,0,0.89,27,,,,3,,Lost,,https://casepariurionline.ro/contact-superbet/,,,2024-06-16 18:38:08,
