#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,betano,ro,61,499000,1.00,1.11,betano live,2026-07-04 18:32:20,"Bottom ads,Paid sitelinks",37350000,10000,11000,2016-02-03,"Informational,Branded,Non-local",,"659515, 695804, 718772, 607538, 573184, 718934, 641525, 602802, 597242, 550899, 515894, 414901, 410607, 435143, 486953, 476340, 469231, 651257, 580560, 525243, 526788, 521298, 489635, 510920","469956, 457735, 473480, 513140, 506828, 599256, 524103, 527982, 509534, 504390, 472620, 494180",Sports betting
2,betano ro,ro,69,18000,1.10,,betano casino,2026-07-06 07:39:49,Sitelinks,23000,8400,10000,2016-04-26,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"24494, 22440, 20007, 15976, 13288, 15509, 11031, 11252, 9319, 7802, 8783, 8098, 7709, 9161, 17005, 17434, 17853, 25936, 23663, 21812, 21665, 22028, 23258, 23676","24709, 23336, 23892, 24545, 25260, 27598, 24980, 23128, 22982, 23345, 24575, 24993",Sports betting
3,betano casino,ro,74,12000,1.30,0.95,betano,2026-07-07 21:10:31,Sitelinks,205000,45000,47000,2016-05-27,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"16464, 17727, 19898, 16333, 17537, 23506, 17333, 16515, 13329, 13518, 13522, 12276, 13302, 11312, 11091, 11676, 11600, 15517, 13440, 12214, 11939, 11861, 11698, 11984","11142, 9474, 9308, 9890, 9857, 13780, 11737, 10522, 10276, 10214, 10076, 10378",Gambling
4,betano live,ro,68,3800,0.20,1.09,betano,2026-07-08 19:54:47,"Sitelinks,Video preview",4700,275000,276000,2016-06-25,"Informational,Navigational,Branded,Non-local",English,"3992, 3905, 4670, 4572, 4611, 4380, 4619, 4470, 3875, 4095, 3473, 3386, 3522, 3441, 4209, 4117, 4159, 3933, 4176, 4031, 3439, 3664, 3046, 2963","3103, 3026, 3798, 3709, 3756, 3533, 3780, 3639, 3051, 3279, 2665, 2585",Sports betting; Sports
5,betano login,ro,73,3200,1.30,,betano com login,2026-07-08 17:58:40,,335000,100,400,2016-12-27,"Navigational,Transactional,Branded,Non-local",English,"3106, 3022, 2904, 2928, 3204, 3324, 3165, 3183, 3322, 3339, 3473, 3293, 3168, 3088, 2967, 2994, 3269, 3390, 3230, 3249, 3387, 3405, 3539, 3359","3234, 3155, 3033, 3061, 3335, 3456, 3296, 3316, 3454, 3472, 3606, 3427",Sports betting
6,betano romania,ro,7,2000,2.00,0.98,betano casino,2026-07-06 17:27:23,Sitelinks,4200,8400,10000,2016-06-30,"Navigational,Transactional,Branded,Non-local",English,"1606, 2072, 2213, 2269, 2297, 2376, 2040, 2222, 2014, 2018, 1904, 1819, 1532, 1988, 2135, 2188, 2219, 2296, 1961, 2143, 1935, 1940, 1827, 1742","1454, 1910, 2059, 2111, 2142, 2220, 1885, 2067, 1860, 1865, 1752, 1667",Sports betting; Sports
7,betano bonus fara depunere,ro,50,2000,2.00,,betano bonus fara depunere,2026-07-08 03:42:00,"Sitelinks,Video preview",2200,3200,3200,2016-05-24,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"1874, 1333, 1331, 1273, 1596, 1941, 1902, 2291, 2354, 1872, 1589, 1844, 1403, 1397, 2359, 2098, 2135, 2251, 2305, 2233, 2044, 2019, 1970, 1775","1498, 1303, 1635, 1610, 1819, 1855, 2021, 2002, 1839, 1756, 1770, 1646",Sports betting
8,betano rotiri gratuite,ro,52,1800,2.00,,betano rotiri gratuite,2026-06-22 15:05:06,Video preview,2100,1100,1100,2016-11-05,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"1872, 1675, 1899, 1784, 1888, 1862, 1994, 1996, 1970, 1918, 1985, 1999, 1757, 1563, 1787, 1673, 1777, 1752, 1884, 1886, 1861, 1810, 1877, 1891","1651, 1457, 1681, 1567, 1673, 1647, 1780, 1783, 1758, 1708, 1775, 1790",Sports betting
9,liga 1 betano,ro,37,1300,0.90,0.56,poziții superliga,2026-06-30 04:47:48,Video preview,2600,744000,838000,2017-07-16,"Informational,Commercial,Branded,Non-local",Romanian,"1272, 1713, 1351, 1119, 1417, 1523, 320, 2014, 1206, 1277, 1244, 93, 1417, 1857, 1495, 1263, 1561, 1667, 464, 2158, 1350, 1421, 1388, 237","1561, 2001, 1639, 1407, 1705, 1811, 608, 2302, 1494, 1565, 1533, 381",Sports betting; Soccer
10,betano demo,ro,61,1200,0.50,,pacanele gratis,2026-06-22 04:11:34,Sitelinks,2000,41000,43000,2020-12-10,"Informational,Branded,Non-local",English,"583, 690, 1001, 991, 1270, 1292, 1561, 1534, 1582, 1296, 1288, 943, 848, 826, 954, 1492, 1204, 1272, 1316, 1279, 1247, 1268, 1296, 1227","1198, 1193, 1211, 1215, 1208, 1181, 1230, 1202, 1163, 1190, 1214, 1149",Gambling
