#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,betfair,ro,61,10000,1.60,1.07,betfair,2026-07-05 20:00:47,"Sitelinks,People also ask",1690000,11000,11000,2015-09-01,"Informational,Navigational,Commercial,Branded,Non-local",,"12334, 11647, 11906, 12116, 11695, 10781, 10813, 13402, 10601, 11674, 9927, 9255, 9878, 11183, 10838, 11288, 10090, 10732, 10279, 11236, 10211, 10516, 9176, 10360","9529, 11121, 10788, 11247, 10058, 10706, 10257, 11218, 10197, 10505, 9167, 10352",Sports betting
2,betfair exchange,ro,61,1600,1.70,1.06,betfair exchange,2026-06-21 05:00:31,"Sitelinks,Video preview",189000,400,400,2015-10-06,"Informational,Commercial,Transactional,Branded,Non-local",English,"2054, 1654, 1597, 1631, 2029, 1653, 2432, 2028, 2023, 1611, 1379, 1299, 1574, 2477, 2034, 1953, 1914, 1443, 1460, 1352, 1361, 1230, 1306, 1359","1369, 1535, 1541, 1595, 1674, 1495, 1471, 1363, 1372, 1240, 1316, 1368",Sports betting
3,betfair sportsbook,ro,69,1000,0.90,1.07,betfair sportsbook,2026-07-03 14:34:38,Sitelinks,108000,600,600,2015-09-07,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"480, 818, 1076, 1542, 1032, 711, 807, 800, 1036, 1049, 1278, 777, 831, 1058, 1045, 1262, 1272, 853, 1027, 1008, 972, 829, 852, 806","831, 974, 1006, 1072, 1032, 931, 1027, 1008, 972, 829, 852, 806",Sports betting
4,betfair casino,ro,70,900,1.40,1.38,cazinouri online,2026-06-21 12:17:08,,98000,32000,33000,2015-11-15,"Informational,Navigational,Commercial,Branded,Non-local",English,"811, 849, 845, 1226, 962, 954, 1267, 1503, 1201, 1398, 1208, 675, 961, 1061, 1007, 880, 893, 956, 988, 977, 961, 966, 870, 795","777, 729, 701, 743, 739, 764, 812, 800, 791, 796, 705, 632",Gambling
5,betfair bonus fara depunere,ro,59,300,0.70,,betfair bonus fara depunere,2026-07-09 03:49:33,,350,250,300,2017-01-11,"Informational,Commercial,Branded,Non-local",Romanian,"170, 179, 179, 318, 210, 143, 262, 242, 245, 372, 316, 255, 271, 225, 351, 335, 303, 299, 312, 300, 313, 307, 277, 259","239, 229, 232, 250, 241, 227, 248, 233, 250, 243, 216, 199",Sports betting
6,betfair romania,ro,15,300,2.50,1.15,betfair,2026-06-15 02:34:28,"Sitelinks,Knowledge panel",400,900,1000,2015-09-02,"Informational,Commercial,Branded,Non-local",English,"267, 268, 274, 319, 300, 255, 339, 489, 374, 312, 308, 308, 323, 329, 446, 279, 273, 236, 302, 314, 299, 277, 257, 260","253, 250, 267, 262, 283, 263, 294, 308, 293, 273, 254, 258",Sports betting; Company news
7,betfair romania development,ro,22,200,0.09,0.88,betfair cluj,2026-07-06 03:33:35,,200,150,200,2015-09-30,"Informational,Branded,Local",English,"181, 102, 172, 216, 182, 116, 157, 191, 183, 127, 141, 174, 149, 125, 217, 231, 281, 166, 206, 205, 217, 187, 184, 203","195, 174, 210, 233, 240, 207, 221, 221, 234, 201, 198, 218",Internet; Sports betting; Development; Job; Business
8,pariuri betfair,ro,,200,,,,,,300,,,2015-10-23,"Informational,Commercial,Branded,Non-local",Romanian,"28, 33, 31, 32, 34, 33, 31, 28, 35, 37, 35, 31, 157, 197, 171, 139, 149, 229, 221, 187, 181, 211, 312, 245",,Sports betting
9,betfair online,ro,68,200,,,betfair sportsbook,2026-06-06 06:55:58,Sitelinks,900,200,102000,2020-01-06,"Informational,Commercial,Branded,Non-local",English,"0, 5, 8, 9, 1, 3, 3, 2, 4, 0, 6, 1, 160, 186, 154, 153, 133, 318, 313, 194, 148, 169, 232, 206",,Sports betting
10,betfair vegas,ro,63,200,1.40,,cazinouri online,2026-07-07 18:41:12,Sitelinks,500,38000,39000,2019-02-18,"Informational,Branded,Non-local",English,"113, 87, 106, 154, 151, 293, 379, 249, 348, 199, 241, 156, 298, 320, 178, 171, 166, 200, 206, 197, 206, 200, 219, 188","187, 176, 137, 158, 148, 176, 183, 173, 183, 177, 196, 166",Sports betting; Company news
