#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,don.ro,ro,44,1900,1.20,,don ro,2026-07-03 12:25:08,"Sitelinks,Video preview",2400,26000,27000,2018-07-27,"Navigational,Branded,Non-local",,"1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850","1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850, 1850",Development
2,don.ro casino,ro,51,1400,0.90,,don ro,2026-07-07 20:08:47,Sitelinks,1600,26000,26000,2023-08-14,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"540, 630, 926, 1233, 840, 1020, 780, 605, 900, 879, 1068, 1430, 1433, 765, 929, 1062, 881, 1708, 1767, 1428, 1467, 2071, 1559, 1564","1609, 1509, 1556, 1609, 1613, 1837, 1681, 1584, 1602, 1649, 1704, 1708",Sports betting
3,don.ro bonus fara depunere,ro,55,400,0.90,,don.ro bonus fara depunere,2026-06-06 05:56:29,,600,350,350,2023-11-25,"Informational,Commercial,Branded,Non-local",Romanian,"676, 746, 453, 345, 334, 440, 1232, 1224, 1159, 1168, 426, 434, 551, 558, 648, 510, 442, 297, 408, 371, 272, 258, 143, 134","178, 162, 105, 71, 57, 123, 222, 173, 111, 99, 19, 16",Gambling
4,don.ro pareri,ro,,250,3.50,,,,,300,,,2023-12-04,,,"330, 227, 280, 505, 505, 628, 340, 336, 287, 228, 221, 266, 425, 407, 326, 415, 229, 330, 226, 153, 155, 106, 146, 159","177, 163, 159, 181, 173, 204, 175, 177, 157, 156, 149, 161",
5,don.ro casino bonus fara depunere,ro,,250,0.90,,,,,250,,,2023-12-05,,,"147, 122, 231, 520, 516, 416, 429, 504, 425, 347, 417, 284, 293, 139, 280, 244, 276, 200, 207, 211, 196, 185, 191, 179","180, 169, 182, 207, 204, 205, 201, 202, 190, 176, 184, 171",
6,don.ro 200 rotiri gratuite,ro,,250,1.80,,,,,250,,,2025-01-19,,,"0, 0, 0, 0, 0, 0, 85, 217, 413, 496, 630, 234, 414, 345, 280, 228, 148, 211, 206, 198, 172, 196, 107, 126","107, 91, 77, 66, 56, 47, 40, 34, 29, 25, 21, 18",
7,don.ro bonus,ro,,200,0.80,,,,,200,,,2025-06-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 26, 31, 34, 84, 203, 453, 463, 440, 368, 201, 304",,
8,don.ro bonus fara depunere 200 rotiri,ro,,150,,,,,,200,,,2025-02-03,,,"0, 0, 0, 0, 0, 0, 0, 95, 152, 121, 408, 418, 221, 115, 208, 121, 191, 149, 125, 103, 104, 129, 96, 133",,
9,don.ro rotiri gratuite,ro,,150,1.60,,,,,200,,,2023-12-16,,,"25, 414, 43, 60, 178, 341, 322, 307, 110, 106, 142, 180, 504, 125, 114, 52, 76, 149, 137, 188, 221, 162, 92, 165","195, 197, 160, 154, 173, 196, 189, 192, 177, 170, 171, 177",
10,casino don.ro bonus fara depunere,ro,,100,,,,,,100,,,2024-02-11,,,"0, 0, 0, 19, 10, 22, 37, 41, 29, 22, 20, 38, 115, 84, 90, 78, 163, 142, 126, 68, 95, 63, 75, 70",,
11,don.ro contact,ro,,90,,,,,,100,,,2024-01-20,,,"13, 34, 40, 52, 52, 88, 90, 92, 80, 72, 70, 82, 118, 80, 90, 87, 79, 102, 73, 70, 88, 112, 56, 89",,
12,cod promotional don.ro,ro,37,70,,,don casino,2026-04-23 13:52:49,,70,,,2023-12-25,,,"36, 14, 18, 20, 26, 27, 25, 37, 56, 57, 46, 47, 111, 83, 90, 93, 97, 84, 93, 39, 33, 36, 20, 9",23,
13,don.ro patron,ro,,60,,,,,,70,,,2025-02-28,,,"0, 0, 0, 0, 0, 0, 0, 5, 26, 40, 52, 80, 156, 124, 66, 53, 84, 41, 25, 55, 31, 37, 16, 28",,
14,don.ro rotiri gratuite fara depunere,ro,,60,,,,,,60,,,2024-01-13,,,"28, 16, 35, 38, 89, 67, 101, 50, 68, 38, 53, 12, 52, 43, 63, 106, 79, 140, 100, 30, 33, 16, 0, 3",,
15,don.ro casino bonusuri,ro,,50,,,,,,50,,,2025-07-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 61, 63, 43, 65, 11, 34, 29, 50, 60, 61, 57",,
16,don.ro păreri,ro,,50,,,,,,50,,,2024-10-04,,,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 34, 34, 40, 41, 78, 80, 76, 34, 44, 53, 53, 42",,
17,don.ro login,ro,,50,,,,,,50,,,2025-04-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 21, 90, 34, 0, 0, 0, 0, 0, 121, 102, 106, 90, 23, 63",,
