#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,favbet,ro,48,20000,2.50,1.17,favbet,2026-07-08 01:37:28,Sitelinks,215000,20000,20000,2015-09-03,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"12138, 13280, 13532, 15136, 14525, 16820, 15266, 16407, 14783, 13735, 13205, 13386, 22619, 15909, 17606, 21711, 19336, 24573, 21108, 17413, 22265, 22374, 22927, 22928","24069, 23914, 24575, 25614, 26326, 26762, 25553, 26079, 26149, 26259, 26811, 26812",Sports betting; Sports
2,favbet casino,ro,60,800,0.70,,favbet,2026-06-19 05:08:07,Sitelinks,5500,20000,20000,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"351, 312, 212, 389, 415, 548, 247, 360, 402, 371, 316, 479, 1338, 482, 425, 600, 592, 892, 1014, 666, 1053, 1306, 1000, 692","777, 679, 692, 718, 779, 818, 748, 764, 777, 754, 749, 775",Gambling
3,favbet rotiri gratuite,ro,53,600,1.00,,300 rotiri gratuite fara depunere,2026-06-28 08:05:38,Video preview,700,800,800,2020-11-06,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"468, 312, 473, 566, 203, 254, 566, 371, 240, 239, 241, 302, 936, 925, 1032, 655, 468, 481, 488, 474, 427, 402, 364, 391","406, 377, 381, 374, 339, 354, 391, 342, 328, 282, 264, 281",Lottery
4,favbet bonus fara depunere,ro,59,600,1.50,,300 rotiri gratuite fara depunere,2026-06-24 08:24:43,,700,800,800,2020-11-15,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"189, 444, 359, 353, 294, 291, 240, 426, 658, 640, 197, 969, 618, 267, 402, 756, 493, 569, 574, 591, 665, 646, 576, 657","613, 625, 628, 664, 651, 677, 681, 699, 773, 753, 683, 764",Sports betting
5,favbet cod promo,ro,50,350,1.40,,favbet cod promo,2026-05-30 07:58:50,Video preview,800,400,400,2022-05-26,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"149, 98, 118, 97, 98, 116, 224, 183, 490, 280, 341, 228, 394, 349, 264, 246, 307, 366, 350, 335, 371, 362, 371, 362","358, 342, 335, 333, 342, 352, 365, 350, 386, 377, 386, 377",Sports betting
6,cod promo favbet,ro,50,350,2.50,,favbet cod promo,2026-06-10 14:47:51,Video preview,600,400,450,2016-01-29,"Informational,Commercial,Branded,Non-local",Romanian,"220, 270, 426, 509, 622, 623, 644, 499, 726, 412, 334, 331, 576, 498, 523, 466, 284, 278, 253, 201, 312, 148, 123, 243","351, 214, 211, 203, 117, 206, 225, 228, 202, 235, 221, 214",Sports betting; Promotional giveaways
7,favbet rotiri fara depunere,ro,,250,,,,,,300,,,2023-05-21,,,"6, 26, 21, 34, 85, 175, 101, 212, 23, 14, 10, 16, 90, 128, 136, 138, 287, 386, 435, 218, 209, 341, 325, 221",296,
8,favbet 300 rotiri,ro,,250,1.00,,,,,250,,,2025-07-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 31, 152, 485, 514, 638, 630, 187, 157, 127, 134",,
9,favbet romania,ro,26,200,3.00,1.24,favbet,2026-05-27 14:53:21,Sitelinks,300,20000,20000,2015-09-30,"Informational,Navigational,Commercial,Branded,Non-local",,"267, 215, 220, 274, 344, 365, 78, 226, 212, 221, 71, 71, 409, 181, 133, 167, 157, 471, 109, 243, 220, 233, 145, 155","371, 193, 164, 214, 208, 409, 120, 199, 203, 205, 141, 142",Sports betting
10,favbet 30 rotiri gratuite,ro,46,150,1.80,,300 rotiri gratuite fara depunere,2026-06-06 14:18:13,,200,800,800,2020-11-17,"Commercial,Transactional,Branded,Non-local",Romanian,"22, 23, 33, 26, 33, 19, 8, 14, 12, 12, 9, 6, 105, 134, 104, 123, 157, 158, 193, 176, 171, 184, 201, 153",,Sports betting
