#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,gets bet,ro,48,75000,0.60,1.1,getsbet,2026-06-22 01:44:04,Sitelinks,81000,243000,253000,2015-09-01,"Informational,Navigational,Commercial,Branded,Non-local",,"87054, 97880, 95526, 109429, 104594, 110030, 98327, 94700, 92286, 85637, 75201, 53810, 59680, 69693, 69264, 77084, 82712, 94704, 97664, 76649, 80446, 77002, 58750, 43354","51948, 61234, 64916, 66034, 63193, 66378, 59412, 63819, 67583, 65252, 50201, 37344",Sports betting
2,gets bet fotbal,ro,60,10000,0.80,,get bets,2026-07-08 16:17:09,"Sitelinks,Video preview",10000,15000,15000,2018-04-19,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"5474, 6195, 6198, 7040, 7206, 7581, 7655, 9264, 9397, 7027, 6019, 5730, 3537, 7407, 7393, 9607, 9968, 11747, 16387, 12304, 13600, 12149, 9704, 8483","7653, 11785, 11937, 11273, 11078, 12003, 18828, 14113, 15576, 13894, 11080, 9673",Sports betting; Sports
3,gets bet pariuri sportive,ro,57,8500,0.90,,gs bet,2026-07-05 19:41:34,Sitelinks,8800,15000,15000,2016-05-06,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"1805, 2654, 2774, 3353, 4056, 3420, 3176, 3198, 3217, 2574, 2146, 2118, 2164, 2611, 3191, 5279, 7311, 10025, 14480, 17824, 14769, 12202, 9438, 11423","13966, 20991, 20084, 20605, 18986, 18131, 18149, 16553, 14787, 11922, 9403, 11381",Sports betting
4,gets bet casino,ro,64,3000,0.20,,getsbet,2026-07-06 15:44:54,,3800,247000,257000,2016-12-01,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"2369, 2524, 3162, 4811, 4566, 7598, 2405, 1608, 2806, 3792, 1941, 2406, 1842, 2163, 2721, 4824, 4287, 7735, 1645, 908, 2473, 3312, 1536, 2028","1513, 1772, 2403, 4361, 3967, 7346, 1491, 698, 2139, 3102, 1218, 1724",Sports betting
5,gets bet fotbal azi,ro,64,2900,0.70,,get bets,2026-07-06 21:13:50,Sitelinks,3000,14000,14000,2022-09-18,"Informational,Branded,Non-local",Romanian,"205, 250, 264, 208, 263, 392, 384, 471, 257, 257, 319, 386, 477, 875, 981, 1601, 2201, 3666, 5348, 5322, 4421, 4507, 4567, 4585","4573, 4657, 4689, 4806, 4851, 4913, 4998, 5023, 4927, 4993, 5031, 5028",Soccer
6,verificare bilet gets bet fotbal,ro,55,2500,0.80,,gets bet pariuri sportive,2026-07-07 23:34:52,Sitelinks,2500,16000,16000,2021-08-30,"Informational,Navigational,Branded,Non-local",Romanian,"866, 3935, 1041, 994, 942, 837, 3960, 3276, 3954, 2642, 2582, 662, 2217, 2652, 868, 1064, 749, 1050, 6100, 6097, 1421, 3353, 3369, 849","1827, 3031, 1097, 1354, 1245, 1458, 5522, 5091, 2144, 2822, 2731, 865",Sports betting; Sports
7,gets bet pariuri,ro,56,2000,1.00,,gets bet pariuri sportive,2026-06-18 04:37:06,Sitelinks,2000,16000,16000,2015-10-01,"Navigational,Transactional,Branded,Non-local",Romanian,"664, 853, 1011, 1257, 1288, 1301, 1503, 1260, 1494, 1025, 967, 778, 947, 970, 836, 1231, 1708, 2273, 2861, 3517, 3478, 2757, 2452, 2477","2733, 2936, 2991, 3837, 4147, 4228, 4053, 3906, 3441, 2866, 2580, 2584",Sports betting; Sports
8,gets bet login,ro,23,1800,1.10,,getsbet,2026-06-20 01:41:57,Sitelinks,1900,242000,253000,2019-09-30,"Navigational,Transactional,Branded,Non-local",English,"2046, 2127, 2114, 2518, 2489, 3092, 3081, 3036, 3054, 2513, 2475, 2348, 2083, 2081, 1583, 1690, 2010, 2110, 1679, 1402, 1357, 1502, 1351, 1187","1110, 1059, 923, 1108, 1230, 1433, 1297, 1439, 1286, 1413, 1264, 1098",Sports betting
9,verificare bilet gets bet,ro,54,1700,0.70,1.31,gets bet fotbal,2026-06-28 11:08:41,"Sitelinks,Video preview",1700,5400,5500,2015-09-01,"Informational,Navigational,Branded,Non-local",Romanian,"1724, 2500, 2576, 2583, 2542, 2057, 2563, 1970, 2074, 1665, 1383, 1312, 1130, 1145, 1253, 1276, 1238, 1674, 2462, 3556, 2322, 1569, 1751, 1393","1301, 1614, 1914, 2214, 2106, 2033, 2399, 2410, 2478, 1972, 1699, 1352",Sports betting
10,gets bet verificare bilet,ro,55,1400,1.00,1.16,gets bet pariuri sportive,2026-06-28 03:59:56,"Video preview,Bottom ads,Paid sitelinks",1500,16000,16000,2015-09-07,"Informational,Transactional,Branded,Non-local",Romanian,"1230, 1528, 1859, 1852, 1541, 1564, 1552, 1529, 1581, 1241, 1284, 1223, 1051, 1200, 1165, 1550, 1492, 2045, 1632, 1582, 1641, 1393, 1303, 1111","1436, 1368, 1611, 1847, 1743, 1694, 1633, 1583, 1642, 1394, 1304, 1111",Sports betting
