#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,maxbet,ro,63,164000,1.50,1.11,maxbet,2026-07-07 17:21:08,,1250000,176000,176000,2015-09-02,"Navigational,Branded,Non-local",,"169581, 185173, 185399, 180844, 160587, 213673, 167977, 156236, 163438, 160839, 143179, 145932, 147457, 167613, 151604, 167574, 160423, 195712, 150358, 145045, 182314, 182351, 175931, 167695","164162, 162815, 172399, 185520, 180672, 207344, 202342, 201231, 196691, 196637, 189625, 180664",Sports betting
2,maxbet casino,ro,72,4500,1.40,1.16,maxbet online,2026-06-30 23:43:58,"Sitelinks,Local pack",10000,4000,5500,2015-11-02,"Informational,Navigational,Commercial,Transactional,Branded,Local",,"5492, 5443, 5562, 4432, 4356, 5470, 5586, 4454, 4485, 4493, 3746, 2955, 3246, 3966, 4647, 5741, 4627, 4923, 4888, 3901, 5739, 4779, 4602, 4495","4477, 4465, 4553, 4721, 4824, 5141, 5263, 4771, 5044, 4780, 4641, 4271",Gambling
3,maxbet ro,ro,68,2300,2.50,,maxbet.ro,2026-06-22 02:51:17,Sitelinks,2900,7700,12000,2016-05-11,"Navigational,Transactional,Branded,Non-local",,"1484, 2070, 2245, 1725, 1789, 2478, 2179, 1874, 1664, 434, 2322, 353, 1439, 2031, 1595, 2452, 2797, 4158, 2483, 2183, 3602, 3123, 1431, 1142","2078, 2131, 2540, 2398, 2170, 2220, 2205, 1608, 1719, 1731, 1804, 1096",Sports betting
4,maxbet bonus fara depunere,ro,58,1300,1.80,,cod bonus maxbet,2026-06-28 11:07:39,Sitelinks,1400,800,800,2016-11-10,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"738, 903, 1066, 1319, 885, 903, 1344, 1905, 1307, 1018, 1012, 1313, 1797, 1059, 1706, 1227, 979, 1157, 1292, 1282, 1209, 1201, 1179, 1188","1156, 1134, 1171, 1222, 1150, 1189, 1288, 1279, 1206, 1198, 1175, 1185",Sports betting
5,maxbet romania,ro,41,1200,1.60,1.02,maxbet,2026-07-02 01:57:10,Knowledge panel,1800,181000,181000,2015-09-14,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"489, 510, 629, 694, 694, 943, 924, 740, 938, 932, 1137, 930, 1243, 1241, 1011, 1036, 822, 1493, 1328, 1252, 1307, 1260, 1266, 1223","1249, 1266, 1238, 1286, 1299, 1330, 1391, 1315, 1370, 1323, 1329, 1286",Sports betting
6,cod bonus maxbet,ro,58,1100,1.50,1.63,cod bonus maxbet,2026-06-29 15:51:48,Video preview,1200,3000,3100,2016-11-19,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"750, 762, 768, 844, 853, 766, 862, 855, 860, 751, 862, 743, 873, 758, 1233, 1321, 1002, 1098, 1177, 1081, 1151, 1073, 1090, 1024","1009, 986, 997, 1081, 1088, 1064, 1154, 1060, 1129, 1051, 1068, 1002",Sports betting
7,maxbet online,ro,70,900,3.50,1.16,maxbet casino,2026-07-03 08:10:32,Sitelinks,3800,7800,12000,2015-09-02,"Navigational,Transactional,Branded,Non-local",English,"1085, 1102, 1455, 1291, 1465, 2302, 1730, 737, 1666, 886, 1150, 891, 913, 1024, 984, 755, 596, 1119, 1068, 895, 959, 935, 946, 867","838, 790, 858, 998, 963, 1115, 1163, 974, 1044, 1017, 1029, 942",Sports betting
8,maxbet rotiri gratuite,ro,56,700,2.00,,cod bonus maxbet,2026-06-28 09:36:07,Video preview,900,800,800,2017-02-07,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"705, 984, 853, 1255, 1249, 1539, 688, 547, 541, 809, 686, 306, 414, 425, 746, 860, 866, 899, 875, 854, 878, 839, 825, 817","765, 770, 779, 832, 878, 913, 885, 863, 885, 845, 829, 820",Lottery
9,maxbet bonus,ro,62,500,3.00,1.11,cod bonus maxbet,2026-06-28 00:06:46,,1500,3000,3100,2016-09-15,"Informational,Commercial,Branded,Non-local",English,"534, 551, 1014, 859, 1362, 1609, 1020, 520, 519, 413, 341, 236, 429, 441, 777, 480, 487, 550, 554, 511, 529, 387, 527, 451","458, 438, 505, 535, 555, 574, 573, 514, 525, 537, 527, 451",Sports betting
10,rotiri gratuite maxbet,ro,56,500,1.90,,maxbet bonus fara depunere,2026-07-06 07:06:10,Video preview,600,1400,1400,2018-10-31,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"589, 726, 721, 596, 711, 600, 734, 587, 489, 470, 318, 313, 450, 447, 547, 680, 601, 484, 609, 538, 504, 415, 480, 455","462, 484, 465, 475, 464, 471, 551, 477, 446, 356, 423, 397",Sports betting
11,maxbet cazino,ro,64,400,1.50,,maxbet,2026-06-22 11:44:04,Local pack,450,176000,176000,2018-07-08,"Informational,Navigational,Commercial,Transactional,Branded,Local",Romanian,"448, 553, 548, 560, 577, 702, 691, 451, 454, 821, 684, 366, 480, 399, 388, 416, 414, 373, 358, 301, 309, 378, 358, 331","463, 546, 399, 359, 340, 369, 357, 301, 309, 377, 357, 331",Lottery
12,maxbet cod bonus,ro,55,400,1.20,,cod bonus maxbet,2026-06-06 05:55:57,Sitelinks,500,3000,3100,2018-06-30,"Informational,Commercial,Transactional,Branded,Non-local",English,"183, 273, 273, 275, 332, 412, 504, 388, 394, 390, 269, 273, 341, 338, 470, 496, 385, 421, 455, 435, 462, 415, 408, 392","394, 410, 425, 443, 452, 448, 482, 462, 489, 442, 435, 419",Sports betting
13,maxbet rotiri gratuite fara depunere,ro,57,400,2.00,,cod bonus maxbet,2026-06-05 20:06:05,Sitelinks,450,3000,3100,2020-02-03,"Informational,Commercial,Branded,Non-local",Romanian,"88, 108, 138, 110, 141, 259, 591, 477, 732, 600, 485, 258, 223, 236, 290, 206, 545, 660, 541, 522, 530, 496, 493, 458","456, 454, 469, 508, 551, 577, 541, 523, 531, 496, 493, 459",Gambling
14,cod bonus maxbet fara depunere,ro,55,300,0.90,,cod bonus maxbet,2026-06-01 05:38:43,Sitelinks,350,3000,3100,2020-02-01,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"170, 208, 173, 211, 216, 218, 266, 254, 256, 253, 206, 209, 229, 227, 374, 344, 250, 311, 337, 332, 322, 301, 303, 284","289, 291, 301, 313, 315, 319, 354, 348, 339, 318, 320, 301",Sports betting
15,maxbet casino online,ro,72,250,1.90,1.48,maxbet casino,2026-07-06 06:46:32,Sitelinks,400,11000,16000,2016-02-25,"Navigational,Commercial,Transactional,Branded,Non-local",English,"122, 99, 160, 151, 153, 192, 115, 83, 92, 99, 154, 130, 326, 150, 240, 218, 165, 365, 316, 270, 318, 296, 279, 261","276, 264, 290, 306, 283, 323, 335, 289, 337, 315, 298, 281",Sports betting
16,maxbet contact,ro,50,250,1.70,0.88,maxbet contact,2026-06-28 03:05:15,,300,250,250,2015-10-07,"Informational,Navigational,Branded,Non-local",English,"161, 161, 138, 166, 138, 197, 200, 190, 195, 237, 236, 158, 211, 210, 256, 273, 325, 288, 322, 283, 314, 289, 284, 271","265, 257, 266, 275, 289, 299, 323, 284, 314, 289, 285, 272",Sports betting; Business
17,bonus fara depunere maxbet,ro,59,200,3.00,,cod bonus maxbet,2026-06-16 22:39:16,Sitelinks,250,3200,3300,2016-12-27,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"147, 223, 176, 180, 219, 221, 270, 255, 251, 255, 175, 114, 179, 178, 272, 257, 203, 230, 251, 227, 237, 223, 207, 182","188, 199, 188, 207, 210, 201, 227, 203, 214, 200, 184, 159",Lottery
18,maxbet loto,ro,,200,1.10,,,,,200,,,2017-04-26,,,"0, 0, 2, 97, 26, 61, 18, 85, 42, 110, 191, 74, 261, 206, 137, 274, 213, 275, 283, 133, 127, 89, 65, 65",,
19,bonus maxbet,ro,57,200,3.00,1.29,cod bonus maxbet,2026-06-06 00:03:13,Sitelinks,600,3000,3100,2016-11-10,"Informational,Commercial,Branded,Non-local",English,"167, 216, 214, 172, 203, 205, 169, 200, 200, 197, 167, 111, 160, 130, 290, 182, 156, 211, 271, 250, 231, 207, 229, 195","178, 164, 186, 194, 188, 211, 271, 250, 231, 207, 229, 195",Sports betting
20,oferte maxbet,ro,,200,,,,,,200,,,2016-07-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 57, 82, 53, 89, 129, 509, 539, 237, 72, 162, 203, 117",,
21,maxbet online casino,ro,65,150,3.00,,maxbet login,2026-06-16 12:54:45,,400,,,2015-10-02,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"9, 1, 4, 0, 4, 2, 2, 2, 6, 10, 10, 5, 84, 87, 99, 158, 135, 173, 168, 169, 198, 314, 209, 125",,Casino games
22,maxbet recenzii,ro,,150,1.80,,,,,150,,,2020-05-08,,,"49, 49, 24, 39, 266, 18, 20, 23, 33, 25, 14, 20, 60, 65, 112, 151, 169, 197, 193, 204, 245, 229, 216, 199",,
23,maxbet login,ro,48,150,1.20,1.33,maxbet login,2026-06-02 17:53:39,,8600,350,400,2017-01-03,"Navigational,Transactional,Branded,Non-local",English,"82, 97, 83, 81, 76, 112, 101, 67, 124, 100, 97, 76, 87, 74, 124, 125, 138, 234, 154, 147, 170, 149, 396, 69","60, 51, 162, 85, 60, 138, 224, 79, 71, 70, 46, 36",Sports betting
24,maxbet casino - jocuri & slots,ro,70,150,2.50,,maxbet.ro,2026-06-19 20:26:07,Sitelinks,150,7800,12000,2022-09-25,"Navigational,Transactional,Branded,Non-local",Romanian,"31, 85, 172, 179, 165, 348, 206, 151, 83, 101, 99, 68, 82, 112, 94, 93, 193, 145, 125, 277, 297, 133, 105, 123",,Lottery
25,maxbet pariuri,ro,12,150,2.50,,maxbet ro,2026-06-08 21:18:44,"Sitelinks,Video preview",200,500,600,2015-11-26,"Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"390, 390, 476, 386, 202, 48, 86, 123, 120, 145, 100, 102, 85, 127, 217, 125, 164, 233, 201, 155, 147, 266, 157, 220","151, 160, 202, 194, 189, 198, 205, 158, 149, 269, 158, 221",Sports betting
26,maxbet demo,ro,56,150,0.80,,maxbet ro,2026-06-12 06:11:42,,250,150,150,2019-05-11,"Informational,Branded,Non-local",English,"42, 65, 44, 60, 130, 116, 129, 88, 66, 49, 63, 58, 112, 126, 93, 128, 104, 180, 188, 239, 224, 193, 108, 125",,Gambling
27,maxbet sport,ro,19,150,1.30,,maxbet ro,2026-06-04 17:47:40,,74000,500,600,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"79, 60, 50, 49, 91, 123, 22, 93, 41, 27, 44, 44, 83, 93, 83, 133, 199, 142, 220, 149, 153, 134, 175, 115",,Sports betting; Sports
28,50 rotiri gratuite maxbet,ro,,150,1.60,,,,,150,,,2023-01-03,,,"83, 105, 159, 138, 221, 184, 220, 171, 106, 84, 75, 56, 133, 131, 153, 152, 123, 116, 170, 160, 164, 117, 73, 90",,
29,maxbet app,ro,59,150,1.90,,maxbet ro,2026-05-16 15:00:37,,2900,350,7700,2017-04-21,"Informational,Transactional,Branded,Non-local",English,"139, 73, 55, 89, 70, 56, 56, 79, 82, 81, 68, 81, 92, 102, 230, 123, 130, 183, 173, 178, 189, 170, 180, 183","179, 162, 173, 170, 164, 175, 175, 179, 190, 171, 181, 184",Sports betting; Add-ons
30,maxbet pariuri sportive,ro,11,150,0.70,1.2,maxbet ro,2026-06-08 22:24:32,Video preview,150,500,600,2016-06-07,"Transactional,Branded,Non-local",Romanian,"26, 21, 40, 53, 27, 25, 64, 30, 44, 53, 32, 15, 83, 97, 173, 163, 143, 232, 292, 155, 117, 170, 149, 112",,Sports betting; Sports
31,maxbet.,ro,64,150,1.70,,maxbet online,2026-06-24 19:25:04,Sitelinks,1100,4000,5500,2017-01-08,"Informational,Navigational,Branded,Non-local",,"94, 95, 104, 112, 88, 137, 128, 86, 116, 78, 132, 80, 91, 154, 130, 139, 159, 164, 150, 126, 164, 148, 105, 102",,Sports betting
32,aplicatie maxbet,ro,52,150,,,maxbet ro,2026-05-30 08:22:36,,200,350,350,2017-04-04,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"31, 37, 32, 35, 36, 35, 33, 38, 38, 49, 39, 36, 201, 246, 265, 209, 145, 148, 172, 97, 104, 124, 128, 117",,Sports betting; Add-ons
33,maxbet conectare,ro,40,150,1.80,,maxbet ro,2026-06-11 00:33:44,,150,400,400,2017-05-03,"Navigational,Branded,Non-local",Romanian,"196, 171, 166, 203, 161, 116, 117, 105, 165, 40, 70, 31, 139, 141, 131, 144, 159, 281, 276, 214, 159, 97, 89, 84",,Sports betting
34,maxbet 350 rotiri,ro,42,150,0.60,,maxbet online,2026-07-08 08:52:47,"Top ads,Paid sitelinks,Bottom ads",150,700,700,2022-06-29,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"587, 599, 876, 483, 207, 209, 141, 90, 137, 108, 140, 109, 148, 109, 80, 123, 93, 188, 185, 153, 154, 153, 182, 163","161, 146, 189, 146, 150, 142, 153, 128, 124, 128, 154, 138",Sports betting
35,cod bonus maxbet 350 rotiri,ro,,150,1.50,,,,,150,,,2023-04-28,,,"109, 86, 81, 83, 63, 91, 105, 69, 87, 52, 103, 51, 80, 61, 65, 96, 84, 298, 274, 122, 167, 212, 182, 161",,
36,cod maxbet,ro,56,150,1.00,,cod bonus maxbet,2026-06-19 19:36:45,Sitelinks,200,800,800,2017-08-24,"Informational,Commercial,Branded,Non-local",Romanian,"102, 123, 132, 151, 124, 191, 127, 119, 105, 79, 103, 101, 134, 119, 217, 265, 175, 134, 157, 160, 162, 140, 146, 137","140, 137, 141, 144, 137, 142, 141, 143, 146, 124, 130, 121",Sports betting
37,maxbet aplicatie,ro,61,150,1.90,,maxbet casino,2026-07-03 13:46:16,,150,7800,12000,2018-10-15,"Informational,Transactional,Branded,Non-local",Romanian,"18, 27, 56, 23, 58, 16, 12, 20, 15, 43, 22, 14, 116, 110, 101, 142, 128, 177, 228, 130, 128, 144, 115, 131",,Sports betting; Add-ons
38,maxbet 350 rotiri gratuite,ro,49,150,1.60,,cod bonus maxbet,2026-06-07 08:12:21,,150,3000,3100,2022-06-03,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"88, 77, 105, 80, 76, 73, 59, 41, 41, 32, 37, 42, 110, 90, 126, 148, 158, 187, 156, 146, 137, 118, 96, 100",,Sports betting
39,contact maxbet,ro,25,150,2.00,,maxbet contact,2026-06-06 14:27:21,,150,200,200,2016-09-12,"Informational,Branded,Non-local",English,"108, 85, 118, 71, 87, 137, 127, 113, 95, 111, 141, 109, 131, 171, 164, 183, 185, 181, 155, 137, 198, 111, 119, 115",,Gambling
40,maxbet casino login,ro,,100,,,,,,250,,,2018-05-05,,,"11, 2, 3, 29, 7, 5, 15, 4, 34, 143, 161, 66, 227, 234, 105, 44, 41, 53, 92, 91, 58, 74, 62, 50",,
