#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,mozzartbet,ro,61,13000,0.40,1.08,mozzartbet,2026-07-04 17:45:54,Sitelinks,383000,13000,532000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"11743, 13656, 14059, 15572, 14792, 32806, 15438, 11194, 17840, 15507, 14357, 11846, 9803, 11877, 9567, 13754, 13243, 17426, 13120, 11029, 14714, 15175, 10701, 8209","5938, 7170, 7825, 10700, 8509, 13593, 9451, 7441, 11249, 11803, 7435, 5037",Sports betting
2,mozzartbet ro,ro,59,450,0.60,,www mozzartbet.ro,2026-06-16 01:28:16,Sitelinks,500,0,1300,2015-09-25,"Navigational,Branded,Non-local",,"491, 603, 551, 761, 605, 943, 863, 583, 708, 552, 481, 440, 359, 493, 496, 573, 457, 571, 540, 432, 457, 417, 353, 320","315, 420, 356, 522, 374, 550, 484, 379, 425, 367, 314, 287",Sports betting
3,mozzartbet bonus fara depunere,ro,47,250,0.40,,mozzart casino,2026-05-24 01:43:15,Sitelinks,300,350,350,2021-09-11,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"137, 261, 214, 265, 223, 304, 325, 255, 508, 259, 324, 155, 228, 313, 327, 353, 186, 278, 236, 438, 218, 216, 240, 242","256, 266, 257, 255, 357, 276, 268, 282, 295, 303, 238, 240",Sports betting
4,mozzartbet casino,ro,71,250,0.50,,mozzart casino,2026-06-17 08:10:32,,1900,450,5900,2020-01-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"171, 197, 259, 112, 143, 502, 175, 105, 207, 291, 203, 319, 253, 203, 208, 256, 298, 407, 179, 124, 173, 209, 190, 227","170, 219, 237, 228, 246, 500, 194, 130, 202, 252, 200, 263",Lottery; Sports betting
5,mozzartbet live,ro,,200,0.20,,,,,200,,,2015-10-17,"Informational,Navigational,Transactional,Branded,Non-local",Romanian,"3, 3, 3, 3, 3, 3, 15, 3, 3, 4, 3, 3, 5, 205, 330, 336, 260, 158, 216, 331, 226, 249, 140, 140","140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140, 140",Sports betting; Sports
6,cod bonus mozzartbet,ro,,150,,,,,,150,,,2023-11-30,,,"0, 0, 0, 0, 0, 0, 0, 3, 6, 7, 2, 0, 67, 67, 131, 158, 179, 221, 248, 196, 124, 129, 143, 148",,
7,mozzartbet apk,ro,54,150,1.00,,mozzartbet apk,2026-06-05 09:36:09,People also ask,400,40,150,2017-11-30,"Commercial,Transactional,Branded,Non-local",English,"3, 6, 5, 2, 2, 3, 5, 1, 4, 7, 10, 1, 95, 126, 169, 153, 134, 168, 158, 155, 99, 90, 107, 112",,Sports betting
8,mozzartbet romania,ro,41,150,1.30,,mozzartbet romania,2026-06-26 18:42:03,,250,90,150,2015-09-30,"Informational,Navigational,Commercial,Branded,Non-local",,"8, 179, 329, 124, 1, 24, 104, 83, 339, 200, 100, 88, 145, 177, 44, 166, 136, 142, 203, 216, 374, 110, 94, 152",,Sports betting
9,bonus mozzartbet,ro,,100,1.90,,,,,100,,,2016-11-26,,,"29, 35, 35, 35, 33, 42, 43, 33, 49, 38, 49, 44, 112, 92, 110, 106, 97, 127, 76, 98, 76, 73, 79, 72",,
10,mozzartbet contact,ro,59,100,0.10,,mozzart bet romania,2026-06-23 05:20:13,,150,30,30,2016-03-09,"Informational,Branded,Non-local",English,"32, 27, 33, 41, 35, 72, 63, 40, 54, 87, 59, 50, 54, 71, 52, 102, 116, 178, 153, 151, 94, 92, 92, 76",,Sports betting; Business
