#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,pokerstars,ro,65,9200,1.40,1.02,pokerstars,2026-07-05 14:35:33,Image pack,466000,8600,8600,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"11462, 10826, 9811, 11525, 10903, 12319, 12640, 9836, 9618, 9445, 8395, 8090, 8290, 7992, 8786, 8994, 8922, 10546, 10234, 9183, 9593, 10624, 9297, 8365","8223, 7916, 8719, 8939, 8878, 10503, 10201, 9159, 9573, 10607, 9284, 8356",Casino games; Sports betting
2,pokerstars casino,ro,68,5100,1.30,0.93,cazinouri online,2026-07-09 08:11:58,Sitelinks,73000,11000,12000,2015-09-09,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"5277, 5504, 6177, 6471, 5757, 5565, 4685, 4190, 4373, 5070, 5424, 5600, 5006, 5233, 5905, 6199, 5486, 5293, 4413, 3918, 4101, 4799, 5152, 5329","4735, 4961, 5634, 5928, 5215, 5022, 4142, 3647, 3830, 4527, 4881, 5057",Gambling
3,pokerstars online,ro,77,400,3.00,1.13,pokerstars,2026-06-21 04:56:22,Sitelinks,2900,11000,11000,2015-09-27,"Navigational,Transactional,Branded,Non-local",English,"381, 403, 358, 424, 392, 368, 393, 450, 505, 462, 420, 418, 372, 394, 349, 414, 382, 359, 383, 440, 496, 453, 411, 408","362, 385, 339, 405, 373, 349, 374, 431, 487, 444, 401, 399",Casino games
4,pokerstars download,ro,66,350,1.20,1.05,pokerstars casino,2026-06-12 03:11:06,,12000,450,8600,2015-09-03,"Navigational,Transactional,Branded,Non-local",English,"269, 326, 253, 413, 424, 415, 415, 351, 351, 393, 280, 295, 268, 326, 253, 412, 424, 414, 415, 351, 351, 393, 280, 295","268, 326, 252, 412, 424, 414, 415, 350, 351, 393, 280, 295",Internet; Casino games
5,pokerstars bonus fara depunere,ro,48,300,2.50,,pokerstars bonus,2026-06-17 12:18:25,,350,400,400,2016-01-10,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"163, 201, 196, 157, 159, 165, 310, 179, 140, 212, 355, 197, 253, 220, 375, 360, 309, 268, 345, 305, 296, 269, 280, 281","310, 273, 292, 258, 257, 239, 304, 265, 256, 230, 241, 243",Sports betting
6,pokerstars romania,ro,0,300,1.50,1.05,pokerstars,2026-05-28 20:02:27,Sitelinks,600,11000,11000,2015-09-08,"Informational,Navigational,Commercial,Branded,Non-local",English,"656, 477, 916, 792, 978, 768, 494, 332, 473, 405, 322, 268, 417, 461, 489, 258, 248, 290, 308, 290, 296, 280, 280, 255","257, 277, 301, 305, 284, 288, 306, 289, 295, 279, 279, 255",Casino games
7,pokerstars bonus code,ro,73,250,2.50,1.37,star code pokerstars,2026-05-26 23:50:44,"Featured snippet,People also ask",6100,50,6900,2015-10-02,"Informational,Commercial,Transactional,Branded,Non-local",English,"392, 218, 478, 572, 696, 862, 396, 264, 387, 317, 390, 382, 268, 229, 276, 274, 158, 160, 145, 149, 232, 225, 217, 193","189, 76, 101, 141, 171, 211, 144, 147, 231, 224, 216, 192",Casino games; Promotional giveaways
8,pokerstars ro,ro,33,200,1.00,1.08,pokerstars,2026-07-04 07:04:13,,700,500,500,2015-11-08,"Navigational,Branded,Non-local",,"281, 195, 405, 203, 320, 321, 181, 153, 213, 184, 191, 140, 201, 172, 214, 197, 163, 229, 225, 236, 228, 252, 238, 227","217, 209, 229, 223, 225, 233, 234, 212, 228, 215, 238, 227",Casino games
9,bonus pokerstars,ro,58,200,5.00,1.07,pokerstars bonus,2026-06-10 12:58:32,,2100,350,400,2015-09-12,"Informational,Commercial,Branded,Non-local",English,"52, 53, 100, 62, 57, 67, 126, 62, 68, 56, 74, 62, 147, 151, 210, 176, 217, 263, 286, 169, 154, 144, 176, 155",,Casino games
10,pokerstars rotiri fara depunere,ro,,200,,,,,,250,,,2022-07-02,,,"0, 0, 0, 2, 0, 4, 4, 3, 6, 32, 15, 8, 107, 103, 89, 164, 175, 536, 596, 212, 125, 162, 225, 165",,
