#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,publicwin,ro,55,9400,1.00,1.09,publicwin,2026-07-06 05:38:56,,12000,12000,12000,2017-01-30,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"22872, 21329, 22686, 18709, 19439, 22929, 15676, 10005, 8553, 11601, 9089, 9034, 11067, 13212, 13191, 9519, 8745, 9798, 6915, 6565, 7582, 9688, 7974, 7484","6772, 9521, 9838, 6117, 5583, 6648, 3946, 3640, 4799, 6967, 5370, 4949",Sports betting
2,publicwin casino,ro,42,300,0.90,,publicwin casino,2026-05-27 14:56:37,,450,80,2500,2019-12-09,"Informational,Commercial,Branded,Non-local",English,"324, 333, 218, 281, 267, 544, 252, 254, 320, 348, 450, 326, 333, 258, 309, 427, 697, 394, 117, 72, 166, 252, 145, 137","129, 132, 123, 137, 122, 143, 99, 116, 148, 142, 135, 121",Gambling
3,publicwin bonus fara depunere,ro,59,250,1.00,,publicwin bonus fara depunere,2026-06-25 02:51:22,Sitelinks,300,150,150,2018-08-23,"Informational,Commercial,Branded,Non-local",Romanian,"253, 308, 311, 374, 464, 209, 221, 383, 207, 204, 203, 242, 147, 212, 179, 218, 273, 400, 297, 313, 315, 306, 305, 307","292, 310, 308, 316, 334, 319, 321, 337, 339, 330, 329, 331",Gambling
4,publicwin contact,ro,0,100,0.15,,publicwin contact,2026-06-04 15:34:39,,150,50,50,2017-10-13,"Informational,Branded,Non-local",English,"93, 97, 90, 104, 103, 117, 144, 120, 83, 88, 131, 99, 192, 132, 173, 178, 174, 152, 54, 34, 43, 51, 62, 49",,Gambling; Business
5,publicwin bonus,ro,57,100,1.20,,publicwin bonus fara depunere,2026-06-02 06:12:52,,200,150,150,2017-06-19,"Informational,Commercial,Branded,Non-local",English,"144, 97, 109, 113, 104, 130, 118, 94, 128, 110, 119, 128, 126, 104, 117, 121, 112, 139, 127, 101, 137, 118, 127, 137","135, 112, 126, 129, 119, 149, 136, 108, 146, 126, 136, 146",Sports betting
6,publicwin rotiri gratuite fara depunere,ro,,90,1.20,,,,,100,,,2021-11-19,,,"68, 93, 71, 71, 129, 159, 190, 69, 50, 93, 172, 121, 108, 87, 71, 81, 153, 202, 102, 55, 34, 42, 44, 43",,
7,publicwin rotiri gratuite,ro,,80,0.90,,,,,100,,,2021-04-05,,,"10, 10, 9, 6, 15, 54, 62, 108, 13, 20, 27, 53, 79, 190, 249, 28, 81, 111, 21, 8, 19, 36, 44, 36",,
8,publicwin pareri,ro,42,70,1.10,,publicwin,2026-06-09 09:12:10,,80,450,450,2017-02-05,"Informational,Commercial,Branded,Non-local",Romanian,"24, 10, 23, 25, 15, 29, 74, 21, 5, 7, 14, 12, 42, 52, 46, 54, 76, 144, 144, 64, 45, 50, 90, 55",,Sports betting
9,rotiri gratuite fara depunere publicwin,ro,,60,1.50,,,,,70,,,2021-11-28,,,"77, 73, 93, 103, 105, 150, 144, 110, 98, 65, 117, 85, 100, 89, 93, 61, 32, 31, 29, 50, 27, 13, 18, 41",,
10,publicwin recenzie,ro,,60,,,,,,70,,,2020-10-10,,,"0, 1, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 40, 46, 65, 45, 59, 79, 88, 56, 49, 61, 86, 59",,
11,publicwin romania,ro,,60,,,,,,100,,,2017-02-13,,,"1, 1, 1, 2, 6, 1, 1, 0, 2, 0, 0, 1, 37, 43, 46, 45, 52, 74, 72, 66, 55, 83, 109, 61",,
12,publicwin app,ro,,60,,,,,,90,,,2019-08-23,,,"7, 8, 8, 9, 11, 7, 69, 32, 3, 6, 3, 6, 46, 52, 59, 52, 79, 59, 53, 51, 71, 73, 80, 64",,
13,publicwin aplicatie,ro,,50,,,,,,80,,,2019-08-23,,,"17, 18, 23, 22, 21, 49, 139, 60, 9, 16, 13, 8, 28, 33, 21, 34, 51, 240, 31, 16, 18, 37, 50, 40",,
14,publicwin verificare,ro,,50,,,,,,50,,,2017-11-03,"Informational,Transactional,Branded,Non-local",Romanian,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 33, 38, 57, 36, 38, 36, 43, 39, 68, 80, 64",,Sports betting
