#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,stanleybet,ro,48,51000,0.30,1.06,stanleybet,2026-07-05 20:04:40,"Sitelinks,Video preview",112000,57000,59000,2015-09-01,"Navigational,Commercial,Transactional,Branded,Non-local",,"52388, 54485, 53858, 54734, 50446, 55876, 47601, 43762, 49090, 52454, 41789, 49734, 54190, 54624, 49984, 60527, 50906, 59091, 48146, 43636, 45071, 51434, 49672, 43989","49379, 56527, 58032, 60147, 58065, 59403, 53963, 58764, 56634, 59828, 49211, 43592",Sports betting
2,stanleybet oferta fotbal,ro,49,2700,0.02,1.06,stanleybet oferta fotbal,2026-07-07 05:49:00,Sitelinks,2800,3200,3300,2015-11-02,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"1781, 1824, 2048, 2647, 2296, 2131, 2231, 2834, 2879, 2592, 1644, 1913, 2250, 2295, 2565, 3301, 2853, 2637, 2750, 3481, 3524, 3163, 2000, 2320","2720, 2765, 3083, 3956, 3409, 3143, 3270, 4129, 4170, 3734, 2355, 2726",Sports betting; Sports
3,stanleybet oferta,ro,22,1800,0.02,1.12,stanleybet,2026-06-18 02:45:28,Sitelinks,1800,57000,58000,2015-09-04,"Informational,Commercial,Branded,Non-local",Romanian,"1718, 2020, 2340, 2386, 2009, 1807, 1775, 2211, 2294, 2342, 1853, 1461, 1517, 1781, 2061, 2098, 1765, 1585, 1555, 1933, 2002, 2041, 1612, 1269","1316, 1542, 1781, 1811, 1520, 1362, 1334, 1656, 1711, 1741, 1372, 1078",Sports betting
4,oferta stanleybet,ro,45,1200,0.01,1.36,stanleybet,2026-06-28 07:55:29,Sitelinks,1200,59000,60000,2015-09-01,"Informational,Commercial,Branded,Non-local",Romanian,"1133, 1298, 1530, 1539, 1375, 1189, 1192, 1439, 1424, 1558, 1157, 899, 1015, 1162, 1368, 1375, 1227, 1060, 1061, 1280, 1265, 1383, 1026, 796","898, 1026, 1206, 1211, 1079, 931, 931, 1121, 1106, 1207, 894, 693",Sports betting
5,stanleybet casino,ro,61,1000,0.25,,casino online,2026-06-16 22:25:06,Sitelinks,1700,6800,6900,2015-10-27,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"1099, 848, 1044, 1246, 1087, 1217, 884, 700, 697, 987, 665, 993, 1323, 1623, 1229, 1204, 1050, 1055, 845, 737, 727, 1026, 761, 671","712, 713, 474, 626, 495, 544, 367, 298, 274, 641, 367, 292",Sports betting
6,stanleybet loto,ro,50,900,0.03,1.15,stanleybet loto,2026-06-24 08:25:09,,900,1100,1100,2015-09-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"606, 850, 471, 813, 787, 1174, 637, 428, 567, 681, 705, 902, 944, 785, 795, 801, 795, 819, 1230, 1273, 808, 695, 831, 776","800, 756, 694, 723, 721, 762, 793, 781, 880, 791, 738, 694",Lottery
7,verificare bilet stanleybet,ro,19,700,0.15,1.55,cod bilet stanleybet,2026-06-26 04:01:13,Video preview,700,80,80,2015-09-01,"Informational,Navigational,Branded,Non-local",Romanian,"887, 732, 871, 724, 733, 492, 714, 552, 719, 558, 558, 527, 704, 858, 556, 556, 691, 847, 988, 845, 805, 675, 709, 743","951, 1095, 1026, 1115, 1042, 1003, 1163, 1187, 1145, 1022, 964, 1003",Sports betting
8,cod bilet stanleybet,ro,0,700,0.35,0.88,stanleybet oferta fotbal,2026-06-30 06:52:03,Video preview,700,3700,3700,2015-09-23,"Informational,Navigational,Transactional,Branded,Non-local",Romanian,"634, 652, 800, 788, 654, 791, 932, 894, 809, 806, 788, 632, 683, 827, 923, 886, 719, 772, 647, 643, 664, 331, 636, 557","524, 663, 634, 655, 671, 564, 607, 540, 540, 543, 524, 453",Sports betting
9,mega puncte stanleybet,ro,14,700,0.05,,megapuncte,2026-07-03 14:40:33,Video preview,800,800,800,2022-10-28,"Informational,Commercial,Branded,Non-local",Romanian,"1362, 1108, 1002, 1030, 322, 159, 295, 320, 1279, 825, 811, 770, 661, 769, 631, 778, 782, 709, 691, 699, 478, 458, 653, 558","563, 537, 575, 340, 359, 282, 268, 231, 367, 282, 418, 357",Sports betting
10,stanleybet verificare bilet,ro,21,600,0.15,1.42,cod bilet stanleybet,2026-06-28 10:20:42,Video preview,700,80,80,2015-09-03,"Informational,Navigational,Branded,Non-local",Romanian,"531, 670, 609, 726, 609, 534, 629, 809, 789, 708, 543, 333, 531, 670, 609, 726, 609, 534, 629, 809, 789, 708, 543, 333","530, 670, 609, 726, 609, 534, 629, 809, 789, 708, 543, 333",Sports betting
