#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,topbet,ro,26,16000,1.00,,topbet,2026-07-08 03:53:00,,87000,7400,7400,2016-01-12,"Navigational,Branded,Non-local",,"6, 6, 2, 4, 6, 4, 6, 4, 4, 4, 4, 4, 140, 2264, 1899, 10069, 8322, 30506, 23786, 21411, 40305, 48636, 6824, 35739",,Sports betting
2,topbet casino,ro,3,1000,0.90,,topbet,2026-05-21 15:54:20,,1600,,,2020-01-14,,,"0, 10, 10, 0, 11, 10, 10, 0, 0, 0, 0, 9, 54, 185, 349, 1436, 812, 1131, 710, 1548, 2265, 2821, 1259, 1930",,
3,topbet bonus fara depunere,ro,0,700,0.60,,,2026-06-01 15:12:47,,700,,,2025-08-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 99, 525, 1415, 1207, 2198, 1192, 944, 676, 11, 11, 11","11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11",
4,topbet ro,ro,,500,0.90,,,,,600,,,2025-07-30,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 311, 471, 1143, 627, 994, 717, 587, 705, 204, 155, 557",,
5,topbet casino romania,ro,,500,1.00,,,,,600,,,2025-08-13,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 216, 1375, 921, 1390, 620, 417, 427, 348, 199, 344",,
6,topbet romania,ro,,350,1.10,,,,,400,,,2025-07-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 207, 332, 671, 363, 552, 404, 312, 382, 375, 272, 389",,
7,topbet casino bonus fara depunere,ro,,300,0.80,,,,,300,,,2025-09-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 438, 361, 1190, 554, 363, 306, 57, 21, 101",,
8,topbet login,ro,,200,,,,,,39000,,,2020-09-20,,,"0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 14, 18, 34, 58, 74, 421, 392, 252, 278, 364, 338, 386",,
9,topbet rotiri gratuite fara depunere,ro,,100,,,,,,100,,,2025-10-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 68, 255, 159, 199, 167, 258, 80, 152",,
10,pariuri topbet,ro,,80,,,,,,80,,,2025-09-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 80, 91, 89, 92, 94, 133, 126, 110, 109",,
11,topbet bonus,ro,,60,,,,,,400,,,2020-09-21,,,"0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 19, 9, 34, 48, 49, 86, 62, 58, 107, 77, 65, 88",,
12,topbet cod bonus,ro,,50,,,,,,60,,,2025-12-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 117, 103, 119, 76, 28, 62",,
13,topbet fara depunere,ro,,50,,,,,,50,,,2025-11-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89, 94, 74, 83, 61, 63, 120",,
