#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,totogaming,ro,55,222000,0.90,,totogaming,2026-07-05 15:50:08,Sitelinks,905000,196000,196000,2018-10-17,"Informational,Navigational,Commercial,Branded,Non-local",,"247377, 218588, 179424, 177350, 202751, 260638, 230579, 210253, 227311, 194705, 181830, 182795, 191211, 212595, 195192, 197410, 198741, 253801, 253401, 248379, 248644, 238679, 238651, 234641","233484, 226088, 217264, 212565, 211301, 214691, 210083, 220807, 219273, 211267, 210225, 207542",Lottery
2,totogaming casino,ro,48,4200,0.60,,totogaming,2026-07-05 10:04:49,Sitelinks,13000,196000,196000,2020-04-02,"Informational,Commercial,Branded,Non-local",English,"9624, 8714, 6949, 7942, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235","4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235",Gambling
3,totogaming romania,ro,54,2100,1.00,,totogaming,2026-07-05 16:49:36,Sitelinks,3600,196000,196000,2023-02-08,"Informational,Commercial,Branded,Non-local",English,"7757, 4339, 3811, 5334, 3810, 3837, 3155, 2971, 2484, 2513, 2408, 2942, 1808, 3595, 483, 1794, 2248, 1267, 2246, 2279, 2291, 1717, 1950, 1676","1742, 1267, 1089, 1198, 989, 888, 1247, 1802, 1462, 1201, 1240, 1155",Sports betting
4,totogaming bonus fara depunere,ro,59,2100,0.80,,totogaming bonus fara depunere,2026-06-30 08:59:38,,2300,1100,1100,2024-01-18,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"1589, 1596, 1307, 1270, 1573, 1888, 2401, 2308, 2341, 1879, 1579, 1299, 1584, 1592, 1617, 1918, 2445, 2406, 2422, 2711, 2559, 2470, 2378, 2260","2171, 2126, 2036, 1989, 1980, 1964, 2034, 2305, 2178, 2080, 2005, 1884",Sports betting
5,totogaming bonus,ro,56,1700,1.10,,totogaming bonus fara depunere,2026-06-26 03:27:31,,3600,1100,1100,2020-08-21,"Informational,Commercial,Branded,Non-local",English,"813, 719, 858, 1156, 970, 1872, 1534, 1279, 694, 1078, 1352, 856, 1431, 1290, 1731, 1497, 1449, 1582, 1305, 1749, 2295, 4170, 1524, 1486","1791, 1669, 1811, 1746, 1696, 1923, 1763, 1762, 1640, 1838, 1938, 1804",Sports betting
6,totogaming ro,ro,45,1600,0.80,,totogaming,2026-07-07 11:09:11,Sitelinks,2700,197000,197000,2023-12-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"5621, 5185, 3779, 3376, 3210, 3043, 2258, 526, 2356, 2292, 1856, 2678, 2141, 2049, 316, 1635, 1930, 1335, 1493, 1381, 1651, 1465, 1644, 1539","1409, 1265, 1020, 944, 860, 760, 662, 801, 937, 906, 1020, 1012",Sports betting
7,totogaming rotiri gratuite,ro,,1400,1.30,,,,,1600,,,2024-02-16,,,"1258, 704, 464, 572, 1046, 1453, 2299, 378, 488, 345, 1880, 1836, 1843, 1472, 1819, 1488, 1472, 1904, 1920, 493, 728, 649, 888, 1281","1256, 1209, 1387, 995, 859, 1073, 855, 898, 819, 937, 896, 882",
8,totogaming casino online,ro,62,1100,0.60,,totogaming,2026-06-21 07:26:18,Sitelinks,1800,197000,197000,2023-11-18,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"1289, 1303, 1011, 885, 1028, 1585, 2877, 1889, 1625, 1312, 1313, 1233, 1581, 1604, 1028, 1278, 909, 1344, 2224, 789, 837, 549, 655, 753","1336, 921, 271, 645, 183, 1124, 2062, 657, 687, 417, 513, 624, 1201",Sports betting
9,totogaming bonus de bun venit,ro,,900,,,,,,1000,,,2024-04-21,,,"78, 47, 41, 32, 88, 51, 166, 175, 116, 88, 91, 21, 262, 208, 235, 276, 324, 434, 725, 1266, 1593, 1676, 1691, 1518",,
10,totogaming contact,ro,,900,1.50,,,,,1000,,,2024-02-08,,,"8, 39, 30, 29, 48, 50, 86, 87, 90, 109, 135, 108, 138, 136, 134, 164, 303, 262, 488, 606, 1346, 2925, 4301, 1400","1437, 1449, 1459, 1484, 1548, 1504, 1629, 1615, 1860, 1634, 1659, 1660",
11,"totogaming,ro",ro,50,600,,,totogaming,2026-07-06 04:46:16,Sitelinks,800,196000,196000,2024-01-22,"Navigational,Branded,Non-local",,"4315, 3310, 2034, 1705, 1578, 1165, 1089, 861, 1522, 755, 468, 337, 839, 574, 463, 535, 520, 497, 549, 646, 772, 716, 735, 568",,Sports betting
12,totogaming pareri,ro,48,600,,,totogaming,2026-06-01 15:29:21,,600,,,2024-02-09,,,"36, 37, 46, 49, 43, 44, 50, 51, 48, 38, 23, 32, 75, 69, 98, 100, 166, 333, 227, 237, 577, 524, 2236, 2274",,
13,totogaming bonus fara depunere 500 rotiri,ro,,450,,,,,,450,,,2024-12-19,,,"0, 0, 0, 0, 0, 9, 92, 80, 184, 244, 312, 171, 215, 240, 246, 482, 586, 477, 419, 212, 326, 514, 770, 587",,
14,totogaming login,ro,,450,0.60,,,,,1400,,,2022-11-24,,,"369, 303, 240, 441, 450, 818, 937, 804, 836, 817, 561, 534, 454, 430, 345, 439, 517, 468, 432, 363, 370, 380, 363, 351","330, 347, 346, 435, 427, 448, 425, 357, 365, 376, 360, 348",
15,totogaming bonus fara depunere 400 rotiri,ro,,350,1.60,,,,,350,,,2025-08-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 51, 65, 118, 416, 929, 1313, 243, 255, 228, 301, 369",,
16,totogaming casino bonus fara depunere,ro,,350,0.60,,,,,450,,,2024-01-30,,,"23, 43, 89, 68, 91, 46, 88, 90, 67, 196, 152, 111, 413, 270, 180, 278, 153, 296, 383, 461, 567, 495, 355, 505","504, 498, 488, 493, 483, 489, 492, 519, 520, 524, 526, 530",
17,bonus totogaming,ro,,300,,,,,,400,,,2024-02-28,,,"42, 28, 40, 20, 38, 49, 50, 217, 476, 404, 454, 317, 252, 279, 313, 279, 78, 154, 128, 235, 302, 387, 585, 314",,
18,totogaming. ro,ro,47,250,1.10,,totogaming,2026-07-07 04:12:47,Sitelinks,350,196000,196000,2024-01-19,"Navigational,Transactional,Branded,Non-local",,"559, 449, 314, 300, 59, 97, 373, 291, 309, 223, 216, 183, 180, 221, 193, 203, 46, 75, 208, 227, 535, 548, 466, 448","421, 429, 439, 436, 391, 383, 427, 459, 475, 443, 422, 398",Sports betting
19,bonus aniversar totogaming,ro,,250,,,,,,250,,,2024-11-30,,,"0, 0, 0, 0, 2, 43, 30, 22, 56, 124, 69, 48, 104, 43, 32, 34, 47, 338, 318, 320, 313, 417, 606, 333",,
20,totogaming romania rotiri gratuite,ro,,250,,,,,,250,,,2025-03-02,,,"0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 0, 0, 0, 0, 0, 0, 0, 27, 104, 204, 206, 343, 1117, 764",,
