#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,vbet,ro,46,104000,0.90,1,vbet,2026-07-07 20:13:58,Sitelinks,1000000,143000,144000,2015-09-12,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"42, 52, 63, 79, 868, 4670, 16823, 26500, 28124, 34207, 28293, 30699, 72461, 152333, 158865, 110678, 107886, 124941, 114996, 114061, 98148, 72752, 95414, 36822",,Sports betting
2,vbet casino,ro,61,14000,0.60,,vbet,2026-07-08 04:49:30,Sitelinks,40000,143000,144000,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"2, 2, 3, 2, 2, 1165, 4668, 6286, 7957, 7627, 6525, 6058, 11306, 23675, 21954, 15411, 12132, 16025, 12534, 13112, 12209, 10795, 8932, 8932","8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932",Gambling
3,vbet ro,ro,58,3600,0.80,,vbet,2026-07-06 14:22:58,Sitelinks,3900,143000,144000,2024-12-17,"Informational,Navigational,Commercial,Branded,Non-local",,"0, 0, 0, 1, 3, 55, 89, 50, 61, 75, 61, 207, 1666, 3109, 7131, 5809, 3449, 4976, 5291, 5221, 3474, 1991, 479, 1484",,Sports betting
4,vbet romania,ro,28,2300,0.90,,vbet,2026-06-29 21:57:54,Sitelinks,2600,142000,144000,2023-11-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"61, 77, 93, 91, 73, 1154, 2094, 2110, 2610, 2572, 1426, 1683, 2560, 3860, 3894, 3262, 2194, 2155, 2018, 2048, 1701, 1212, 1030, 876","744, 633, 538, 457, 389, 330, 281, 270, 270, 270, 270, 270",Sports betting
5,vbet bonus fara depunere,ro,,1200,,,,,,1300,,,2024-12-20,,,"0, 0, 0, 0, 0, 39, 510, 855, 849, 920, 862, 639, 577, 1023, 1070, 1132, 1017, 1002, 1171, 1385, 931, 653, 1650, 1722",,
6,vbet bonus,ro,57,700,0.90,,vbet bonus,2026-07-04 07:07:49,Video preview,2900,350,500,2020-02-13,"Informational,Commercial,Branded,Non-local",English,"9, 10, 10, 1, 9, 33, 51, 30, 52, 93, 91, 178, 1309, 1632, 893, 741, 1660, 1085, 217, 135, 108, 119, 147, 385",,Sports betting
7,vbet casino bonus fara depunere,ro,,600,0.70,,,,,600,,,2025-01-17,,,"0, 0, 0, 0, 0, 0, 12, 6, 2, 5, 6, 8, 36, 1821, 1970, 733, 408, 601, 510, 348, 204, 135, 50, 160",,
8,vbet rotiri fara depunere,ro,,450,,,,,,500,,,2025-04-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 53, 978, 500, 362, 210, 395, 286, 558, 352, 262, 292, 736, 589",,
9,vbet casino rotiri gratuite,ro,,400,0.90,,,,,500,,,2025-01-11,,,"0, 0, 0, 0, 0, 0, 141, 180, 329, 339, 417, 151, 226, 407, 336, 414, 759, 633, 791, 532, 376, 128, 109, 93","79, 67, 57, 48, 41, 35, 30, 25, 21, 18, 16, 14",
10,vbet cod promo,ro,,350,,,,,,350,,,2025-03-12,,,"0, 0, 0, 0, 0, 0, 0, 0, 24, 39, 53, 19, 41, 84, 144, 190, 244, 315, 417, 443, 567, 429, 495, 605",,
11,vbet rotiri gratuite,ro,,350,0.90,,,,,350,,,2025-02-18,,,"0, 0, 0, 0, 0, 0, 0, 33, 37, 45, 36, 65, 65, 162, 238, 299, 538, 660, 436, 553, 292, 244, 369, 273",,
12,cod promo vbet,ro,,300,1.30,,,,,300,,,2025-01-25,,,"0, 0, 0, 0, 0, 0, 44, 40, 49, 66, 46, 61, 167, 256, 313, 315, 398, 401, 498, 403, 333, 193, 127, 202",,
