#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,winbet,ro,68,204000,0.20,1.02,winbet,2026-07-06 14:17:51,Sitelinks,2900000,168000,209000,2015-09-04,"Informational,Navigational,Branded,Non-local",,"393312, 125634, 297224, 288855, 256471, 270261, 241200, 221393, 203447, 187291, 166882, 153864, 181437, 205812, 210916, 248584, 268822, 253136, 167054, 130841, 211384, 211898, 204338, 190059","199741, 149702, 182978, 206991, 200286, 210042, 183725, 163005, 167551, 168561, 162013, 148270",Sports betting
2,winbet casino,ro,65,3900,0.25,,winbet,2026-07-08 00:59:38,Sitelinks,19000,168000,208000,2017-11-20,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"987, 4774, 4184, 3775, 4202, 4635, 4360, 4057, 3927, 3655, 4004, 3673, 3130, 3596, 3594, 4088, 4189, 4624, 4351, 4051, 3921, 3651, 4001, 3670","3127, 3594, 3592, 4087, 4188, 4623, 4350, 4050, 3921, 3650, 4000, 3670",Gambling
3,winbet ro,ro,70,1500,0.15,,winbet,2026-07-06 07:43:50,Sitelinks,3800,168000,209000,2015-10-10,"Informational,Navigational,Branded,Non-local",,"7215, 8299, 504, 5927, 4229, 5261, 4395, 3444, 2964, 3158, 2883, 2340, 504, 504, 3793, 3807, 504, 504, 1126, 1469, 1290, 1301, 1122, 659","931, 987, 1255, 1930, 1687, 2010, 1227, 1571, 1391, 1402, 1223, 761",Sports betting
4,winbet romania,ro,60,1100,0.35,,winbet,2026-06-24 17:36:47,Sitelinks,1900,169000,177000,2016-02-01,"Informational,Navigational,Commercial,Branded,Non-local",English,"858, 839, 851, 1062, 1033, 1199, 1116, 808, 1049, 847, 736, 730, 914, 1381, 1624, 1367, 1111, 1178, 1125, 1034, 1142, 1036, 1076, 1030","1088, 1145, 1111, 1130, 1087, 1175, 1122, 1032, 1140, 1035, 1075, 1029",Sports betting
5,winbet bonus,ro,65,700,0.60,,winbet,2026-06-20 00:26:48,Sitelinks,4900,10000,10000,2019-05-17,"Informational,Commercial,Branded,Non-local",English,"844, 678, 449, 549, 449, 442, 554, 462, 560, 357, 197, 198, 222, 254, 331, 671, 978, 968, 1030, 954, 1004, 987, 993, 942","927, 839, 816, 814, 809, 876, 942, 864, 917, 899, 906, 856",Sports betting
6,winbet bonus fara depunere,ro,62,700,0.80,,winbet bonus fara depunere,2026-06-30 20:08:29,,1000,1000,1000,2020-02-06,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"2065, 1725, 1361, 1049, 1071, 1368, 1990, 1669, 1351, 1009, 610, 748, 726, 609, 812, 667, 825, 760, 846, 811, 724, 750, 589, 780","721, 709, 725, 734, 699, 650, 757, 708, 634, 651, 499, 685",Sports betting
7,winbet 2,ro,,500,,,,,,600,,,2023-12-02,,,"1, 6, 57, 10, 1, 4, 7, 38, 164, 189, 123, 70, 123, 87, 194, 370, 329, 399, 524, 786, 1007, 451, 874, 830",,
8,cod bonus winbet,ro,57,500,1.60,,winbet bonus fara depunere,2026-06-19 00:22:44,,700,1000,1100,2018-11-24,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"524, 535, 527, 521, 435, 526, 530, 522, 525, 422, 356, 288, 368, 361, 509, 653, 678, 590, 605, 513, 544, 545, 516, 491","474, 477, 464, 457, 477, 499, 497, 400, 438, 437, 413, 389",Sports betting
9,winbet rotiri gratuite,ro,57,500,0.90,,winbet bonus fara depunere,2026-07-06 14:48:00,"Bottom ads,Video preview",700,1000,1100,2020-04-18,"Informational,Commercial,Branded,Non-local",Romanian,"1446, 1151, 980, 813, 659, 549, 671, 809, 1425, 338, 272, 297, 373, 370, 481, 631, 795, 585, 569, 538, 563, 454, 377, 383","464, 446, 434, 488, 474, 400, 409, 375, 409, 302, 231, 240",Sports betting
10,winbet aplicatie,ro,58,350,0.09,,winbet aplicatie,2026-06-07 21:19:22,,500,250,300,2019-08-23,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"574, 465, 395, 385, 385, 242, 380, 372, 464, 371, 326, 268, 307, 452, 755, 639, 434, 377, 517, 198, 124, 104, 142, 90","121, 155, 138, 151, 145, 162, 182, 124, 161, 162, 134, 74",Sports betting
11,winbet login,ro,61,300,0.10,,winbet,2026-06-05 16:55:13,Sitelinks,10000,169000,192000,2019-11-28,"Navigational,Transactional,Branded,Non-local",English,"478, 288, 291, 251, 206, 239, 254, 335, 284, 188, 154, 123, 185, 346, 423, 415, 278, 396, 301, 312, 299, 284, 285, 262","324, 302, 316, 373, 332, 404, 305, 315, 302, 286, 287, 263",Sports betting
12,winbet cod bonus,ro,57,250,2.00,,winbet bonus fara depunere,2026-07-05 18:23:48,,400,1000,1000,2018-11-28,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"279, 345, 285, 275, 279, 229, 226, 271, 279, 268, 186, 124, 207, 279, 284, 338, 304, 281, 268, 270, 238, 198, 164, 144","158, 193, 161, 165, 244, 298, 278, 280, 247, 206, 170, 149",Sports betting
13,winbet casino online,ro,49,250,0.01,,winbet,2026-05-27 06:11:28,Sitelinks,2500,166000,182000,2020-01-12,"Navigational,Transactional,Branded,Non-local",English,"407, 403, 331, 412, 265, 263, 211, 169, 233, 190, 123, 137, 242, 246, 285, 268, 273, 294, 268, 272, 291, 258, 231, 224","265, 246, 263, 279, 272, 294, 268, 273, 291, 258, 232, 224",Gambling
14,winbet contact,ro,40,250,0.20,,winbet ro,2026-06-07 15:13:55,Sitelinks,400,450,450,2019-11-10,"Informational,Navigational,Branded,Non-local",English,"282, 289, 233, 281, 293, 189, 229, 229, 226, 338, 151, 151, 159, 157, 351, 359, 351, 243, 241, 255, 236, 252, 202, 196","201, 182, 170, 177, 184, 154, 152, 156, 151, 163, 123, 115",Sports betting; Business
15,winbet rotiri fara depunere,ro,,250,0.50,,,,,250,,,2021-03-18,,,"166, 106, 61, 84, 245, 367, 242, 239, 125, 119, 157, 159, 212, 217, 191, 327, 298, 324, 252, 262, 241, 244, 258, 267","280, 268, 257, 310, 320, 341, 270, 279, 258, 262, 276, 285",
16,casino winbet,ro,64,200,0.60,,winbet,2026-07-06 00:35:32,Sitelinks,700,169000,209000,2015-09-22,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"131, 233, 67, 67, 73, 75, 71, 54, 26, 16, 29, 24, 68, 76, 54, 136, 250, 219, 261, 189, 253, 277, 217, 184",,Sports betting
17,winbet bg,ro,,200,0.30,,,,,72000,,,2020-01-19,,,"3, 33, 72, 132, 79, 80, 106, 88, 181, 113, 103, 153, 132, 134, 92, 116, 159, 248, 146, 279, 316, 185, 168, 167",,
18,bonus winbet,ro,60,200,3.00,,winbet bonus fara depunere,2026-07-05 19:43:16,Sitelinks,400,1000,1000,2019-08-05,"Informational,Commercial,Branded,Non-local",English,"55, 85, 65, 78, 74, 57, 70, 62, 60, 56, 54, 52, 146, 123, 154, 149, 190, 311, 259, 184, 188, 193, 222, 186",,Sports betting
19,winbet online,ro,67,200,0.15,,winbet,2026-06-14 10:57:36,Sitelinks,4200,169000,200000,2020-01-12,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"148, 96, 146, 77, 76, 70, 82, 107, 160, 161, 173, 180, 67, 298, 535, 523, 352, 270, 106, 41, 64, 67, 42, 85","108, 147, 166, 180, 148, 114, 94, 59, 61, 77, 104, 83",Sports betting
