#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,winmasters,ro,0,17000,0.15,1.1,winmasters,2026-07-06 07:05:02,Sitelinks,136000,28000,29000,2015-09-01,"Navigational,Branded,Non-local",,"13228, 15125, 14802, 15944, 16020, 19098, 21829, 18516, 16305, 16746, 15128, 15141, 14644, 15101, 14781, 15924, 16003, 19080, 21810, 18502, 16295, 16736, 15120, 15134","14639, 15096, 14776, 15919, 15999, 19076, 21806, 18499, 16292, 16734, 15119, 15132",Development
2,winmasters casino,ro,66,900,0.15,,winmasters casino,2026-06-21 10:06:09,,2700,600,600,2016-01-28,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"518, 726, 1194, 1373, 912, 608, 706, 886, 696, 707, 883, 643, 791, 1126, 1245, 821, 662, 1007, 986, 889, 818, 757, 782, 749","705, 722, 712, 728, 679, 705, 765, 689, 613, 563, 588, 561",Sports betting
3,winmasters bonus fara depunere,ro,55,700,0.25,,winmasters bonus fara depunere,2026-06-28 16:26:47,,800,900,900,2016-04-11,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"568, 694, 239, 291, 790, 708, 1536, 2958, 2353, 1567, 291, 457, 346, 418, 409, 605, 811, 866, 1370, 1583, 1037, 624, 331, 641","610, 769, 415, 660, 999, 810, 1545, 2067, 919, 392, 18, 557",Sports betting
4,winmasters romania,ro,1,350,0.25,1.05,winmasters casino,2026-06-16 01:19:00,Sitelinks,450,150,400,2015-09-08,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"199, 218, 258, 319, 247, 308, 303, 566, 185, 522, 141, 338, 281, 447, 508, 396, 265, 296, 363, 348, 332, 364, 357, 334","332, 427, 432, 389, 321, 314, 385, 369, 352, 385, 378, 354",Sports betting; Sports
5,winmasters rotiri fara depunere,ro,,250,,,,,,250,,,2025-02-15,,,"0, 0, 0, 0, 0, 0, 0, 48, 151, 145, 116, 60, 98, 148, 71, 137, 256, 279, 417, 328, 284, 360, 323, 271",,
6,winmasters bonus,ro,59,250,0.20,1.09,winmasters bonus,2026-06-21 08:45:26,Sitelinks,600,450,450,2015-09-02,"Informational,Commercial,Branded,Non-local",English,"441, 676, 678, 444, 244, 371, 372, 554, 442, 461, 381, 202, 174, 224, 405, 255, 209, 305, 389, 275, 258, 281, 299, 262","234, 242, 264, 240, 216, 301, 385, 272, 255, 279, 297, 260",Sports betting
7,winmasters rotiri gratuite fara depunere,ro,54,250,0.20,,winmasters bonus fara depunere,2026-06-18 20:02:20,,300,800,800,2021-06-21,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"138, 167, 204, 253, 205, 139, 395, 316, 142, 139, 208, 66, 181, 185, 185, 444, 281, 310, 358, 286, 287, 254, 247, 202","199, 192, 188, 188, 160, 165, 199, 164, 152, 139, 130, 96",Gambling
8,winmasters casino bonus fara depunere,ro,,200,0.40,,,,,200,,,2021-06-20,,,"0, 0, 0, 0, 0, 0, 0, 2, 29, 32, 35, 32, 37, 176, 203, 141, 151, 220, 286, 287, 221, 251, 168, 169",,
9,winmasters cod bonus,ro,41,200,1.70,,winmasters bonus fara depunere,2026-06-15 23:51:41,,250,600,600,2016-07-08,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"29, 29, 63, 48, 43, 39, 72, 116, 92, 108, 136, 138, 113, 96, 125, 159, 234, 168, 224, 254, 209, 251, 183, 155",,Sports betting
10,cod bonus winmasters,ro,49,200,0.60,1.21,winmasters bonus fara depunere,2026-06-17 02:51:52,Sitelinks,300,200,200,2015-09-01,"Informational,Commercial,Transactional,Branded,Non-local",English,"124, 198, 244, 238, 198, 197, 364, 636, 257, 438, 440, 228, 204, 175, 205, 185, 197, 235, 261, 269, 207, 210, 203, 161","146, 153, 142, 140, 137, 154, 193, 203, 142, 148, 143, 102",Sports betting
