Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
rotiri gratuite fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,67000,69,2.60,1,5318,5317,,44,8,36,,https://jucatorul.ro/cazino/recenzii/frankcasino/bonus-fara-depunere/,,https://jucatorul.ro/bonusuri/rotiri-gratuite/100-rotiri-gratuite/,2024-06-27 05:44:25,2026-06-16 13:34:16
888 casino,RO,Romania,Romanian,888 Casino (Organization),true,false,true,true,true,true,"Sitelinks, Knowledge panel, Video preview",120000,8,1.16,1922,,,,13,,Lost,,https://jucatorul.ro/cazino/recenzii/888-casino/,,,2024-06-27 20:42:35,
spin.ro casino,RO,Romania,Romanian,Spin.ro Casino (Organization),true,false,true,true,true,true,"Sitelinks, Video preview",13000,13,0.44,1185,,,,4,,Lost,,https://jucatorul.ro/cazino/recenzii/spin-casino/,,,2024-06-27 00:46:08,
luck casino,RO,Romania,English,Luck Casino (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Knowledge panel, Image pack, Video preview, Bottom ads, Paid sitelinks",23000,1,0.67,1060,,,,8,,Lost,,https://jucatorul.ro/cazino/recenzii/luck-casino/,,,2024-06-27 02:45:05,
bonus fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,,48000,72,2.33,0,1030,1030,,52,7,45,,https://jucatorul.ro/bonusuri/fara-depunere/,,https://jucatorul.ro/bonusuri/rotiri-gratuite/100-rotiri-gratuite/,2024-06-27 18:58:49,2026-06-16 03:38:05
frank casino,RO,Romania,,Frank Casino (Organization),true,false,false,true,true,false,"Top ads, Paid sitelinks, Sitelinks, Knowledge panel, Image pack, Video preview",17000,7,0.77,865,,,,7,,Lost,,https://jucatorul.ro/cazino/recenzii/frankcasino/bonus-fara-depunere/,,,2024-06-27 11:45:05,
joker casino,RO,Romania,English,Joker Casino (Organization),true,false,false,true,true,false,Sitelinks,16000,26,1.00,,836,,,,7,New,,,,https://jucatorul.ro/cazino/recenzii/joker-casino/,,2026-06-19 23:19:42
bonus aniversar casino,RO,Romania,Romanian,,false,false,false,true,true,false,,4600,61,1.11,43,758,715,,5,2,3,,https://jucatorul.ro/bonusuri/de-ziua-ta/,,https://jucatorul.ro/bonusuri/de-ziua-ta/,2024-06-24 18:45:43,2026-06-27 05:45:59
mr bit,RO,Romania,,MrBit (Organization),true,false,false,true,true,false,"Top ads, Paid sitelinks, Sitelinks, Knowledge panel, Video preview, Image pack",22000,2,0.32,714,,,,9,,Lost,,https://jucatorul.ro/cazino/recenzii/mrbit/retragere/,,,2024-06-27 20:55:54,
don ro,RO,Romania,Romanian,Don.ro (Organization),true,false,false,true,true,false,Sitelinks,45000,41,1.27,1222,706,-517,,2,12,-10,,https://jucatorul.ro/cazino/recenzii/don-casino/rotiri-gratuite/,,https://jucatorul.ro/cazino/recenzii/don-casino/,2024-06-26 19:25:59,2026-06-21 04:16:59
