Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
casino online romania,RO,Romania,Romanian,Romania (Location),false,true,false,true,true,true,,22000,81,2.89,53,11065,11012,,13,1,12,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-27 12:46:18,2026-06-24 11:16:58
cazinouri online,RO,Romania,Romanian,,false,false,false,true,true,true,Video preview,38000,82,2.76,22,3900,3877,,18,4,14,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-27 02:16:26,2026-06-16 02:34:45
don casino,RO,Romania,Romanian,Don Casino (Organization),true,false,false,true,true,false,Sitelinks,33000,56,1.04,7,3088,3081,,25,4,21,,https://legalbet.ro/feedback/don-sport/,,https://legalbet.ro/cazinouri/doncasino/,2024-06-27 11:41:32,2026-06-22 11:28:16
seven casino,RO,Romania,English,Seven Casino (Organization),true,false,true,true,true,false,"Sitelinks, Knowledge panel",25000,74,0.52,32,2914,2882,,21,3,18,,https://legalbet.ro/bonus/seven-casino-2800-de-lei-si-720-de-rotiri-gratuite-bonus-de-bun-venit/,,https://legalbet.ro/cazinouri/seven-casino/,2024-06-27 03:52:23,2026-06-14 20:07:23
cazinouri noi,RO,Romania,Romanian,,false,false,false,true,true,false,,7400,77,0.97,146,2684,2538,,4,1,3,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-27 13:45:03,2026-06-22 01:42:43
casino online nou,RO,Romania,Romanian,,false,false,false,true,true,false,,6800,73,2.21,65,2483,2418,,5,1,4,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-25 00:22:35,2026-06-21 22:00:12
prowin casino,RO,Romania,Romanian,ProWin (Organization),true,false,false,true,true,false,Sitelinks,13000,0,0.50,,2158,,,,2,New,,,,https://legalbet.ro/cazinouri/prowin-casino/,,2026-06-20 13:16:25
fotbal azi,RO,Romania,Romanian,,false,false,false,true,false,false,"Top stories, Thumbnail, Video preview",16000,61,0.33,2,1825,1823,,15,3,12,,https://legalbet.ro/centrul-de-pariere/astazi/,,https://legalbet.ro/centrul-de-pariere/astazi/,2024-06-27 01:41:18,2026-06-21 14:15:26
magic jackpot,RO,Romania,English,Magic Jackpot (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",18000,58,1.38,2,1797,1795,,35,4,31,,https://legalbet.ro/cazinouri/magic-jackpot/,,https://legalbet.ro/scoala-de-cazino/aplicatie-magic-jackpot/,2024-06-27 10:00:07,2026-06-16 02:22:03
royal casino,RO,Romania,English,Royal Casino (Organization),true,false,false,true,true,true,"Sitelinks, Video preview",25000,42,0.57,,1720,,,,2,New,,,,https://legalbet.ro/cazinouri/royal-casino/,,2026-06-21 01:59:28
top casino,RO,Romania,English,,false,false,false,true,true,false,"Sitelinks, Video preview",4400,74,1.98,54,1599,1546,,4,1,3,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-07 07:18:53,2026-06-22 09:02:40
total bet,RO,Romania,English,TotalBet (Organization),true,false,true,true,true,false,Sitelinks,20000,61,0.77,0,1512,1512,,13,2,11,,https://legalbet.ro/scoala-pariurilor/recenzia-casei-de-pariuri-totalbet/,,https://legalbet.ro/scoala-pariurilor/recenzia-casei-de-pariuri-totalbet/,2024-06-27 19:23:09,2026-06-18 03:10:40
lasvegas,RO,Romania,Romanian,Las Vegas (Location),false,true,false,true,false,false,Sitelinks,46000,86,0.70,,1502,,,,4,New,,,,https://legalbet.ro/cazinouri/las-vegas/,,2026-06-17 17:13:38
rotiri gratuite fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,18000,67,2.01,,1365,,,,5,New,,,,https://legalbet.ro/cazinouri/rotiri-gratuite/,,2026-06-22 12:08:06
max win casino,RO,Romania,English,Max Win Casino (Organization),true,false,false,true,true,false,Sitelinks,11000,47,0.56,,1335,,,,3,New,,,,https://legalbet.ro/cazinouri/maxwin-casino/,,2026-06-21 17:05:53
ponturi pariuri,RO,Romania,Romanian,,false,false,false,true,false,false,,9100,58,0.66,455,1250,795,,11,6,5,,https://legalbet.ro/ponturi/,,https://legalbet.ro/ponturi/ponturile-de-astazi/,2024-06-27 18:42:40,2026-06-16 01:42:12
las vegas casino,RO,Romania,English,Las Vegas (Location),false,true,false,true,true,false,"Sitelinks, Video preview",33000,38,0.74,,1177,,,,2,New,,,,https://legalbet.ro/cazinouri/las-vegas/,,2026-06-20 09:58:56
las vegas.ro,RO,Romania,Romanian,Las Vegas Casino (Organization),true,false,true,false,true,true,"Sitelinks, Video preview",9700,57,0.87,86,1144,1058,,14,3,11,,https://legalbet.ro/feedback/las-vegas/,,https://legalbet.ro/cazinouri/las-vegas/,2024-06-27 14:46:22,2026-06-16 15:58:50
rotiri gratuite fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,67000,69,2.60,,1115,,,,15,New,,,,https://legalbet.ro/cazinouri/rotiri-gratuite/,,2026-06-16 13:34:16
lady casino,RO,Romania,English,Lady Casino (Organization),true,false,true,true,true,true,Sitelinks,18000,56,0.43,,1058,,,,6,New,,,,https://legalbet.ro/cazinouri/lady-casino/,,2026-06-20 23:19:14
cazinouri online noi,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,7100,68,1.48,52,1035,983,,5,2,3,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-25 02:11:25,2026-06-22 12:07:32
ce meciuri sunt azi,RO,Romania,Romanian,,false,false,false,true,false,false,,7300,59,0.21,1056,1024,-32,,3,2,1,,https://legalbet.ro/centrul-de-pariere/astazi/,,https://legalbet.ro/centrul-de-pariere/astazi/,2024-06-26 18:37:50,2026-06-22 01:45:14
maxwin casino,RO,Romania,Romanian,Maxwin Casino (Organization),true,false,false,true,true,false,Sitelinks,8300,27,0.56,,974,,,,3,New,,,,https://legalbet.ro/cazinouri/maxwin-casino/,,2026-06-17 08:53:41
one casino,RO,Romania,English,One Casino (Organization),true,false,true,true,true,false,"Sitelinks, Knowledge panel",25000,54,0.69,,957,,,,8,New,,,,https://legalbet.ro/cazinouri/one-casino/,,2026-06-26 23:54:19
cazinouri noi romania,RO,Romania,Romanian,Romania (Location),false,false,false,true,true,false,Sitelinks,6400,72,1.18,63,941,878,,5,2,3,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-25 03:19:36,2026-06-21 00:59:29
royal slots,RO,Romania,English,Royal Slots (Organization),true,false,false,true,true,false,Sitelinks,7600,61,0.91,,889,,,,3,New,,,,https://legalbet.ro/cazinouri/royal-casino/,,2026-06-24 17:56:24
meci azi ora 22,RO,Romania,Romanian,,false,false,false,true,false,false,,2300,59,0.11,593,848,256,,4,1,3,,https://legalbet.ro/centrul-de-pariere/astazi/,,https://legalbet.ro/centrul-de-pariere/astazi/,2024-06-22 10:12:06,2026-06-15 14:41:06
cazinouri online romania,RO,Romania,Romanian,Romania (Location),false,false,false,true,true,false,Video preview,7200,83,2.26,54,841,787,,9,3,6,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-24 22:44:11,2026-06-17 01:05:12
cazinouri noi 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,2100,71,0.83,,821,,,,1,New,,,,https://legalbet.ro/cazinouri/,,2026-06-20 22:05:47
max win,RO,Romania,,MaxWin (Organization),true,false,false,true,true,false,Sitelinks,11000,2,0.76,,820,,,,5,New,,,,https://legalbet.ro/cazinouri/maxwin-casino/,,2026-06-16 15:05:17
lista cazinouri online romania,RO,Romania,Romanian,,false,true,false,true,true,false,,5100,73,1.47,128,755,626,,2,2,,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-24 11:56:00,2026-06-17 14:23:58
conti casino,RO,Romania,Romanian,Conti Casino (Organization),true,false,false,true,true,false,Sitelinks,24000,59,0.55,5,727,722,,34,9,25,,https://legalbet.ro/cazinouri/conti-cazino/,,https://legalbet.ro/cazinouri/conti-cazino/,2024-06-27 06:43:03,2026-06-20 05:05:10
cazino romania,RO,Romania,Romanian,"Cazino (Organization), Romania (Location)",true,false,false,true,true,false,,6000,82,4.47,19,710,691,,9,3,6,,https://legalbet.ro/cazinouri/,,https://legalbet.ro/cazinouri/,2024-06-16 18:02:49,2026-06-22 00:58:53
