Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
bonus fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,,48000,72,2.33,2335,41552,39218,,4,1,3,,https://pariurix.com/casino/bonus-fara-depunere,,https://pariurix.com/casino/bonus-fara-depunere,2024-06-27 18:58:49,2026-06-16 03:38:05
casa pariurilor,RO,Romania,Romanian,Casa Pariurilor (Organization),true,false,false,true,true,false,"Top ads, Paid sitelinks, Sitelinks, Video preview",329000,4,1.33,29375,,,,2,,Lost,,https://pariurix.com/agentii/recenzii/casa-pariurilor,,,2024-06-27 11:53:02,
rotiri gratuite fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,67000,69,2.60,0,12984,12984,,53,4,49,,https://pariurix.com/casino/bonus-fara-depunere,,https://pariurix.com/casino/bonus-fara-depunere,2024-06-27 05:44:25,2026-06-16 13:34:16
princess casino,RO,Romania,English,Princess Casino (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Knowledge panel, Video preview, Image pack, Bottom ads, Paid sitelinks",91000,3,1.63,10690,,,,3,,Lost,,https://pariurix.com/casino/recenzii/princess-casino,,,2024-06-27 00:43:13,
rotiri gratuite fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,18000,67,2.01,,6598,,,,1,New,,,,https://pariurix.com/casino/bonus-fara-depunere,,2026-06-22 12:08:06
superbet,RO,Romania,Romanian,Superbet (Organization),true,false,false,true,true,false,"Sitelinks, Knowledge panel, Video preview",2040000,3,0.53,5286,,,,3,,Lost,,https://pariurix.com/agentii/recenzii/superbet,,,2024-06-26 22:11:18,
king casino,RO,Romania,Romanian,King Casino (Organization),true,false,true,true,true,false,Sitelinks,20000,34,0.54,,4490,,,,2,New,,,,https://pariurix.com/casino/recenzii/king-casino,,2026-06-21 12:02:36
888 casino,RO,Romania,Romanian,888 Casino (Organization),true,false,true,true,true,true,"Sitelinks, Knowledge panel, Video preview",120000,8,1.16,3746,,,,10,,Lost,,https://pariurix.com/casino/recenzii/888casino,,,2024-06-27 20:42:35,
copa america,RO,Romania,English,Copa America (Event),true,false,false,true,false,false,"Top stories, Thumbnail, Videos, Video preview, Knowledge panel",58000,18,,3673,,,,1,,Lost,Top stories,https://pariurix.com/ponturi/fotbal/altecampionate/sua-bolivia-302523.html,,,2024-06-22 08:20:58,
bonus fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,9200,71,2.04,,3353,,,,1,New,,,,https://pariurix.com/casino/bonus-fara-depunere,,2026-06-16 14:00:26
casino fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,,9200,73,1.64,109,3349,3240,,8,1,7,,https://pariurix.com/casino/bonus-fara-depunere,,https://pariurix.com/casino/bonus-fara-depunere,2024-06-27 21:52:07,2026-06-17 18:23:42
casino bonus fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,,9100,66,1.98,220,3295,3075,,6,1,5,,https://pariurix.com/casino/bonus-fara-depunere,,https://pariurix.com/casino/bonus-fara-depunere,2024-06-27 03:33:44,2026-06-24 21:15:14
million casino,RO,Romania,English,Million Casino (Organization),true,false,false,true,true,false,Sitelinks,27000,52,1.13,3,3234,3230,,35,2,33,,https://pariurix.com/casino/recenzii/million-casino,,https://pariurix.com/casino/recenzii/million-casino,2024-06-27 23:51:42,2026-06-17 18:16:01
