Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
bonus fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,,48000,72,2.33,0,22438,22438,,57,2,55,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,2024-06-27 18:58:49,2026-06-16 03:38:05
winner,RO,Romania,English,Winner (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",71000,0,0.76,3412,,,,2,,Lost,,https://www.pontul-zilei.com/agentie/winner/,,,2024-06-27 16:12:31,
rotiri gratuite fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,18000,67,2.01,,2666,,,,2,New,,,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,,2026-06-22 12:08:06
don casino,RO,Romania,Romanian,Don Casino (Organization),true,false,false,true,true,false,Sitelinks,33000,56,1.04,0,2470,2470,,41,5,36,,https://www.pontul-zilei.com/agentie/don-ro/,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/don-ro-casino-bonus-fara-depunere/,2024-06-27 11:41:32,2026-06-22 11:28:16
don ro,RO,Romania,Romanian,Don.ro (Organization),true,false,false,true,true,false,Sitelinks,45000,41,1.27,48,2184,2137,,15,7,8,,https://www.pontul-zilei.com/agentie/don-ro/,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/don-ro-casino-bonus-fara-depunere/,2024-06-26 19:25:59,2026-06-21 04:16:59
rotiri gratuite fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,67000,69,2.60,,2178,,,,12,New,,,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,,2026-06-16 13:34:16
pontul zilei,RO,Romania,Romanian,,false,false,false,true,false,false,Video preview,1800,64,0.78,1511,1736,225,,1,1,,,https://www.pontul-zilei.com/,,https://www.pontul-zilei.com/,2024-06-27 19:44:36,2026-06-16 07:43:50
million casino,RO,Romania,English,Million Casino (Organization),true,false,false,true,true,false,Sitelinks,27000,52,1.13,12,1656,1644,,29,5,24,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/million-bonus-fara-depunere/,,https://www.pontul-zilei.com/agentie/million/,2024-06-27 23:51:42,2026-06-17 18:16:01
prowin casino,RO,Romania,Romanian,ProWin (Organization),true,false,false,true,true,false,Sitelinks,13000,0,0.50,,1605,,,,3,New,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/prowin-bonus-fara-depunere/,,2026-06-20 13:16:25
bonus fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,9200,71,2.04,,1355,,,,2,New,,,,https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,,2026-06-16 14:00:26
