Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
888 casino,RO,Romania,Romanian,888 Casino (Organization),true,false,true,true,true,true,"Sitelinks, Knowledge panel, Video preview",120000,8,1.16,7330,,,,7,,Lost,,https://www.supercazino.ro/888-casino/,,,2024-06-27 20:42:35,
rotiri gratuite fara depunere,RO,Romania,Romanian,,false,false,false,true,true,false,Video preview,44000,22,2.60,6874,,,,5,,Lost,,https://www.supercazino.ro/cazinouri-online-rotiri-gratuite/,,,2024-06-27 05:44:25,
magic jackpot,RO,Romania,English,Magic Jackpot (Organization),true,false,false,true,true,false,"Sitelinks, Knowledge panel, Image pack, Video preview",25000,1,1.38,4450,,,,2,,Lost,,https://www.supercazino.ro/blog/bonus-fara-depunere-magic-jackpot/,,,2024-06-27 10:00:07,
spin casino,RO,Romania,English,Spin Casino (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",59000,0,0.45,3690,,,,6,,Lost,,https://www.supercazino.ro/spin-casino/,,,2024-06-27 11:38:37,
million casino,RO,Romania,English,Million Casino (Organization),true,false,false,true,true,false,Sitelinks,27000,52,1.13,0,2070,2070,,53,4,49,,https://www.supercazino.ro/million-casino/,,https://www.supercazino.ro/million-casino/,2024-06-27 23:51:42,2026-06-17 18:16:01
cehia keno,RO,Romania,Romanian,Cehia Keno (Event),true,false,false,true,false,false,,43000,1,0.38,18,1653,1635,,21,8,13,Image pack,https://www.supercazino.ro/cehia-keno/,,https://www.supercazino.ro/cehia-keno/,2024-06-27 02:28:02,2026-06-21 04:17:29
elite slots,RO,Romania,English,Elite Slots (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",17000,0,0.61,1298,,,,5,,Lost,,https://www.supercazino.ro/elite-slots-casino/,,,2024-06-27 15:28:39,
club superbet,RO,Romania,Romanian,Superbet Club (Organization),true,false,false,true,true,false,Video preview,47000,49,0.48,14,1165,1151,,31,10,21,,https://www.supercazino.ro/blog/superbet-club/,,https://www.supercazino.ro/blog/superbet-club/,2024-06-27 09:58:21,2026-06-22 07:19:46
lady casino,RO,Romania,English,Lady Casino (Organization),true,false,true,true,true,true,Sitelinks,18000,56,0.43,,1124,,,,7,New,,,,https://www.supercazino.ro/blog/lady-casino-bonus-fara-depunere/,,2026-06-20 23:19:14
rotiri gratuite fara depunere 2025,RO,Romania,Romanian,,false,false,false,true,true,false,Sitelinks,18000,67,2.01,,1092,,,,6,New,,,,https://www.supercazino.ro/bonus-casino/,,2026-06-22 12:08:06
supercazino,RO,Romania,Romanian,SuperCazino (Organization),true,false,false,true,true,false,Sitelinks,1000,72,1.77,607,1082,474,,1,1,,,https://www.supercazino.ro/,,https://www.supercazino.ro/,2024-06-26 02:28:54,2026-06-21 00:25:31
rotiri gratuite,RO,Romania,Romanian,,false,false,false,true,true,false,"Top ads, Paid sitelinks, Bottom ads",10000,25,2.74,977,,,,4,,Lost,,https://www.supercazino.ro/cazinouri-online-rotiri-gratuite/,,,2024-06-27 23:34:00,
yoji casino,RO,Romania,Romanian,Yoji Casino (Organization),true,false,false,true,true,false,Sitelinks,9300,0,0.88,876,,,,4,,Lost,,https://www.supercazino.ro/yoji-casino/,,,2024-06-27 16:41:26,
superbet casino,RO,Romania,English,Superbet Casino (Organization),true,false,false,true,true,false,"Sitelinks, Knowledge panel, Video preview",13000,1,2.07,810,,,,7,,Lost,,https://www.supercazino.ro/superbet-casino/,,,2024-06-27 18:00:06,
totogaming casino,RO,Romania,Romanian,TotoGaming (Organization),true,false,true,true,true,true,"Image pack, Video preview",9500,0,0.62,806,,,,5,,Lost,,https://www.supercazino.ro/toto-gaming/,,,2024-06-27 13:56:31,
superbet club,RO,Romania,Romanian,Superbet Club (Organization),true,false,false,true,true,false,Video preview,45000,52,0.56,0,705,705,,94,12,82,,https://www.supercazino.ro/blog/superbet-club/,,https://www.supercazino.ro/blog/superbet-club/,2024-06-27 07:39:16,2026-06-18 03:03:18
victory bet,RO,Romania,English,Victory Bet (Organization),true,false,true,true,true,false,Sitelinks,13000,61,0.63,,654,,,,7,New,,,,https://www.supercazino.ro/victory-bet/,,2026-06-21 16:58:43
loto cehia,RO,Romania,Romanian,Cehia Keno (Event),true,false,false,true,false,false,,16000,4,0.31,0,621,621,,44,8,36,,https://www.supercazino.ro/cehia-keno/,,https://www.supercazino.ro/cehia-keno/,2024-06-27 12:48:19,2026-06-18 02:53:34
top casino,RO,Romania,English,,false,false,false,true,true,false,"Sitelinks, Video preview",4400,74,1.98,67,517,450,,3,3,,,https://www.supercazino.ro/casino-online/,,https://www.supercazino.ro/casino-online/,2024-06-07 07:18:53,2026-06-22 09:02:40
princess casino,RO,Romania,English,Princess Casino (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Knowledge panel, Video preview, Image pack, Bottom ads, Paid sitelinks",91000,3,1.63,472,,,,17,,Lost,,https://www.supercazino.ro/blog/pareri-princess-casino/,,,2024-06-27 00:43:13,
