#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,admiral,ro,45,13000,0.50,1.05,admiral,2026-06-28 09:46:07,"Sitelinks,Video preview",965000,12000,12000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"17941, 17934, 12582, 12528, 10832, 12597, 13977, 11890, 12522, 12529, 10159, 13188, 15598, 13125, 11163, 12503, 11824, 15904, 15357, 13202, 11876, 12307, 13542, 11734","14430, 12313, 10356, 11726, 11025, 15116, 14527, 12401, 11063, 11518, 12783, 10920",Sports betting; Sports
2,admiral casino,ro,74,2400,0.40,1.07,admiral,2026-06-30 01:27:10,Sitelinks,119000,12000,12000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"3119, 3076, 2656, 2786, 2061, 3097, 3463, 2372, 3058, 2853, 1859, 2551, 2944, 3495, 2975, 2517, 2534, 3092, 1863, 1826, 2031, 2386, 1122, 1990","2501, 2176, 2194, 2460, 2232, 3015, 2462, 2310, 2467, 2326, 2237, 2009, 2520",Gambling
3,admiralbet,ro,66,2200,0.50,0.92,admiral,2026-07-06 03:13:04,Sitelinks,350000,18000,18000,2015-10-28,"Navigational,Commercial,Transactional,Branded,Non-local",,"327, 499, 468, 531, 552, 2990, 6817, 286, 220, 258, 510, 853, 245, 191, 142, 3560, 1567, 17703, 285, 498, 686, 788, 455, 3875",,Sports betting
4,senatorbet,ro,62,1100,1.20,1.06,senator bet pariuri sportive,2026-07-09 04:49:58,,1100,2300,2300,2015-09-01,"Informational,Commercial,Branded,Local",,"277, 756, 1832, 1888, 1588, 975, 1568, 2796, 3081, 273, 55, 46, 39, 464, 1558, 1631, 1348, 749, 1357, 2598, 2895, 98, 8, 7","6, 329, 1431, 1512, 1236, 645, 1259, 2506, 2809, 17, 1, 1",Sports betting; Business
5,amiral,ro,5,700,0.25,0.32,amiral,2026-06-16 21:29:59,"Local pack,Image pack,Thumbnail,Video preview",11000,60,60,2015-09-12,"Informational,Non-branded,Non-local",Romanian,"563, 542, 556, 550, 497, 535, 736, 510, 601, 519, 582, 471, 525, 511, 505, 528, 480, 480, 2789, 421, 638, 449, 726, 718","733, 658, 675, 719, 658, 695, 1002, 658, 732, 685, 752, 745",Navy
6,pariuri sportive romania,ro,83,600,7.00,1.04,unibet,2026-07-08 02:24:42,,900,143000,147000,2015-09-09,"Informational,Commercial,Non-branded,Non-local",Romanian,"236, 229, 239, 308, 312, 305, 306, 294, 302, 441, 439, 360, 364, 441, 529, 542, 582, 605, 589, 713, 807, 519, 685, 738","672, 870, 963, 903, 899, 960, 874, 894, 933, 960, 1065, 1129",Sports betting; Sports
7,www.superbet.ro,ro,66,600,1.30,1.08,superbet,2026-06-27 18:34:00,Sitelinks,900,1580000,1630000,2015-09-02,"Navigational,Branded,Non-local",,"526, 705, 794, 737, 714, 645, 606, 586, 593, 578, 696, 645, 519, 698, 787, 732, 710, 642, 603, 584, 592, 577, 695, 644","519, 697, 787, 732, 709, 642, 603, 584, 591, 576, 695, 644",Sports betting
8,www superbet.ro,ro,67,500,1.30,,superbet,2026-07-05 17:20:47,Video preview,500,1740000,1740000,2015-11-15,"Navigational,Branded,Non-local",,"782, 718, 565, 671, 656, 549, 538, 407, 530, 554, 421, 276, 366, 485, 726, 612, 570, 588, 570, 533, 555, 525, 519, 517","535, 566, 599, 603, 599, 546, 570, 533, 555, 525, 519, 517",Sports betting
9,admiral bet,ro,61,400,0.60,0.81,admiral,2026-07-09 07:11:36,"Sitelinks,Video preview",74000,19000,19000,2015-10-28,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"314, 467, 464, 529, 527, 233, 274, 482, 586, 433, 368, 221, 224, 209, 127, 791, 697, 296, 407, 427, 455, 433, 430, 397","399, 452, 415, 516, 530, 479, 453, 474, 502, 480, 477, 444",Sports betting
10,site pariuri,ro,79,250,11.00,1.06,casa pariurilor,2026-07-07 18:34:51,Sitelinks,350,347000,379000,2015-10-13,"Informational,Navigational,Commercial,Non-branded,Non-local",Romanian,"136, 112, 138, 165, 138, 161, 164, 166, 206, 162, 199, 166, 186, 219, 302, 267, 261, 236, 245, 246, 254, 236, 221, 223","218, 231, 260, 271, 254, 245, 252, 252, 259, 240, 223, 225",Sports betting
