#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,bonus de bun venit fara depunere,ro,72,1100,3.50,1.81,rotiri gratuite fara depunere,2026-06-11 05:02:41,,1400,166000,169000,2016-01-22,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"808, 672, 547, 1075, 937, 1408, 1695, 1571, 1002, 1105, 981, 817, 825, 790, 709, 1329, 1268, 1126, 1132, 1396, 1285, 1373, 1081, 1235","1186, 1164, 1123, 1265, 1244, 1331, 1377, 1385, 1329, 1357, 1299, 1242, 1194",Gambling
2,bonus de bun venit,ro,62,1000,5.00,1.18,bonus de bun venit,2026-06-15 09:18:48,Featured snippet,1500,200,200,2015-12-22,"Informational,Commercial,Non-branded,Non-local",Romanian,"490, 830, 659, 508, 614, 623, 891, 895, 886, 1066, 865, 888, 619, 878, 794, 1483, 1164, 1064, 1105, 1127, 1127, 1146, 1089, 1125","1090, 1139, 1100, 1141, 1189, 1231, 1191, 1214, 1214, 1233, 1177, 1214",Gambling
3,totogaming bonus de bun venit,ro,,900,,,,,,1000,,,2024-04-21,,,"61, 78, 47, 41, 32, 88, 51, 166, 175, 116, 88, 91, 21, 262, 208, 235, 276, 324, 434, 725, 1266, 1593, 1676, 1691",1649,
4,betano bonus de bun venit,ro,49,500,6.00,,betano,2026-06-05 02:44:06,Sitelinks,600,471000,476000,2017-03-02,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"317, 256, 254, 380, 315, 318, 322, 324, 380, 384, 313, 310, 257, 346, 289, 649, 601, 553, 580, 666, 488, 560, 490, 520","503, 504, 495, 560, 583, 581, 582, 599, 582, 580, 559, 550, 534",Sports betting
5,superbet bonus de bun venit,ro,51,450,7.00,,superbet casino,2026-06-05 06:10:57,Video preview,500,8200,8400,2018-05-14,"Informational,Commercial,Branded,Non-local",Romanian,"267, 324, 217, 328, 325, 395, 330, 287, 269, 266, 216, 262, 169, 173, 268, 548, 565, 504, 513, 480, 456, 475, 503, 452","401, 372, 382, 463, 475, 546, 518, 484, 459, 477, 505, 454, 403",Sports betting
6,casino bonus de bun venit fara depunere,ro,75,400,3.50,,rotiri gratuite fara depunere,2026-06-07 10:04:17,,450,168000,172000,2018-10-25,"Informational,Commercial,Non-branded,Non-local",Romanian,"98, 78, 97, 97, 150, 185, 187, 192, 227, 216, 208, 220, 182, 219, 217, 468, 389, 421, 420, 434, 446, 439, 434, 455","428, 442, 441, 486, 469, 481, 489, 503, 515, 508, 503, 524, 497",Casino games; Gambling
7,casa pariurilor bonus de bun venit,ro,46,350,5.00,,bonus bun venit,2026-06-08 05:20:34,,400,600,600,2016-08-27,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"158, 105, 102, 157, 164, 247, 208, 249, 162, 295, 155, 160, 150, 179, 172, 329, 396, 366, 514, 391, 379, 357, 556, 351","339, 358, 333, 385, 413, 454, 453, 485, 464, 434, 670, 419, 402",Sports betting
8,winboss bonus de bun venit,ro,,350,,,,,,350,,,2024-09-09,,,"0, 0, 0, 35, 16, 13, 27, 17, 16, 44, 26, 6, 2, 178, 125, 143, 244, 233, 230, 234, 364, 435, 356, 987",594,
9,bonus de bun venit mr bit jocpacanele,ro,,300,,,,,,300,,,2026-02-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 887, 1596, 78",847,
10,bonus de bun venit superbet,ro,48,200,6.00,,superbet casino,2026-05-26 11:32:49,Video preview,250,8200,8400,2018-02-26,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"114, 113, 113, 166, 158, 171, 200, 215, 130, 133, 120, 113, 73, 130, 137, 219, 257, 222, 264, 228, 280, 170, 193, 151",172,Sports betting
11,bonus de bun venit pariuri,ro,57,200,7.00,,pariuri bonus,2026-02-12 13:12:06,,200,,,2017-08-17,,,,,
12,casino bonus de bun venit,ro,67,150,5.00,,lucky casino,2026-06-02 22:14:48,,250,5800,5800,2019-12-17,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"43, 43, 53, 44, 53, 221, 35, 37, 46, 82, 54, 56, 46, 0, 0, 80, 0, 363, 0, 0, 624, 0, 313, 441","48, 45, 110, 62, 46, 86, 46, 77, 57, 77, 78, 77, 53",Gambling
13,case de pariuri bonus de bun venit,ro,,150,,,,,,150,,,2019-10-02,,,"7, 1, 5, 3, 7, 3, 1, 6, 8, 11, 12, 10, 3, 122, 131, 109, 153, 171, 151, 173, 199, 222, 236, 210",223,
14,las vegas bonus de bun venit,ro,49,150,1.80,,las vegas rotiri gratuite,2026-06-07 16:37:43,Sitelinks,200,1600,1600,2022-07-27,"Informational,Commercial,Non-branded,Non-local",Romanian,"49, 66, 74, 90, 74, 138, 113, 248, 135, 57, 80, 79, 66, 63, 50, 95, 203, 180, 233, 273, 171, 167, 275, 173",205,Sports betting
15,winmasters bonus de bun venit,ro,48,150,4.00,,winmasters bonus fara depunere,2026-06-01 18:56:01,Sitelinks,150,300,300,2017-02-05,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"24, 25, 37, 50, 46, 33, 67, 116, 184, 93, 67, 167, 192, 108, 113, 92, 121, 165, 161, 186, 171, 178, 232, 129",180,Sports betting
16,vlad cazino bonus de bun venit,ro,58,150,4.00,,bonus casino,2026-06-21 22:04:54,,250,1100,1200,2020-04-18,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"129, 203, 104, 61, 101, 75, 102, 61, 124, 193, 193, 131, 102, 169, 133, 296, 147, 136, 160, 184, 163, 217, 184, 178","183, 185, 184, 190, 190, 180, 198, 179, 180, 205, 189, 185, 190",Gambling
17,winbet bonus de bun venit,ro,43,150,2.50,,winbet bonus,2026-06-03 14:55:25,Bottom ads,200,200,200,2020-07-19,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"97, 93, 111, 142, 108, 91, 111, 144, 89, 61, 67, 58, 58, 97, 116, 118, 157, 185, 144, 118, 149, 143, 145, 140",144,Sports betting
18,efortuna bonus de bun venit,ro,56,150,4.50,,bonus de bun venit,2026-06-21 17:43:31,"Featured snippet,Sitelinks",150,600,600,2016-02-20,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"32, 34, 37, 31, 36, 38, 42, 37, 41, 61, 48, 48, 38, 89, 92, 95, 96, 123, 222, 234, 174, 157, 180, 160",166,Sports betting
19,bonus de bun venit casino,ro,68,150,6.00,,rotiri gratuite fara depunere,2026-06-26 15:25:06,,250,9200,9300,2019-04-24,"Informational,Commercial,Non-branded,Non-local",Romanian,"61, 58, 45, 71, 94, 85, 98, 82, 76, 108, 128, 108, 115, 143, 140, 161, 146, 151, 185, 192, 179, 188, 183, 187","178, 178, 171, 175, 175, 181, 184, 199, 186, 195, 190, 194, 185",Gambling
20,fortuna bonus de bun venit,ro,31,100,3.00,,fortuna casino,2026-05-26 12:30:59,Sitelinks,150,7800,8000,2016-03-31,"Informational,Commercial,Branded,Non-local",Romanian,"120, 124, 104, 103, 148, 101, 101, 62, 148, 114, 100, 59, 48, 101, 72, 93, 123, 106, 119, 129, 124, 117, 111, 107","99, 110, 88, 97, 109, 98, 118, 128, 123, 116, 110, 106, 98",Sports betting
21,cazinouri cu bonus de bun venit,ro,,100,2.50,,,,,150,,,2020-04-23,,,"50, 51, 50, 112, 117, 58, 58, 73, 84, 81, 76, 76, 50, 83, 76, 118, 159, 151, 107, 124, 120, 127, 131, 124","123, 132, 130, 136, 143, 137, 133, 139, 135, 141, 145, 138",
22,netbet bonus de bun venit,ro,51,100,4.00,,netbet bonus,2026-05-28 23:23:59,,150,1900,1900,2016-10-12,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,,,Sports betting
23,mozzart bonus de bun venit,ro,,100,,,,,,100,,,2018-10-22,,,"36, 39, 35, 41, 51, 58, 86, 64, 43, 67, 54, 45, 36, 80, 80, 87, 85, 112, 136, 111, 112, 104, 97, 85",96,
24,bonus de bun venit fara depozit casino,ro,,90,,,,,,90,,,2019-04-29,,,"32, 31, 29, 30, 35, 30, 2, 1, 2, 33, 32, 40, 29, 76, 67, 63, 88, 102, 99, 120, 115, 74, 96, 123",99,
25,unibet bonus de bun venit,ro,53,90,3.00,,unibet bonus,2026-05-20 01:30:59,,150,600,600,2015-10-19,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"100, 128, 102, 109, 115, 108, 106, 111, 118, 125, 104, 99, 92, 92, 85, 89, 96, 89, 88, 93, 101, 107, 86, 82","75, 76, 69, 73, 81, 74, 73, 78, 86, 93, 72, 68, 62",Sports betting
26,betfair bonus de bun venit,ro,,90,3.50,,,,,100,,,2020-01-19,,,"36, 39, 30, 32, 39, 43, 43, 42, 53, 58, 39, 52, 41, 110, 114, 101, 115, 114, 120, 107, 75, 67, 60, 67",66,
27,pokerstars bonus de bun venit,ro,53,90,5.00,,pokerstars bonus de bun venit,2026-06-04 18:03:06,,100,60,60,2019-03-16,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"30, 34, 38, 33, 35, 32, 36, 34, 33, 42, 40, 44, 33, 81, 81, 116, 110, 122, 125, 95, 90, 75, 80, 85",81,Sports betting
28,maxbet bonus de bun venit,ro,56,90,4.00,,cod bonus maxbet,2026-06-09 08:43:10,,150,900,900,2016-10-10,"Informational,Commercial,Branded,Non-local",Romanian,"43, 53, 92, 73, 83, 87, 80, 98, 93, 115, 96, 78, 77, 76, 84, 78, 86, 90, 84, 102, 97, 118, 100, 81","81, 79, 88, 82, 90, 94, 88, 106, 100, 122, 104, 85, 85",Gambling
29,seven casino bonus de bun venit,ro,,80,,,,,,90,,,2024-07-02,,,"0, 30, 30, 39, 33, 31, 47, 32, 142, 60, 42, 45, 35, 62, 72, 98, 76, 67, 84, 61, 51, 41, 23, 250",106,
30,casino cu bonus de bun venit,ro,,80,6.00,,,,,100,,,2019-01-22,,,"12, 11, 16, 26, 21, 13, 33, 16, 32, 16, 11, 37, 4, 65, 45, 46, 51, 34, 79, 115, 128, 74, 126, 144",116,
31,frank casino bonus de bun venit,ro,,60,1.20,,,,,90,,,2021-10-24,,,"33, 40, 37, 41, 40, 42, 49, 46, 42, 40, 38, 40, 48, 54, 51, 55, 54, 56, 64, 60, 56, 54, 52, 55","62, 69, 66, 70, 69, 71, 78, 74, 71, 69, 66, 69, 76",
32,bonus casino de bun venit,ro,,60,,,,,,70,,,2020-01-18,,,"0, 0, 0, 0, 0, 4, 9, 7, 17, 3, 4, 6, 5, 13, 12, 16, 34, 35, 65, 103, 92, 81, 87, 105",92,
33,sportingbet bonus de bun venit,ro,,60,3.50,,,,,80,,,2017-12-29,,,"1, 1, 1, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 32, 34, 33, 29, 27, 30, 45, 108, 144, 133, 136",139,
34,bonus de bun venit betano,ro,49,60,1.20,,betano,2026-05-29 14:10:09,Sitelinks,90,471000,476000,2017-04-30,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"59, 58, 55, 57, 67, 72, 73, 71, 65, 67, 64, 61, 58, 56, 53, 55, 66, 70, 71, 70, 63, 65, 63, 59","56, 55, 51, 54, 64, 68, 69, 68, 61, 64, 61, 58, 54",Sports betting
35,bonus de bun venit pariuri online,ro,,50,,,,,,50,,,2020-10-03,,,"1, 1, 1, 0, 0, 0, 0, 18, 8, 11, 11, 10, 7, 35, 41, 40, 47, 56, 45, 49, 52, 57, 57, 58",58,
36,bonus de bun venit vlad cazino,ro,,50,,,,,,70,,,2020-07-25,,,"6, 2, 2, 6, 14, 9, 12, 6, 5, 6, 0, 4, 7, 46, 42, 52, 51, 56, 72, 79, 74, 80, 30, 10",35,
37,superbet bonus de bun venit fara depunere,ro,60,50,4.00,,rotiri gratuite,2026-05-27 07:32:58,Sitelinks,70,7200,7600,2021-11-25,"Informational,Commercial,Branded,Non-local",Romanian,,,Gambling
38,bonus de bun venit casa pariurilor,ro,46,50,3.00,,400 rotiri gratuite fara depunere,2026-06-05 10:09:23,,60,200,200,2016-04-21,"Informational,Commercial,Branded,Non-local",Romanian,"30, 22, 36, 44, 47, 55, 48, 46, 24, 44, 59, 47, 25, 53, 38, 50, 53, 41, 49, 51, 55, 43, 59, 42",49,Sports betting
39,bonus de bun venit 888 casino,ro,,50,3.00,,,,,60,,,2020-09-05,,,"9, 12, 7, 6, 9, 10, 10, 19, 6, 8, 17, 8, 5, 69, 45, 45, 43, 54, 51, 62, 42, 71, 55, 50",59,
40,bonus de bun-venit,ro,,50,,,,,,60,,,2023-04-25,,,,,
41,luck casino bonus de bun venit,ro,,50,,,,,,50,,,2024-04-14,,,,,
42,888 casino bonus de bun venit,ro,,50,4.00,,,,,70,,,2021-01-23,,,"23, 34, 40, 45, 63, 54, 15, 33, 44, 18, 26, 14, 20, 65, 37, 33, 73, 96, 58, 30, 26, 58, 67, 62",64,
43,bonus de bun venit fortuna,ro,,50,3.50,,,,,60,,,2016-04-10,,,"17, 16, 25, 17, 25, 27, 22, 35, 13, 19, 9, 18, 7, 44, 27, 32, 33, 88, 93, 129, 68, 32, 48, 47",40,
