#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,bonus pariuri,ro,69,500,7.00,1.4,pariuri bonus,2026-06-24 11:50:30,,600,1700,1700,2015-09-22,"Informational,Commercial,Non-branded,Non-local",Romanian,"277, 222, 265, 230, 331, 268, 210, 267, 310, 470, 477, 334, 329, 550, 507, 719, 470, 460, 483, 562, 518, 574, 385, 508","500, 540, 541, 540, 538, 547, 552, 539, 571, 558, 529, 518, 509",Sports betting
2,bonus pariuri fara depunere,ro,67,450,3.00,1.95,bonus pariuri fara depunere,2026-06-01 15:08:16,Sitelinks,500,1200,1300,2015-09-14,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"252, 181, 257, 260, 363, 286, 329, 284, 483, 720, 614, 514, 359, 549, 570, 704, 384, 414, 292, 374, 356, 394, 375, 329","320, 333, 342, 367, 360, 365, 343, 358, 349, 386, 368, 323, 315",Sports betting
3,pariuri bonus,ro,68,400,7.00,1.13,bonus casino,2026-06-01 15:20:10,Top ads,500,1500,1600,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Romanian,"719, 588, 599, 720, 719, 582, 543, 665, 787, 824, 815, 553, 250, 374, 343, 644, 438, 326, 463, 455, 370, 430, 306, 324","361, 389, 383, 440, 423, 443, 408, 365, 344, 352, 318, 280, 311",Sports betting
4,bonus pariuri sportive,ro,64,400,7.00,1.5,pariuri bonus,2026-05-23 11:13:17,Sitelinks,450,1600,1700,2015-09-29,"Informational,Commercial,Non-branded,Non-local",Romanian,"161, 109, 85, 167, 164, 161, 126, 131, 189, 356, 251, 252, 205, 358, 392, 545, 325, 465, 403, 415, 424, 522, 399, 420","457, 435, 416, 528, 558, 570, 508, 520, 529, 650, 494, 518, 563",Sports betting
5,bonus fara depunere pariuri,ro,60,250,3.50,1.78,bonus pariuri fara depunere,2026-05-22 20:52:20,Sitelinks,300,1200,1300,2016-01-17,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"132, 158, 184, 184, 222, 222, 111, 112, 152, 246, 251, 209, 205, 226, 363, 260, 314, 260, 242, 249, 251, 264, 247, 231","221, 226, 239, 235, 261, 280, 247, 256, 257, 271, 253, 238, 228",Sports betting
6,case de pariuri cu bonus,ro,56,200,7.00,,pariuri bonus,2026-06-10 21:57:13,Sitelinks,200,1700,1800,2016-11-12,"Informational,Commercial,Non-branded,Non-local",Romanian,"12, 9, 4, 4, 4, 1, 7, 9, 9, 10, 13, 13, 1, 195, 218, 205, 200, 234, 241, 255, 173, 186, 180, 204",190,Sports betting
7,bonus de bun venit pariuri,ro,57,200,7.00,,pariuri bonus,2026-02-12 13:12:06,,200,,,2017-08-17,,,,,
8,bonus pariuri fără depunere,ro,,150,,,,,,150,,,2020-01-13,"Informational,Commercial,Non-branded,Non-local",Romanian,"1, 3, 4, 44, 37, 0, 2, 39, 29, 18, 111, 116, 67, 434, 524, 287, 79, 53, 58, 59, 54, 43, 53, 45",49,Sports betting
9,case de pariuri bonus de bun venit,ro,,150,,,,,,150,,,2019-10-02,,,"7, 1, 5, 3, 7, 3, 1, 6, 8, 11, 12, 10, 3, 122, 131, 109, 153, 171, 151, 173, 199, 222, 236, 210",223,
10,bonus pariuri online,ro,67,150,10.00,,pariuri bonus,2026-06-14 23:41:24,Sitelinks,200,1700,1800,2015-09-13,"Informational,Commercial,Non-branded,Non-local",Romanian,"53, 42, 34, 52, 52, 52, 70, 52, 70, 116, 102, 102, 118, 146, 115, 154, 140, 154, 149, 142, 149, 151, 153, 149","144, 143, 140, 148, 147, 151, 150, 143, 149, 151, 153, 149",Sports betting
11,case de pariuri cu bonus fara depunere,ro,59,150,2.00,,bonus pariuri fara depunere,2026-06-08 01:07:55,Sitelinks,200,1300,1400,2015-12-14,"Informational,Commercial,Non-branded,Non-local",Romanian,"49, 38, 50, 63, 48, 60, 40, 50, 78, 106, 86, 106, 79, 90, 154, 222, 120, 201, 116, 132, 128, 133, 129, 138","122, 123, 126, 136, 136, 142, 130, 125, 119, 125, 121",Sports betting
12,case de pariuri cu bonus la inregistrare,ro,60,150,7.00,,pariuri bonus,2026-06-04 05:15:13,,200,1700,1800,2016-07-05,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"40, 18, 23, 31, 25, 18, 33, 28, 34, 41, 39, 45, 19, 176, 228, 176, 178, 194, 219, 202, 169, 182, 170, 163",172,Sports betting
13,pariuri online bonus,ro,81,150,8.00,1.13,pariuri bonus,2026-02-12 13:12:18,,200,,,2015-10-12,"Informational,Commercial,Non-branded,Non-local",Romanian,,,Sports betting
14,case de pariuri bonus fara depunere,ro,59,150,2.50,,bonus pariuri fara depunere,2026-06-09 12:12:34,Sitelinks,150,1300,1400,2017-05-10,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"29, 38, 28, 46, 30, 38, 33, 63, 40, 51, 37, 21, 10, 107, 150, 119, 125, 174, 171, 167, 148, 153, 160, 155",156,Sports betting
15,bonus case de pariuri online,ro,,150,6.00,,,,,150,,,2015-09-04,,,"33, 28, 32, 32, 35, 33, 33, 34, 30, 42, 51, 47, 32, 136, 149, 141, 127, 169, 157, 156, 119, 121, 123, 122",123,
16,pariuri sportive bonus fara depunere,ro,,150,5.00,,,,,200,,,2015-12-05,,,"119, 94, 113, 140, 126, 130, 125, 128, 141, 141, 139, 144, 147, 151, 152, 159, 164, 169, 163, 166, 180, 180, 177, 182","185, 190, 190, 197, 203, 208, 202, 205, 219, 218, 216",
17,pariuri plus bonus fara depunere,ro,,100,,,,,,150,,,2024-03-29,,,"262, 84, 39, 56, 31, 59, 64, 59, 73, 22, 29, 36, 12, 53, 50, 36, 57, 55, 54, 280, 227, 241, 179, 187",204,
18,case de pariuri bonus,ro,,100,6.00,,,,,100,,,2017-11-11,,,"11, 8, 5, 5, 11, 13, 7, 5, 20, 12, 14, 17, 3, 91, 99, 82, 98, 102, 108, 146, 100, 129, 151, 137",140,
19,pariuri sportive bonus,ro,,100,7.00,,,,,100,,,2017-07-08,,,,,
20,case de pariuri care ofera bonus fara depunere,ro,,100,2.50,,,,,100,,,2015-10-01,,,"6, 4, 1, 0, 2, 0, 3, 1, 1, 6, 11, 11, 2, 77, 90, 84, 101, 132, 103, 117, 126, 128, 118, 136",128,
21,case pariuri bonus,ro,59,100,7.00,,pariuri bonus,2026-05-17 19:39:11,,100,,,2017-02-27,,,"8, 4, 6, 10, 3, 6, 4, 4, 3, 4, 27, 19, 5, 104, 118, 95, 106, 140, 142, 168, 124, 134, 160, 122",140,
22,bonus case pariuri,ro,,90,4.50,,,,,100,,,2016-06-21,"Informational,Commercial,Non-branded,Non-local",Romanian,"15, 9, 5, 8, 9, 5, 6, 1, 16, 16, 17, 12, 6, 74, 80, 79, 81, 113, 102, 119, 105, 79, 108, 112",100,Sports betting
23,bonus case de pariuri,ro,62,90,4.50,,pariuri bonus,2026-06-22 03:14:59,Sitelinks,150,1700,1800,2016-07-05,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"16, 20, 19, 23, 23, 23, 26, 22, 30, 45, 45, 38, 32, 40, 48, 68, 38, 41, 32, 40, 38, 48, 44, 549",219,Sports betting
24,case pariuri bonus fara depunere,ro,56,90,4.00,,bonus pariuri fara depunere,2026-05-25 11:46:16,Sitelinks,90,1300,1300,2016-03-18,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"15, 6, 16, 19, 22, 30, 20, 29, 26, 9, 10, 27, 19, 74, 81, 66, 89, 77, 89, 138, 101, 113, 91, 102",103,Sports betting
25,pariuri bonus biletul zilei,ro,64,90,0.90,,biletul zilei,2026-06-05 17:19:39,,100,7800,8400,2015-11-02,"Informational,Commercial,Non-branded,Non-local",Romanian,"49, 91, 48, 61, 61, 57, 10, 5, 11, 32, 36, 50, 37, 92, 89, 74, 85, 121, 79, 87, 97, 92, 131, 140",121,Sports betting
26,case de pariuri online bonus fara depunere,ro,,90,,,,,,100,,,2016-01-10,,,"1, 1, 2, 1, 3, 6, 1, 1, 3, 2, 11, 6, 1, 78, 91, 73, 96, 106, 107, 111, 102, 121, 125, 108",119,
