#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,case de pariuri,ro,74,1000,6.00,0.98,unibet.ro,2026-06-16 17:35:22,Sitelinks,1400,14000,15000,2015-09-09,"Informational,Commercial,Non-branded,Non-local",Romanian,"943, 897, 1009, 1023, 1307, 1242, 1219, 1066, 1079, 1037, 1124, 930, 898, 854, 960, 973, 1243, 1181, 1159, 1013, 1026, 986, 1068, 883","853, 811, 911, 924, 1179, 1120, 1099, 961, 972, 934, 1012, 837, 808",Sports betting; Business
2,cele mai bune case de pariuri online,ro,68,700,3.00,1.49,pariuri sportive,2026-06-10 18:37:55,Sitelinks,900,11000,11000,2015-10-16,"Informational,Commercial,Non-branded,Non-local",Romanian,"344, 232, 286, 352, 352, 288, 351, 354, 409, 611, 424, 415, 287, 473, 689, 780, 631, 674, 789, 704, 783, 819, 688, 692","621, 600, 651, 727, 748, 747, 723, 713, 792, 828, 695, 699, 627",Sports betting
3,case de pariuri online,ro,73,600,6.00,1.3,unibet.ro,2026-06-17 09:26:21,,1400,11000,11000,2015-09-03,"Informational,Commercial,Non-branded,Non-local",Romanian,"379, 477, 766, 561, 864, 570, 670, 657, 770, 803, 693, 568, 379, 477, 766, 561, 864, 569, 670, 657, 770, 803, 693, 568","379, 477, 766, 561, 864, 569, 670, 657, 770, 803, 693, 568, 379",Sports betting; Sports
4,case de pariuri noi,ro,65,450,2.00,,case pariuri online,2026-06-15 18:07:43,Sitelinks,500,2200,2700,2015-09-30,"Informational,Commercial,Non-branded,Non-local",Romanian,"212, 217, 326, 274, 328, 329, 395, 401, 399, 486, 395, 329, 320, 497, 526, 504, 453, 469, 345, 446, 453, 470, 455, 452","462, 487, 502, 503, 509, 516, 506, 532, 539, 556, 542, 538, 548",Sports betting
5,case de pariuri romania,ro,74,400,5.00,1.27,pariuri sportive,2026-05-29 09:10:23,Sitelinks,700,9800,10000,2015-09-04,"Informational,Commercial,Non-branded,Local",Romanian,"378, 208, 248, 255, 298, 303, 304, 375, 367, 524, 451, 373, 303, 469, 508, 615, 359, 329, 353, 420, 425, 440, 420, 397","403, 426, 420, 434, 448, 410, 417, 447, 452, 467, 447, 424, 430",Sports betting
6,bonusuri case de pariuri,ro,61,400,5.00,1.41,pariuri bonus,2026-05-20 08:30:06,Sitelinks,500,1600,1600,2015-10-22,"Informational,Commercial,Non-branded,Non-local",Romanian,"132, 154, 158, 193, 192, 186, 229, 191, 261, 389, 397, 335, 288, 441, 516, 643, 348, 350, 376, 369, 368, 382, 362, 350","329, 338, 340, 360, 360, 357, 361, 356, 355, 369, 348, 337",Sports betting
7,case de pariuri sportive,ro,75,350,7.00,0.77,pariuri sportive,2026-06-20 09:36:16,"Sitelinks,Local pack",500,12000,14000,2015-09-06,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"132, 84, 83, 112, 168, 165, 165, 210, 253, 301, 255, 251, 214, 360, 353, 417, 279, 250, 326, 435, 448, 446, 406, 412","409, 411, 430, 458, 430, 422, 446, 442, 431, 432, 416, 412, 409",Sports betting
8,case de pariuri online noi,ro,,300,1.90,,,,,350,,,2015-10-19,,,"137, 135, 113, 115, 132, 137, 131, 177, 172, 244, 208, 212, 181, 345, 436, 300, 312, 386, 258, 266, 287, 277, 330, 309","335, 358, 455, 478, 501, 498, 362, 370, 396, 378, 448, 415, 448",
9,top case de pariuri,ro,62,300,5.00,1.26,case pariuri online,2026-05-21 06:49:54,Sitelinks,450,1600,1900,2015-09-25,"Informational,Commercial,Non-branded,Non-local",Romanian,"147, 147, 123, 153, 189, 160, 159, 159, 279, 323, 328, 181, 179, 260, 336, 490, 403, 219, 268, 299, 223, 468, 273, 334","335, 349, 356, 374, 379, 375, 373, 381, 392, 401, 395, 387, 390",Sports betting
10,case noi de pariuri,ro,,250,,,,,,250,,,2023-04-07,,,"31, 48, 55, 65, 70, 58, 89, 80, 62, 61, 69, 78, 55, 193, 197, 259, 197, 215, 300, 265, 197, 228, 243, 279",251,
