#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,casino bonus fara depunere,ro,66,14000,2.00,,bonus fara depunere,2026-06-24 21:15:14,,15000,128000,131000,2015-09-04,"Informational,Commercial,Non-branded,Non-local",Romanian,"3670, 4540, 4718, 5269, 5064, 5484, 6293, 9981, 21005, 19952, 11055, 9862, 8349, 9434, 12784, 14794, 13932, 13069, 17518, 16381, 16035, 15446, 13231, 12735","11469, 11348, 10616, 10228, 9606, 9029, 8980, 8842, 9476, 8761, 7219, 6767, 5990",Gambling
2,bonus casino fara depunere,ro,73,8700,2.50,,bonus fara depunere,2026-06-16 13:26:17,,9400,134000,138000,2015-10-20,"Informational,Commercial,Non-branded,Non-local",Romanian,"2850, 3164, 3406, 3813, 3787, 3936, 4476, 7099, 15903, 15306, 8362, 7452, 6607, 7224, 10062, 11695, 11479, 10616, 11550, 11095, 7144, 6533, 4992, 5434","5656, 6552, 6243, 5978, 5412, 5017, 4929, 4849, 5409, 4580, 3474, 3312, 2783",Gambling
3,casino online bonus fara depunere,ro,72,6600,1.60,,bonus fara depunere,2026-06-17 16:39:31,,7400,135000,138000,2016-01-19,"Informational,Commercial,Non-branded,Non-local",Romanian,"693, 841, 849, 1026, 1018, 1677, 1984, 4386, 8422, 12039, 6613, 5567, 4552, 6882, 6126, 8111, 8016, 6688, 6728, 6345, 6647, 6938, 6169, 6656","6849, 7445, 7361, 7454, 7288, 7006, 6905, 6527, 6828, 7120, 6350, 6837",Casino games; Gambling
4,bonus fara depunere casino,ro,72,5800,2.50,2,bonus fara depunere,2026-06-21 21:59:59,Sitelinks,6300,130000,133000,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"1346, 1033, 1035, 920, 1037, 1053, 1353, 4691, 12777, 11136, 2015, 2249, 4731, 5051, 6192, 7361, 7487, 6244, 6210, 9110, 2397, 5506, 6288, 2512","3835, 2443, 2768, 2259, 2168, 1649, 1654, 2356, 2699, 2595, 915, 791, 894",Gambling
5,nv casino bonus fara depunere,ro,40,3700,0.40,,nv casino,2026-06-02 15:21:27,Sitelinks,3900,3900,3900,2024-12-14,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"0, 0, 0, 0, 0, 0, 20, 2289, 10828, 11207, 5324, 4461, 2918, 2570, 4861, 6381, 6219, 6467, 7257, 1946, 1654, 1406, 1195, 1016","863, 734, 624, 530, 451, 383, 326, 277, 235, 200, 170, 144, 124",Gambling
6,diamond casino bonus fara depunere,ro,45,1800,0.80,,diamond casino bonus fara depunere,2026-06-27 06:24:59,Sitelinks,2000,600,600,2023-03-22,"Informational,Commercial,Branded,Non-local",Romanian,"61, 79, 230, 532, 890, 1131, 1129, 1652, 1421, 1412, 1134, 1146, 907, 1140, 1671, 1718, 2133, 2184, 2053, 2382, 1980, 2045, 1884, 2001","1857, 2140, 2456, 2343, 2674, 2571, 2402, 2731, 2329, 2394, 2232, 2350, 2206",Gambling
7,888 casino bonus fara depunere,ro,64,1600,1.60,,bonus casino,2026-06-20 19:03:41,Sitelinks,1700,7500,7700,2020-02-26,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"809, 930, 818, 458, 660, 528, 923, 957, 1229, 1202, 958, 820, 824, 964, 680, 1267, 2828, 3465, 2326, 2356, 1582, 1016, 798, 1032","999, 1051, 953, 858, 992, 979, 982, 1068, 1031, 1008, 1015, 1020, 986",Gambling
8,casino cu bonus fara depunere,ro,76,1200,2.00,,rotiri gratuite fara depunere,2026-06-08 02:48:53,,1700,168000,172000,2015-10-21,"Informational,Commercial,Non-branded,Non-local",Romanian,"424, 425, 432, 345, 361, 1290, 1597, 1814, 1025, 3483, 1831, 1057, 1558, 2025, 1391, 1250, 903, 924, 915, 1050, 906, 1130, 1014, 886","887, 862, 810, 779, 777, 912, 901, 936, 788, 1015, 899, 773",Gambling
9,napoleon casino bonus fara depunere,ro,0,1200,1.00,,napoleon games,2026-06-27 01:44:55,,1300,15000,15000,2025-06-12,"Informational,Commercial,Branded,Non-local",Romanian,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 146, 1373, 1475, 2682, 2288, 1670, 1407, 1246, 875, 786, 123",593,Gambling
10,casino online romania bonus fara depunere,ro,76,1100,1.50,,bonus fara depunere,2026-06-13 15:03:45,Sitelinks,1400,138000,141000,2016-06-11,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"264, 494, 601, 407, 483, 499, 505, 765, 720, 703, 481, 403, 499, 556, 583, 719, 522, 731, 1049, 1484, 2095, 1787, 1746, 1394","1335, 1407, 1550, 1434, 1562, 1457, 1518, 1848, 1817, 1836, 1917, 1561, 1479",Gambling
