#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,casino online romania,ro,81,21000,3.00,1.5,cazinouri online,2026-06-24 11:16:58,,27000,31000,32000,2015-10-10,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"5444, 6648, 5191, 6703, 6206, 6436, 6934, 17068, 15139, 21381, 21045, 20585, 16649, 19249, 19219, 19695, 20011, 20313, 21248, 22156, 21271, 22543, 22370, 22629","22871, 23135, 23418, 23895, 24211, 24512, 25448, 26356, 25471, 26743, 26570, 26828, 27070",Gambling
2,casino online romania nou,ro,78,2000,1.50,,cazinouri online,2026-06-19 22:38:15,,2300,52000,57000,2022-05-19,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"294, 362, 433, 365, 432, 523, 536, 543, 652, 792, 656, 1008, 835, 1155, 1421, 1616, 2009, 2197, 2527, 2437, 2557, 2595, 2393, 2828","2470, 2907, 3030, 2996, 3105, 3058, 3231, 2913, 3033, 3071, 2869, 3304, 2945",Gambling
3,casino romania online,ro,83,1200,2.00,,cazinouri online,2026-06-20 05:19:30,,2000,52000,57000,2016-05-13,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"399, 396, 399, 328, 386, 321, 398, 408, 472, 652, 667, 667, 587, 866, 875, 989, 1022, 1210, 1468, 1323, 1333, 1483, 1340, 1434","1314, 1394, 1460, 1468, 1495, 1294, 1370, 1381, 1381, 1524, 1370, 1460, 1333",Gambling
4,casino online romania bonus fara depunere,ro,76,1100,1.50,,bonus fara depunere,2026-06-13 15:03:45,Sitelinks,1400,138000,141000,2016-06-11,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"264, 494, 601, 407, 483, 499, 505, 765, 720, 703, 481, 403, 499, 556, 583, 719, 522, 731, 1049, 1484, 2095, 1787, 1746, 1394","1335, 1407, 1550, 1434, 1562, 1457, 1518, 1848, 1817, 1836, 1917, 1561, 1479",Gambling
5,online casino romania,ro,83,1100,3.00,,cazinouri online,2026-06-20 07:20:27,,1900,52000,57000,2015-09-03,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"320, 387, 387, 388, 391, 459, 463, 658, 765, 292, 765, 766, 637, 935, 962, 971, 996, 1010, 1234, 1151, 1176, 1151, 1183, 1225","1232, 1289, 1306, 1338, 1370, 1389, 1442, 1471, 1496, 1471, 1503, 1546, 1552",Gambling
6,top casino online romania,ro,70,900,3.50,,cazinouri online,2026-06-20 09:37:43,Video preview,1200,33000,34000,2018-11-20,"Informational,Commercial,Non-branded,Local",English,"176, 223, 221, 276, 268, 323, 333, 352, 324, 494, 615, 506, 418, 685, 1024, 812, 964, 1005, 993, 999, 998, 1037, 1032, 1062","1044, 1087, 1136, 1144, 1183, 1185, 1214, 1215, 1213, 1253, 1247, 1277",Casino games; Gambling
7,casino online romania 2025,ro,,250,,,,,,350,,,2025-01-13,,,"0, 0, 0, 0, 0, 0, 0, 99, 131, 174, 159, 185, 229, 329, 348, 323, 324, 324, 397, 233, 159, 102, 68, 47",73,
8,romania casino online,ro,83,250,3.00,,cazinouri online,2026-06-18 19:43:39,,450,52000,57000,2020-01-10,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"137, 169, 168, 178, 167, 202, 205, 86, 104, 98, 110, 125, 354, 239, 493, 123, 103, 110, 505, 239, 241, 246, 247, 253","278, 269, 303, 269, 268, 279, 328, 295, 298, 303, 304, 310, 335",Gambling
9,casino online nou romania,ro,,200,1.60,,,,,250,,,2021-09-14,,,"62, 98, 81, 155, 123, 145, 123, 82, 94, 119, 120, 126, 103, 284, 358, 224, 276, 294, 163, 177, 179, 168, 167, 151","145, 153, 151, 143, 138, 137, 126, 119, 113, 111, 107, 96, 91",
10,casino online noi romania,ro,,150,,,,,,150,,,2024-09-02,,,,,
