#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,cazinouri noi,ro,77,11000,1.00,,cazinouri online,2026-06-22 01:42:43,,12000,32000,33000,2020-03-07,"Informational,Commercial,Non-branded,Non-local",Romanian,"383, 1641, 1641, 2088, 3108, 3882, 4668, 7262, 15889, 16209, 8845, 8669, 7143, 9021, 11093, 11098, 16085, 13514, 11449, 11641, 11335, 10709, 8920, 8470","7506, 7556, 6960, 6592, 6575, 5676, 5276, 5163, 5739, 5155, 3978, 3679, 3164",Gambling
2,cazinouri online noi,ro,68,9200,1.50,,cazinouri online,2026-06-22 12:07:32,Sitelinks,9700,30000,31000,2018-11-29,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"229, 714, 865, 894, 395, 1306, 507, 4481, 10254, 12608, 6843, 6751, 5396, 5824, 8601, 10228, 10453, 8852, 10432, 10302, 10563, 10567, 9638, 9391","8927, 8987, 8843, 8584, 8276, 8086, 7849, 8020, 8426, 8396, 7571, 7319, 6934",Gambling
3,cazinouri noi romania,ro,60,8800,1.20,,cazinouri online,2026-06-22 03:36:27,Sitelinks,9400,64000,69000,2021-04-26,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"834, 1269, 1586, 1573, 1881, 2368, 3505, 6516, 11973, 12364, 6745, 8151, 6502, 8290, 8642, 8471, 10281, 10127, 8637, 10549, 12545, 8879, 4058, 8817","6570, 8991, 8119, 7608, 9107, 8092, 7479, 10951, 12947, 9281, 4459, 9219, 6972",Gambling
4,cazinouri noi fara depunere,ro,71,5000,0.90,,bonus fara depunere,2026-06-16 03:06:45,,5400,134000,138000,2022-07-20,"Informational,Commercial,Non-branded,Non-local",Romanian,"744, 312, 1038, 493, 492, 2012, 1688, 2557, 2958, 2500, 534, 471, 485, 3183, 5813, 5810, 5951, 6051, 5894, 5809, 5730, 5507, 5200, 5028","4887, 4971, 5031, 4802, 4685, 4700, 4579, 4556, 4477, 4301, 4003, 3869, 3742",Gambling
5,cazinouri noi 2026,ro,65,2200,,,cazinouri online,2026-06-22 12:24:38,,2200,,,2025-11-16,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 138, 3188, 3060, 3207, 5903, 5576",4876,
6,cazinouri online romania noi,ro,72,2000,1.30,,cazinouri online,2026-06-16 19:24:26,,2000,29000,31000,2021-11-18,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"136, 233, 233, 325, 415, 323, 504, 509, 498, 947, 783, 511, 776, 1414, 4510, 2140, 1686, 1813, 1780, 2446, 1588, 2143, 1259, 1880","1886, 1911, 2203, 1929, 1883, 1858, 1852, 1836, 1777, 1797, 1742, 1693, 1693",Gambling
7,cele mai noi cazinouri online,ro,75,1500,0.70,,cazinouri online,2026-06-21 11:09:38,Sitelinks,1600,22000,23000,2021-01-30,"Informational,Commercial,Non-branded,Non-local",Romanian,"265, 595, 406, 405, 612, 497, 618, 756, 601, 479, 412, 909, 927, 1542, 2204, 1869, 1651, 1515, 686, 1544, 1479, 1516, 994, 1574","1422, 1738, 1726, 1515, 2457, 1786, 1725, 1740, 1441, 1377, 1329, 1612, 1450",Gambling
8,cazinouri noi online,ro,74,1500,1.00,,cazinouri online,2026-06-16 05:57:41,,1700,35000,36000,2019-06-17,"Informational,Commercial,Non-branded,Non-local",Romanian,"485, 700, 594, 613, 1008, 1061, 1621, 1966, 2379, 1568, 1311, 1286, 887, 1195, 1643, 1289, 1641, 1690, 1703, 1708, 1704, 1410, 1392, 1473","1396, 1588, 1654, 1525, 1718, 1684, 1820, 1809, 1806, 1511, 1494, 1575",Gambling
9,cazinouri noi 2025,ro,71,1300,1.00,,cazinouri online,2026-06-20 22:05:47,Sitelinks,1500,34000,35000,2024-12-06,"Informational,Commercial,Non-branded,Non-local",Romanian,"0, 0, 0, 0, 2, 8, 25, 2309, 1861, 1615, 2343, 1642, 1421, 2870, 3492, 3010, 2529, 363, 363, 363, 363, 363, 363, 363","363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363",Gambling
10,cazinouri noi bonus fara depunere,ro,74,1100,1.40,,bonus fara depunere,2026-06-20 20:58:17,Sitelinks,1100,131000,134000,2022-01-16,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"510, 628, 518, 419, 950, 792, 951, 1187, 643, 340, 421, 423, 426, 928, 1709, 1175, 1007, 964, 1059, 1418, 1232, 1161, 986, 1035","1018, 1004, 1036, 937, 955, 921, 921, 984, 833, 715, 672, 637, 641",Gambling
11,cazinouri noi online romania,ro,77,900,1.10,,casino online romania,2026-06-10 15:07:53,,1000,64000,69000,2022-07-13,"Informational,Commercial,Non-branded,Non-local",Romanian,"390, 593, 584, 734, 736, 403, 483, 326, 396, 582, 486, 594, 488, 895, 1977, 1129, 887, 854, 957, 911, 859, 818, 679, 746","684, 738, 816, 704, 661, 624, 612, 551, 527, 509, 459, 456, 419",Gambling
12,cazinouri noi romania online,ro,78,900,,,casino online romania,2026-03-23 11:20:18,,900,,,2025-03-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 153, 154, 26, 127, 496, 175, 200, 249, 227, 261, 191, 166, 2784, 3472",2133,
13,cazinouri online noi in romania,ro,77,700,,,top cazinouri online,2026-03-23 11:20:20,,700,,,2024-12-08,,,"0, 0, 0, 0, 0, 0, 33, 21, 29, 116, 107, 113, 124, 183, 86, 69, 35, 17, 64, 60, 46, 69, 2617, 3450",2026,
14,bonus fara depunere cazinouri noi,ro,74,700,1.30,,rotiri gratuite fara depunere,2026-06-05 07:08:37,,800,168000,172000,2021-12-12,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"103, 136, 175, 212, 210, 212, 211, 319, 301, 136, 108, 168, 168, 273, 226, 367, 468, 344, 344, 536, 1636, 1648, 1055, 1366","1216, 1220, 1134, 1141, 1080, 1047, 975, 957, 910, 863, 796, 761, 699",Gambling
15,cele mai noi cazinouri romania,ro,,700,,,,,,700,,,2024-11-16,,,"0, 0, 0, 0, 0, 18, 37, 63, 53, 10, 4, 7, 3, 33, 38, 65, 72, 38, 58, 90, 42, 71, 2749, 3336",2051,
16,rotiri gratuite fara depunere cazinouri noi,ro,73,600,2.00,,bonus fara depunere,2026-06-20 21:22:23,Sitelinks,600,131000,134000,2023-02-23,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"96, 179, 276, 182, 326, 419, 422, 433, 346, 280, 219, 274, 353, 398, 592, 821, 721, 613, 624, 610, 587, 569, 551, 534","533, 529, 535, 521, 518, 507, 498, 488, 466, 452, 435, 421, 421",Gambling
17,cazinouri noi fara depunere 2026,ro,,450,,,,,,450,,,2026-01-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 1047, 903, 1021, 1043",990,
18,cazinouri noi fara depunere 2025,ro,,400,,,,,,400,,,2025-01-11,,,"0, 0, 0, 0, 0, 0, 0, 222, 147, 125, 151, 216, 226, 438, 679, 606, 659, 734, 678, 297, 186, 158, 85, 80",108,
19,cazinouri noi rotiri gratuite,ro,,400,,,,,,400,,,2023-10-04,,,"27, 19, 33, 32, 37, 89, 81, 173, 190, 106, 176, 88, 111, 374, 304, 320, 450, 384, 406, 366, 367, 453, 365, 400",408,
20,cazinouri fara depunere noi,ro,,350,1.10,,,,,400,,,2023-04-28,,,"170, 166, 254, 207, 264, 373, 259, 587, 853, 866, 593, 386, 252, 301, 342, 484, 514, 309, 308, 437, 406, 367, 183, 214","169, 229, 242, 259, 254, 195, 166, 349, 350, 283, 67, 85",
21,cazinouri noi 2026 fara depunere,ro,,350,,,,,,350,,,2026-01-06,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 529, 926, 1002, 833, 860",,
22,cazinouri noi cu bonus fara depunere,ro,76,350,1.00,,bonus fara depunere,2026-06-21 18:54:25,Sitelinks,400,130000,133000,2022-06-16,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"125, 88, 130, 86, 131, 229, 309, 819, 674, 551, 446, 442, 238, 266, 459, 474, 490, 496, 351, 469, 374, 293, 226, 238","187, 222, 251, 213, 203, 203, 169, 343, 213, 172, 89, 126, 70",Gambling
23,cazinouri noi cu rotiri gratuite,ro,,350,0.90,,,,,400,,,2023-09-16,,,"161, 129, 251, 466, 581, 705, 854, 714, 388, 298, 247, 246, 255, 472, 420, 623, 367, 308, 270, 308, 316, 324, 236, 296","306, 317, 322, 357, 341, 356, 365, 350, 308, 295, 281, 274, 281",
24,rotiri fara depunere cazinouri noi,ro,,350,,,,,,400,,,2023-11-09,,,"0, 2, 66, 42, 50, 99, 85, 89, 91, 158, 108, 39, 52, 320, 317, 365, 460, 368, 374, 347, 504, 468, 267, 387",,
25,cazinouri noi 2025 bonus fara depunere,ro,,300,,,,,,300,,,2025-01-12,,,"0, 0, 0, 0, 0, 0, 0, 97, 58, 64, 89, 136, 107, 308, 318, 391, 372, 284, 366, 379, 271, 150, 172, 95",139,
26,rotiri gratuite fara depunere 2026 cazinouri noi,ro,,250,,,,,,250,,,2026-01-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 755, 534, 413, 542",498,
27,cazinouri online noi romania,ro,,250,1.60,,,,,300,,,2021-10-10,,,"56, 69, 94, 93, 92, 93, 150, 149, 146, 178, 181, 182, 149, 180, 231, 261, 394, 309, 335, 301, 206, 242, 238, 236","227, 222, 224, 221, 221, 211, 221, 212, 201, 207, 206, 205, 196",
28,cazinouri noi 2025 rotiri gratuite,ro,,250,,,,,,250,,,2025-02-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 110, 52, 25, 66, 75, 86, 130, 213, 367, 489, 395, 371, 191, 116, 131, 123",124,
29,cazinouri noi online fara depunere,ro,,250,,,,,,250,,,2023-09-28,,,"47, 77, 99, 100, 81, 111, 177, 306, 208, 87, 36, 51, 46, 142, 340, 260, 307, 235, 258, 257, 212, 201, 154, 140",166,
30,cazinouri noi 2025 fara depunere,ro,,200,,,,,,200,,,2025-01-11,,,,,
31,bonusuri fara depunere cazinouri noi,ro,,200,1.40,,,,,200,,,2023-12-10,,,"97, 53, 103, 187, 273, 276, 224, 181, 217, 179, 176, 150, 119, 170, 179, 252, 319, 158, 189, 195, 199, 162, 163, 167","125, 140, 142, 189, 193, 89, 129, 105, 135, 85, 102, 100, 68",
