#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,betfair,ro,61,10000,1.60,1.07,betfair,2026-07-05 20:00:47,"Sitelinks,People also ask",1690000,11000,11000,2015-09-01,"Informational,Navigational,Commercial,Branded,Non-local",,"12334, 11647, 11906, 12116, 11695, 10781, 10813, 13402, 10601, 11674, 9927, 9255, 9878, 11183, 10838, 11288, 10090, 10732, 10279, 11236, 10211, 10516, 9176, 10360","9529, 11121, 10788, 11247, 10058, 10706, 10257, 11218, 10197, 10505, 9167, 10352",Sports betting
2,pariuri sportive,ro,78,4900,3.50,1.1,unibet.ro,2026-07-09 07:34:21,"Top stories,Thumbnail,Video preview",7900,17000,21000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"6633, 4974, 5442, 5397, 5961, 6697, 7520, 7897, 6794, 6059, 5483, 4165, 4268, 4692, 5058, 5117, 5137, 5111, 5134, 5517, 5086, 4880, 4227, 4100","3890, 4282, 4645, 4392, 5253, 4711, 4520, 4863, 4489, 4312, 3740, 3632",Sports betting; Sports
3,betfair exchange,ro,61,1600,1.70,1.06,betfair exchange,2026-06-21 05:00:31,"Sitelinks,Video preview",189000,400,400,2015-10-06,"Informational,Commercial,Transactional,Branded,Non-local",English,"2054, 1654, 1597, 1631, 2029, 1653, 2432, 2028, 2023, 1611, 1379, 1299, 1574, 2477, 2034, 1953, 1914, 1443, 1460, 1352, 1361, 1230, 1306, 1359","1369, 1535, 1541, 1595, 1674, 1495, 1471, 1363, 1372, 1240, 1316, 1368",Sports betting
4,pariuri online,ro,77,1400,8.00,1.33,pariuri sportive,2026-06-21 11:36:33,,2500,12000,14000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"1095, 1289, 1289, 1491, 1582, 1544, 1404, 1550, 1512, 1351, 1264, 1196, 1083, 1276, 1277, 1478, 1569, 1532, 1394, 1538, 1501, 1342, 1257, 1189","1077, 1269, 1271, 1471, 1561, 1525, 1388, 1532, 1496, 1337, 1252, 1185",Sports betting; Sports
5,oferta completa casa pariurilor fotbal,ro,62,1200,0.60,,casa pariurilor,2026-07-03 05:50:02,"Sitelinks,Video preview",1200,350000,383000,2019-02-26,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"2443, 2096, 2510, 2531, 2551, 3065, 3750, 2038, 1665, 1606, 1376, 839, 1141, 1109, 1357, 1373, 1300, 1383, 1245, 1310, 994, 875, 874, 744","882, 868, 930, 1818, 1457, 1387, 1278, 1344, 1020, 898, 897, 764",Sports betting; Soccer
6,pariuri sportive online,ro,81,1000,5.00,1.29,unibet.ro,2026-06-19 01:08:00,Sitelinks,2000,15000,16000,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846, 936, 911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846, 936","911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846, 936",Sports betting
7,betfair sportsbook,ro,69,1000,0.90,1.07,betfair sportsbook,2026-07-03 14:34:38,Sitelinks,108000,600,600,2015-09-07,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"480, 818, 1076, 1542, 1032, 711, 807, 800, 1036, 1049, 1278, 777, 831, 1058, 1045, 1262, 1272, 853, 1027, 1008, 972, 829, 852, 806","831, 974, 1006, 1072, 1032, 931, 1027, 1008, 972, 829, 852, 806",Sports betting
8,betfair casino,ro,70,900,1.40,1.38,cazinouri online,2026-06-21 12:17:08,,98000,32000,33000,2015-11-15,"Informational,Navigational,Commercial,Branded,Non-local",English,"811, 849, 845, 1226, 962, 954, 1267, 1503, 1201, 1398, 1208, 675, 961, 1061, 1007, 880, 893, 956, 988, 977, 961, 966, 870, 795","777, 729, 701, 743, 739, 764, 812, 800, 791, 796, 705, 632",Gambling
9,pariuri online romania,ro,76,800,8.00,1.33,pariuri sportive,2026-06-30 00:54:07,,1100,13000,16000,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"429, 363, 568, 666, 655, 712, 568, 416, 746, 744, 753, 612, 905, 830, 795, 780, 764, 791, 945, 894, 1000, 798, 932, 916","919, 949, 957, 981, 942, 958, 943, 954, 948, 954, 963, 943",Sports betting
10,pariuri sportive romania,ro,83,600,7.00,1.04,unibet,2026-07-08 02:24:42,,900,143000,147000,2015-09-09,"Informational,Commercial,Non-branded,Non-local",Romanian,"236, 229, 239, 308, 312, 305, 306, 294, 302, 441, 439, 360, 364, 441, 529, 542, 582, 605, 589, 713, 807, 519, 685, 738","672, 870, 963, 903, 899, 960, 874, 894, 933, 960, 1065, 1129",Sports betting; Sports
11,case de pariuri online,ro,71,600,6.00,1.3,unibet,2026-07-06 23:05:33,Sitelinks,1500,143000,147000,2015-09-03,"Informational,Commercial,Non-branded,Non-local",Romanian,"506, 707, 510, 867, 524, 684, 626, 771, 754, 649, 552, 343, 506, 707, 510, 867, 524, 684, 626, 771, 754, 649, 552, 343","506, 707, 510, 867, 524, 684, 626, 771, 754, 649, 552, 343",Sports betting; Sports
12,bonus pariuri,ro,69,500,7.00,1.4,pariuri bonus,2026-06-24 11:50:30,,600,1700,1700,2015-09-22,"Informational,Commercial,Non-branded,Non-local",Romanian,"222, 265, 230, 331, 269, 211, 267, 312, 470, 477, 334, 329, 550, 507, 720, 470, 461, 483, 562, 518, 574, 385, 509, 500","540, 541, 541, 538, 547, 553, 540, 572, 559, 530, 519, 510",Sports betting
13,bonusuri case de pariuri,ro,64,450,4.50,1.41,pariuri bonus,2026-07-06 06:38:14,,500,1700,1800,2015-10-22,"Informational,Commercial,Non-branded,Non-local",Romanian,"186, 190, 232, 232, 226, 278, 231, 321, 479, 487, 409, 348, 501, 590, 754, 397, 390, 305, 393, 367, 431, 400, 380, 349","362, 371, 405, 395, 390, 392, 400, 404, 419, 397, 381, 350",Sports betting
14,pariuri bonus,ro,65,400,7.00,1.13,pariuri bonus,2026-06-28 16:57:52,Sitelinks,500,1700,1700,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Romanian,"588, 599, 720, 719, 582, 543, 665, 787, 824, 815, 553, 250, 374, 343, 644, 438, 326, 463, 455, 370, 430, 306, 396, 376","419, 465, 494, 439, 430, 424, 388, 354, 338, 322, 312, 292",Sports betting
15,bonus pariuri sportive,ro,64,400,7.00,1.5,pariuri bonus,2026-07-04 03:30:27,,450,1700,1700,2015-09-29,"Informational,Commercial,Non-branded,Non-local",Romanian,"109, 85, 167, 164, 161, 126, 131, 192, 357, 251, 252, 205, 358, 392, 546, 325, 465, 383, 396, 394, 498, 371, 387, 422","393, 398, 476, 490, 514, 452, 460, 452, 564, 415, 430, 463",Sports betting
16,pariuri sport,ro,81,300,1.50,,netbet sport,2026-06-05 16:37:44,,350,8800,10000,2015-10-02,"Commercial,Transactional,Non-branded,Non-local",Romanian,"156, 180, 157, 192, 137, 115, 113, 165, 305, 261, 311, 260, 306, 147, 270, 268, 239, 218, 263, 287, 428, 287, 348, 349","374, 372, 361, 378, 369, 352, 348, 351, 388, 351, 348, 349",Sports betting; Sports
17,betfair romania,ro,15,300,2.50,1.15,betfair,2026-06-15 02:34:28,"Sitelinks,Knowledge panel",400,900,1000,2015-09-02,"Informational,Commercial,Branded,Non-local",English,"267, 268, 274, 319, 300, 255, 339, 489, 374, 312, 308, 308, 323, 329, 446, 279, 273, 236, 302, 314, 299, 277, 257, 260","253, 250, 267, 262, 283, 263, 294, 308, 293, 273, 254, 258",Sports betting; Company news
18,site pariuri,ro,79,250,11.00,1.06,casa pariurilor,2026-07-07 18:34:51,Sitelinks,350,347000,379000,2015-10-13,"Informational,Navigational,Commercial,Non-branded,Non-local",Romanian,"136, 112, 138, 165, 138, 161, 164, 166, 206, 162, 199, 166, 186, 219, 302, 267, 261, 236, 245, 246, 254, 236, 221, 223","218, 231, 260, 271, 254, 245, 252, 252, 259, 240, 223, 225",Sports betting
19,betfair.ro,ro,42,250,1.90,1.09,betfair,2026-06-21 15:34:04,Sitelinks,250,11000,11000,2015-09-05,"Navigational,Transactional,Branded,Non-local",,"225, 288, 286, 337, 443, 322, 424, 327, 217, 271, 276, 162, 185, 277, 277, 266, 201, 261, 242, 215, 220, 222, 211, 210","197, 276, 286, 300, 289, 271, 266, 237, 241, 244, 231, 230",Sports betting
20,betfair romania development,ro,22,200,0.09,0.88,betfair cluj,2026-07-06 03:33:35,,200,150,200,2015-09-30,"Informational,Branded,Local",English,"181, 102, 172, 216, 182, 116, 157, 191, 183, 127, 141, 174, 149, 125, 217, 231, 281, 166, 206, 205, 217, 187, 184, 203","195, 174, 210, 233, 240, 207, 221, 221, 234, 201, 198, 218",Internet; Sports betting; Development; Job; Business
21,betfair online,ro,68,200,,,betfair sportsbook,2026-06-06 06:55:58,Sitelinks,900,200,102000,2020-01-06,"Informational,Commercial,Branded,Non-local",English,"0, 5, 8, 9, 1, 3, 3, 2, 4, 0, 6, 1, 160, 186, 154, 153, 133, 318, 313, 194, 148, 169, 232, 206",,Sports betting
22,betfair vegas,ro,63,200,1.40,,cazinouri online,2026-07-07 18:41:12,Sitelinks,500,38000,39000,2019-02-18,"Informational,Branded,Non-local",English,"113, 87, 106, 154, 151, 293, 379, 249, 348, 199, 241, 156, 298, 320, 178, 171, 166, 200, 206, 197, 206, 200, 219, 188","187, 176, 137, 158, 148, 176, 183, 173, 183, 177, 196, 166",Sports betting; Company news
23,promotii pariuri,ro,58,200,6.00,,pariuri bonus,2026-07-09 08:22:15,,250,1700,1800,2016-03-19,"Informational,Commercial,Non-branded,Non-local",Romanian,"106, 127, 153, 158, 101, 83, 79, 98, 135, 203, 202, 161, 170, 153, 296, 198, 196, 197, 194, 197, 208, 203, 201, 201","199, 196, 198, 196, 201, 192, 189, 192, 203, 199, 197, 196",Sports betting
24,case de pariuri cu bonus la inregistrare,ro,60,200,4.00,,pariuri bonus,2026-06-04 05:15:13,,200,1700,1800,2016-07-05,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"18, 23, 31, 25, 18, 33, 28, 34, 41, 39, 45, 19, 176, 228, 176, 178, 194, 219, 202, 169, 182, 170, 163, 142",,Sports betting
25,betfair bonus,ro,60,200,0.70,0.93,betfair bonus,2026-06-01 05:10:32,"Sitelinks,People also ask",3700,90,90,2016-01-09,"Informational,Commercial,Branded,Non-local",English,"81, 53, 63, 129, 104, 124, 82, 154, 277, 191, 165, 112, 272, 296, 455, 130, 108, 141, 167, 166, 175, 159, 148, 158","154, 150, 169, 157, 143, 163, 169, 167, 176, 161, 149, 159",Sports betting
