#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,nv casino,ro,87,384000,0.06,,onjn,2026-07-10 04:12:02,,5020000,5400,9100,2021-08-16,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"3, 3, 3, 3, 3, 852, 119020, 640022, 941612, 562402, 433550, 275109, 297505, 492280, 395134, 421558, 486160, 623957, 362389, 287955, 323779, 323779, 323779, 323779","323779, 323779, 323779, 323779, 323779, 323779, 323779, 323779, 323779, 323779, 323779, 323779",Gambling
2,casino online,ro,82,55000,3.00,1.17,betano,2026-07-09 15:48:02,Sitelinks,985000,49000,50000,2015-09-03,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"15852, 16514, 16591, 16676, 16074, 20409, 31687, 64117, 70998, 47994, 42904, 37163, 51260, 70868, 62951, 59443, 58492, 56248, 56109, 55846, 54274, 49063, 47443, 45203","44696, 43773, 40859, 39167, 38104, 37180, 37222, 37971, 36736, 32341, 31132, 29578",Gambling
3,stanleybet,ro,48,51000,0.30,1.06,stanleybet,2026-07-05 20:04:40,"Sitelinks,Video preview",112000,57000,59000,2015-09-01,"Navigational,Commercial,Transactional,Branded,Non-local",,"52388, 54485, 53858, 54734, 50446, 55876, 47601, 43762, 49090, 52454, 41789, 49734, 54190, 54624, 49984, 60527, 50906, 59091, 48146, 43636, 45071, 51434, 49672, 43989","49379, 56527, 58032, 60147, 58065, 59403, 53963, 58764, 56634, 59828, 49211, 43592",Sports betting
4,don ro,ro,41,41000,1.30,,don ro,2026-06-21 04:16:59,Sitelinks,43000,26000,26000,2016-06-23,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"1808, 4230, 5375, 7090, 7873, 13737, 13971, 15919, 19396, 26657, 27523, 24417, 46204, 35413, 37263, 38034, 38585, 39503, 39653, 41278, 41831, 43156, 43718, 44345","46859, 46701, 47134, 47905, 48456, 49374, 49523, 51149, 51702, 53027, 53589, 54216, 56729",Sports betting
5,don casino,ro,53,30000,1.10,,don ro,2026-07-08 03:11:40,Sitelinks,32000,26000,26000,2020-09-28,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"6462, 9878, 14763, 13230, 15227, 21612, 18816, 18092, 18292, 21909, 21572, 21413, 28694, 28147, 30169, 28322, 29664, 34249, 31053, 30687, 30471, 32732, 32233, 32727","36151, 35008, 37030, 35183, 36525, 41109, 37913, 37547, 37331, 39593, 39094, 39588",Lottery
6,cazinouri online,ro,82,27000,2.00,1.21,casino online romania,2026-07-08 08:10:30,Sitelinks,33000,61000,66000,2015-09-09,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"8564, 9085, 8616, 9136, 8660, 10214, 18183, 54038, 47861, 26733, 24813, 19274, 21892, 31762, 34884, 33018, 28847, 33542, 36423, 24675, 21477, 16618, 13453, 26413","25637, 25027, 23782, 22394, 21194, 20948, 20860, 23274, 21231, 18146, 16807, 15277, 14718",Gambling
7,curs valutar case schimb,ro,52,24000,0.05,1.21,curs valutar case schimb,2026-07-04 19:59:04,"AI Overview,Thumbnail",28000,38000,38000,2015-09-01,"Informational,Commercial,Non-branded,Local",Romanian,"14338, 14914, 13233, 12304, 14357, 25171, 18754, 17162, 15875, 17741, 40840, 26632, 24927, 22471, 24248, 21747, 21651, 23111, 23085, 22563, 26279, 23091, 23091, 23270","24041, 25340, 24084, 21576, 21482, 22942, 22916, 22394, 26110, 22922, 22923, 23101",Foreign exchange; Reference
8,casino,ro,82,24000,2.50,0.56,betano,2026-07-05 03:22:14,,1810000,51000,53000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"14121, 14547, 15652, 15064, 14489, 17878, 17390, 22400, 26891, 21842, 19044, 17612, 21603, 24691, 24980, 24700, 24702, 27010, 25313, 25947, 26117, 23838, 23989, 24142","25870, 26388, 26187, 25907, 25910, 28217, 26521, 27154, 27324, 25046, 25196, 25350",Gambling
9,casino online romania,ro,78,21000,3.00,1.5,cazinouri online,2026-07-08 13:02:41,,27000,38000,39000,2015-10-10,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"6648, 5191, 6704, 6206, 6436, 6934, 17068, 15140, 21381, 21045, 20585, 16649, 19249, 19233, 19741, 20080, 20339, 21298, 22126, 21146, 22306, 22230, 22394, 22639","22966, 23252, 23761, 24100, 24359, 25318, 26146, 25166, 26326, 26249, 26414, 26659",Gambling
10,cazinouri noi,ro,78,11000,1.00,,casino online romania,2026-07-09 04:40:13,,12000,31000,33000,2020-03-07,"Informational,Commercial,Non-branded,Non-local",Romanian,"1647, 1647, 2095, 3118, 3895, 4683, 7285, 16082, 16262, 8873, 8698, 7166, 9050, 11128, 11133, 16138, 13557, 11484, 11729, 11398, 10785, 8978, 8540, 7567","7621, 7024, 6652, 6638, 5734, 5337, 5224, 5815, 5209, 4036, 3729, 3217",Gambling
