#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,favbet,ro,48,20000,2.50,1.17,favbet,2026-07-08 01:37:28,Sitelinks,215000,20000,20000,2015-09-03,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"12138, 13280, 13532, 15136, 14525, 16820, 15266, 16407, 14783, 13735, 13205, 13386, 22619, 15909, 17606, 21711, 19336, 24573, 21108, 17413, 22265, 22374, 22927, 22928","24069, 23914, 24575, 25614, 26326, 26762, 25553, 26079, 26149, 26259, 26811, 26812",Sports betting; Sports
2,casino romania,ro,83,3700,3.50,1,cazinouri online,2026-07-01 01:05:57,Video preview,6400,31000,33000,2015-09-11,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"3066, 3106, 3129, 3214, 3209, 3466, 3438, 3375, 3426, 3425, 3310, 3453, 3510, 3550, 3573, 3658, 3653, 3910, 3882, 3820, 3870, 3870, 3754, 3898","3955, 3994, 4018, 4103, 4097, 4355, 4327, 4264, 4315, 4314, 4199, 4342",Gambling
3,pariuri online,ro,77,1400,8.00,1.33,pariuri sportive,2026-06-21 11:36:33,,2500,12000,14000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"1095, 1289, 1289, 1491, 1582, 1544, 1404, 1550, 1512, 1351, 1264, 1196, 1083, 1276, 1277, 1478, 1569, 1532, 1394, 1538, 1501, 1342, 1257, 1189","1077, 1269, 1271, 1471, 1561, 1525, 1388, 1532, 1496, 1337, 1252, 1185",Sports betting; Sports
4,sloturi betinvest,ro,42,1400,,,sloturi betinvest,2026-06-28 02:20:56,Video preview,1400,500,500,2024-03-29,"Informational,Commercial,Branded,Non-local",Romanian,"5, 5, 1, 1, 8, 12, 12, 11, 11, 12, 12, 11, 12, 13, 13, 17, 21, 17, 21, 16906, 99, 40, 73, 52",,Lottery
5,top casino romania,ro,75,1300,2.50,,cazinouri online,2026-06-19 05:03:51,,1600,33000,35000,2015-11-18,"Informational,Commercial,Non-branded,Non-local",English,"406, 410, 411, 493, 494, 754, 230, 213, 225, 278, 768, 757, 1077, 988, 1070, 1450, 1486, 1521, 1452, 1485, 1514, 1529, 1594, 1588","1671, 1666, 1670, 1726, 1719, 1736, 1678, 1712, 1740, 1755, 1820, 1815",Gambling
6,favbet casino,ro,60,800,0.70,,favbet,2026-06-19 05:08:07,Sitelinks,5500,20000,20000,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"351, 312, 212, 389, 415, 548, 247, 360, 402, 371, 316, 479, 1338, 482, 425, 600, 592, 892, 1014, 666, 1053, 1306, 1000, 692","777, 679, 692, 718, 779, 818, 748, 764, 777, 754, 749, 775",Gambling
7,pariuri online romania,ro,76,800,8.00,1.33,pariuri sportive,2026-06-30 00:54:07,,1100,13000,16000,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"429, 363, 568, 666, 655, 712, 568, 416, 746, 744, 753, 612, 905, 830, 795, 780, 764, 791, 945, 894, 1000, 798, 932, 916","919, 949, 957, 981, 942, 958, 943, 954, 948, 954, 963, 943",Sports betting
8,bet casino,ro,78,700,1.20,,getsbet casino,2026-07-07 08:11:53,,216000,1500,1600,2016-12-28,"Commercial,Transactional,Non-branded,Non-local",English,"365, 464, 552, 536, 655, 261, 309, 703, 234, 699, 739, 545, 745, 621, 524, 609, 529, 782, 685, 731, 690, 744, 757, 731","772, 801, 802, 843, 846, 849, 877, 923, 882, 936, 949, 923",Sports betting
9,favbet.ro,ro,23,700,1.10,0.74,favbet,2026-06-27 07:47:33,Sitelinks,800,20000,20000,2015-09-24,"Navigational,Branded,Non-local",,"727, 576, 588, 728, 886, 845, 877, 505, 466, 485, 155, 120, 748, 382, 1039, 1038, 979, 892, 913, 579, 687, 447, 656, 628","697, 631, 684, 707, 720, 703, 670, 626, 675, 641, 635, 606",Sports betting
10,favbet rotiri gratuite,ro,53,600,1.00,,300 rotiri gratuite fara depunere,2026-06-28 08:05:38,Video preview,700,800,800,2020-11-06,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"468, 312, 473, 566, 203, 254, 566, 371, 240, 239, 241, 302, 936, 925, 1032, 655, 468, 481, 488, 474, 427, 402, 364, 391","406, 377, 381, 374, 339, 354, 391, 342, 328, 282, 264, 281",Lottery
11,fav bet,ro,43,500,0.90,1.1,favbet,2026-06-15 23:08:06,Sitelinks,4100,20000,21000,2015-09-03,"Informational,Navigational,Commercial,Branded,Non-local",,"121, 128, 125, 146, 148, 861, 176, 151, 144, 140, 138, 29, 2257, 168, 166, 297, 202, 274, 260, 1965, 66, 69, 202, 386","289, 334, 114, 184, 254, 269, 82, 78, 305, 87, 329, 106",Sports betting
12,pawabet,ro,76,350,0.35,,powerbet,2026-06-27 01:58:43,Video preview,111000,80000,97000,2019-01-31,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"49, 83, 190, 117, 152, 138, 146, 183, 113, 179, 211, 154, 294, 238, 191, 375, 435, 379, 304, 292, 340, 527, 439, 314","327, 340, 358, 345, 357, 353, 368, 375, 370, 360, 365, 356",Sports betting
13,fav,ro,24,250,1.30,0.54,favbet,2026-06-20 13:21:21,Sitelinks,106000,20000,20000,2015-09-01,"Non-branded,Non-local",English,"218, 218, 223, 225, 221, 264, 252, 250, 240, 255, 249, 247, 219, 219, 225, 227, 222, 266, 254, 252, 242, 257, 251, 249","221, 221, 226, 229, 224, 268, 256, 253, 244, 259, 252, 251",/Other
14,favbet romania,ro,26,200,3.00,1.24,favbet,2026-05-27 14:53:21,Sitelinks,300,20000,20000,2015-09-30,"Informational,Navigational,Commercial,Branded,Non-local",,"267, 215, 220, 274, 344, 365, 78, 226, 212, 221, 71, 71, 409, 181, 133, 167, 157, 471, 109, 243, 220, 233, 145, 155","371, 193, 164, 214, 208, 409, 120, 199, 203, 205, 141, 142",Sports betting
15,фавбет,ro,29,150,0.25,1.22,фавбет,2026-06-21 22:14:34,Sitelinks,375000,10,466000,2016-10-22,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Ukrainian,"208, 142, 222, 342, 395, 217, 165, 74, 257, 161, 181, 180, 456, 182, 123, 178, 180, 56, 53, 32, 46, 44, 80, 44",,Sports betting
16,favbet pareri,ro,23,150,3.00,,favbet pareri,2026-06-08 23:52:08,Sitelinks,200,80,80,2016-02-07,"Informational,Commercial,Branded,Non-local",Romanian,"203, 166, 111, 135, 112, 110, 109, 160, 161, 159, 78, 56, 130, 182, 244, 192, 162, 174, 174, 129, 125, 100, 104, 107","120, 124, 122, 119, 113, 112, 112, 118, 128, 121, 107, 110",Sports betting; Price comparisons
17,favbet bonus,ro,50,100,3.00,,favbet bonus fara depunere,2026-05-16 16:03:55,,600,250,300,2017-02-02,"Informational,Commercial,Branded,Non-local",English,"91, 94, 72, 139, 313, 315, 471, 366, 295, 193, 88, 87, 179, 137, 180, 117, 108, 88, 93, 84, 105, 85, 64, 56","59, 48, 50, 58, 110, 87, 93, 84, 104, 84, 63, 55",Sports betting
18,bet in casino,ro,81,70,,,getsbet casino,2026-06-28 08:33:48,"People also ask,Video preview",600,1100,1200,2020-01-16,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"0, 1, 16, 1, 1, 9, 86, 32, 17, 58, 121, 119, 333, 229, 83, 2, 2, 1, 1, 1, 7, 11, 8, 9",,Gambling
19,bonus favbet,ro,58,60,2.50,,300 rotiri gratuite fara depunere,2026-06-27 17:32:04,,200,800,800,2016-07-14,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"47, 66, 58, 65, 101, 60, 97, 67, 79, 46, 53, 26, 107, 85, 34, 71, 80, 66, 39, 30, 30, 47, 43, 36",,Sports betting
20,fabet,ro,64,50,1.80,,favbet,2026-06-04 21:15:34,Sitelinks,179000,20000,20000,2015-10-08,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"53, 52, 54, 52, 61, 60, 62, 55, 55, 54, 56, 53, 51, 51, 53, 50, 60, 59, 60, 54, 54, 53, 54, 52","50, 49, 52, 49, 59, 57, 59, 52, 53, 51, 53, 51",Sports betting; Sports
