#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,getsbet,ro,45,120000,0.50,1.05,getsbet,2026-07-07 18:33:21,Sitelinks,129000,247000,257000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"122225, 142755, 152932, 158386, 174139, 188194, 157826, 148189, 142002, 130677, 114900, 102727, 101739, 129533, 131475, 128119, 121795, 133359, 137982, 118941, 115978, 113469, 110422, 107010","109147, 123534, 119647, 129729, 126794, 131845, 110737, 117348, 114385, 111876, 108830, 105417",Sports betting
2,gets bet,ro,48,75000,0.60,1.1,getsbet,2026-06-22 01:44:04,Sitelinks,81000,243000,253000,2015-09-01,"Informational,Navigational,Commercial,Branded,Non-local",,"87054, 97880, 95526, 109429, 104594, 110030, 98327, 94700, 92286, 85637, 75201, 53810, 59680, 69693, 69264, 77084, 82712, 94704, 97664, 76649, 80446, 77002, 58750, 43354","51948, 61234, 64916, 66034, 63193, 66378, 59412, 63819, 67583, 65252, 50201, 37344",Sports betting
3,get bet,ro,37,30000,0.60,1.06,getsbet,2026-06-26 03:57:57,Sitelinks,33000,247000,257000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"29423, 31087, 35041, 36917, 36933, 37142, 34712, 37056, 34311, 28425, 26863, 21651, 22080, 25609, 33172, 32362, 29595, 31524, 35880, 37643, 33476, 33329, 27101, 23109","21459, 31977, 35819, 34927, 31926, 33991, 38669, 40550, 36045, 35871, 29154, 24849",Sports betting; Sports
4,gets bet fotbal,ro,60,10000,0.80,,get bets,2026-07-08 16:17:09,"Sitelinks,Video preview",10000,15000,15000,2018-04-19,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"5474, 6195, 6198, 7040, 7206, 7581, 7655, 9264, 9397, 7027, 6019, 5730, 3537, 7407, 7393, 9607, 9968, 11747, 16387, 12304, 13600, 12149, 9704, 8483","7653, 11785, 11937, 11273, 11078, 12003, 18828, 14113, 15576, 13894, 11080, 9673",Sports betting; Sports
5,get's bet,ro,48,9400,0.45,1.07,getsbet,2026-07-07 08:59:54,Sitelinks,9800,247000,257000,2015-09-01,"Informational,Commercial,Transactional,Branded,Non-local",English,"9625, 9453, 11499, 13631, 12053, 11344, 11371, 13914, 12110, 11208, 9046, 6288, 9235, 10915, 7977, 9283, 9404, 9927, 10048, 11027, 10517, 10147, 7758, 6395","8257, 9223, 9873, 9876, 9282, 9924, 10046, 11024, 10515, 10146, 7757, 6394",Sports betting
6,gets bet pariuri sportive,ro,57,8500,0.90,,gs bet,2026-07-05 19:41:34,Sitelinks,8800,15000,15000,2016-05-06,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"1805, 2654, 2774, 3353, 4056, 3420, 3176, 3198, 3217, 2574, 2146, 2118, 2164, 2611, 3191, 5279, 7311, 10025, 14480, 17824, 14769, 12202, 9438, 11423","13966, 20991, 20084, 20605, 18986, 18131, 18149, 16553, 14787, 11922, 9403, 11381",Sports betting
7,getsbet.ro,ro,0,5800,0.70,1.11,getsbet,2026-06-27 04:13:42,Sitelinks,5800,247000,257000,2015-09-05,"Navigational,Transactional,Branded,Non-local",,"3992, 4238, 4786, 4658, 5248, 5184, 4883, 4966, 5264, 5053, 4890, 4969, 4996, 5242, 5791, 5663, 6252, 6189, 5887, 5970, 6268, 6057, 5894, 5973","6000, 6246, 6795, 6667, 7256, 7193, 6891, 6975, 7272, 7062, 6898, 6977",Sports betting
8,gets bets,ro,53,5100,0.45,1.14,getsbet,2026-07-01 02:31:42,Sitelinks,5300,247000,257000,2015-09-23,"Informational,Commercial,Branded,Non-local",English,"3296, 4805, 5295, 5475, 5125, 6419, 5065, 5957, 5210, 5070, 4790, 3938, 3340, 4867, 5362, 5542, 5185, 6493, 5121, 6021, 5264, 5122, 4837, 3975","3370, 4910, 5408, 5588, 5227, 6544, 5160, 6065, 5302, 5157, 4870, 4001",Sports betting
9,gs bet,ro,56,4700,1.00,1.14,get bets,2026-07-08 22:14:05,Sitelinks,5100,15000,15000,2015-09-01,"Informational,Commercial,Branded,Non-local",,"4019, 4072, 3939, 4268, 4314, 4271, 4592, 5310, 4690, 4729, 4171, 3882, 4407, 4463, 4333, 4666, 4714, 4674, 4998, 5719, 5102, 5144, 4589, 4303","4832, 4891, 4764, 5099, 5151, 5114, 5441, 6166, 5552, 5598, 5046, 4764",Sports betting
10,get bets,ro,59,4300,0.45,1.13,get bets,2026-07-09 04:10:37,Sitelinks,4400,15000,15000,2015-09-05,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"4273, 4497, 4516, 5347, 5204, 5263, 5248, 5157, 5138, 4360, 4542, 3173, 3308, 3964, 3954, 4742, 4483, 5368, 4804, 4665, 4453, 4208, 3946, 3173","3473, 5822, 5669, 5683, 5055, 5152, 5202, 5048, 4817, 4550, 4264, 3427",Sports betting
11,gsbet,ro,54,4200,0.60,1.02,getsbet,2026-07-04 11:17:10,Sitelinks,5600,247000,257000,2015-09-03,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"3151, 4009, 3766, 4760, 4833, 4150, 4956, 4776, 5292, 4611, 3450, 3117, 3151, 4009, 3766, 4760, 4833, 4151, 4956, 4777, 5292, 4611, 3450, 3117","3151, 4009, 3766, 4760, 4833, 4151, 4956, 4777, 5292, 4611, 3450, 3117",Sports betting
12,get bet fotbal,ro,59,3400,0.60,,get bets,2026-07-05 23:40:42,Video preview,3600,16000,16000,2016-01-29,"Navigational,Transactional,Non-branded,Non-local",Romanian,"1919, 2272, 2267, 2228, 2726, 2870, 3470, 2839, 2831, 2391, 2290, 2149, 1904, 2949, 3412, 4241, 3931, 4255, 3638, 3557, 3801, 3649, 3591, 3259","3284, 3633, 3848, 4477, 4371, 4399, 4422, 4310, 4593, 4396, 4313, 3904",Sports betting; Soccer
13,gets,ro,53,3300,0.45,0.89,getsbet,2026-06-28 20:10:45,"Sitelinks,Knowledge card",24000,247000,257000,2015-09-03,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"2759, 3214, 3426, 3354, 3395, 3543, 3367, 3811, 3878, 3587, 2912, 2695, 2765, 3220, 3432, 3359, 3400, 3548, 3372, 3815, 3883, 3592, 2916, 2699","2769, 3223, 3435, 3363, 3403, 3552, 3375, 3818, 3885, 3594, 2918, 2701",Sports betting
14,gets bet casino,ro,64,3000,0.20,,getsbet,2026-07-06 15:44:54,,3800,247000,257000,2016-12-01,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"2369, 2524, 3162, 4811, 4566, 7598, 2405, 1608, 2806, 3792, 1941, 2406, 1842, 2163, 2721, 4824, 4287, 7735, 1645, 908, 2473, 3312, 1536, 2028","1513, 1772, 2403, 4361, 3967, 7346, 1491, 698, 2139, 3102, 1218, 1724",Sports betting
15,gets bet fotbal azi,ro,64,2900,0.70,,get bets,2026-07-06 21:13:50,Sitelinks,3000,14000,14000,2022-09-18,"Informational,Branded,Non-local",Romanian,"205, 250, 264, 208, 263, 392, 384, 471, 257, 257, 319, 386, 477, 875, 981, 1601, 2201, 3666, 5348, 5322, 4421, 4507, 4567, 4585","4573, 4657, 4689, 4806, 4851, 4913, 4998, 5023, 4927, 4993, 5031, 5028",Soccer
16,gest bets,ro,39,2500,1.00,,getsbet,2026-07-06 21:40:08,"Sitelinks,Video preview",2600,247000,257000,2016-03-05,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"725, 1015, 1277, 1563, 1103, 2002, 3075, 3716, 3796, 3742, 3097, 1634, 2116, 3758, 3825, 3774, 3175, 2538, 2500, 2096, 1681, 1663, 1605, 1430","1433, 1563, 1589, 1709, 1485, 1617, 1759, 1823, 1705, 1559, 1523, 1371",Sports betting; Sports
17,verificare bilet gets bet fotbal,ro,55,2500,0.80,,gets bet pariuri sportive,2026-07-07 23:34:52,Sitelinks,2500,16000,16000,2021-08-30,"Informational,Navigational,Branded,Non-local",Romanian,"866, 3935, 1041, 994, 942, 837, 3960, 3276, 3954, 2642, 2582, 662, 2217, 2652, 868, 1064, 749, 1050, 6100, 6097, 1421, 3353, 3369, 849","1827, 3031, 1097, 1354, 1245, 1458, 5522, 5091, 2144, 2822, 2731, 865",Sports betting; Sports
