#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,maxbet,ro,63,164000,1.50,1.11,maxbet,2026-07-07 17:21:08,,1250000,176000,176000,2015-09-02,"Navigational,Branded,Non-local",,"169581, 185173, 185399, 180844, 160587, 213673, 167977, 156236, 163438, 160839, 143179, 145932, 147457, 167613, 151604, 167574, 160423, 195712, 150358, 145045, 182314, 182351, 175931, 167695","164162, 162815, 172399, 185520, 180672, 207344, 202342, 201231, 196691, 196637, 189625, 180664",Sports betting
2,maxbet casino,ro,72,4500,1.40,1.16,maxbet online,2026-06-30 23:43:58,"Sitelinks,Local pack",10000,4000,5500,2015-11-02,"Informational,Navigational,Commercial,Transactional,Branded,Local",,"5492, 5443, 5562, 4432, 4356, 5470, 5586, 4454, 4485, 4493, 3746, 2955, 3246, 3966, 4647, 5741, 4627, 4923, 4888, 3901, 5739, 4779, 4602, 4495","4477, 4465, 4553, 4721, 4824, 5141, 5263, 4771, 5044, 4780, 4641, 4271",Gambling
3,max bet,ro,63,4100,1.50,0.92,maxbet,2026-07-09 04:38:58,,46000,176000,176000,2015-09-07,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"3520, 3307, 3723, 4225, 4187, 4256, 4315, 4551, 4525, 4202, 3902, 4151, 3560, 3344, 3763, 4270, 4231, 4299, 4358, 4595, 4568, 4241, 3937, 4187","3591, 3372, 3794, 4303, 4263, 4331, 4390, 4627, 4599, 4269, 3962, 4214",Sports betting
4,maxbet.ro,ro,54,4000,1.60,1.01,maxbet,2026-07-06 04:56:35,Video preview,4500,176000,176000,2015-11-24,"Navigational,Transactional,Branded,Non-local",,"3291, 3297, 3993, 4054, 3958, 4803, 4720, 3939, 4136, 4142, 4156, 3306, 3375, 4002, 4067, 4202, 3933, 4910, 4080, 4227, 4189, 4093, 3755, 3423","3401, 3452, 3859, 4581, 4286, 4934, 4343, 4498, 4457, 4352, 3992, 3638",Sports betting
5,maxbet ro,ro,68,2300,2.50,,maxbet.ro,2026-06-22 02:51:17,Sitelinks,2900,7700,12000,2016-05-11,"Navigational,Transactional,Branded,Non-local",,"1484, 2070, 2245, 1725, 1789, 2478, 2179, 1874, 1664, 434, 2322, 353, 1439, 2031, 1595, 2452, 2797, 4158, 2483, 2183, 3602, 3123, 1431, 1142","2078, 2131, 2540, 2398, 2170, 2220, 2205, 1608, 1719, 1731, 1804, 1096",Sports betting
6,maxbet romania,ro,41,1200,1.60,1.02,maxbet,2026-07-02 01:57:10,Knowledge panel,1800,181000,181000,2015-09-14,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"489, 510, 629, 694, 694, 943, 924, 740, 938, 932, 1137, 930, 1243, 1241, 1011, 1036, 822, 1493, 1328, 1252, 1307, 1260, 1266, 1223","1249, 1266, 1238, 1286, 1299, 1330, 1391, 1315, 1370, 1323, 1329, 1286",Sports betting
7,maxbet online,ro,70,900,3.50,1.16,maxbet casino,2026-07-03 08:10:32,Sitelinks,3800,7800,12000,2015-09-02,"Navigational,Transactional,Branded,Non-local",English,"1085, 1102, 1455, 1291, 1465, 2302, 1730, 737, 1666, 886, 1150, 891, 913, 1024, 984, 755, 596, 1119, 1068, 895, 959, 935, 946, 867","838, 790, 858, 998, 963, 1115, 1163, 974, 1044, 1017, 1029, 942",Sports betting
8,bonus la prima depunere,ro,56,500,4.00,,bonus la depunere,2026-07-03 19:02:54,,600,500,500,2016-04-09,"Informational,Commercial,Non-branded,Non-local",Romanian,"188, 119, 192, 188, 189, 190, 156, 119, 150, 233, 293, 238, 436, 392, 540, 362, 284, 227, 483, 701, 1211, 415, 865, 748","832, 716, 810, 850, 933, 924, 914, 879, 1017, 972, 947, 818",Gambling
9,rotiri gratuite maxbet,ro,56,500,1.90,,maxbet bonus fara depunere,2026-07-06 07:06:10,Video preview,600,1400,1400,2018-10-31,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"589, 726, 721, 596, 711, 600, 734, 587, 489, 470, 318, 313, 450, 447, 547, 680, 601, 484, 609, 538, 504, 415, 480, 455","462, 484, 465, 475, 464, 471, 551, 477, 446, 356, 423, 397",Sports betting
10,maxbet cazino,ro,64,400,1.50,,maxbet,2026-06-22 11:44:04,Local pack,450,176000,176000,2018-07-08,"Informational,Navigational,Commercial,Transactional,Branded,Local",Romanian,"448, 553, 548, 560, 577, 702, 691, 451, 454, 821, 684, 366, 480, 399, 388, 416, 414, 373, 358, 301, 309, 378, 358, 331","463, 546, 399, 359, 340, 369, 357, 301, 309, 377, 357, 331",Lottery
11,max bet casino,ro,66,300,1.00,,maxbet casino,2026-07-05 22:33:39,Sitelinks,1200,11000,16000,2017-02-23,"Informational,Navigational,Commercial,Transactional,Branded,Local",English,"392, 433, 439, 361, 347, 401, 412, 359, 368, 347, 294, 256, 263, 291, 334, 422, 328, 362, 366, 337, 316, 306, 278, 261","264, 266, 274, 335, 337, 366, 353, 325, 304, 294, 268, 252",Gambling
12,max casino,ro,69,250,1.40,,maxwin,2026-06-20 10:00:48,Video preview,1500,25000,25000,2017-01-21,"Informational,Commercial,Transactional,Branded,Non-local",English,"91, 94, 91, 135, 110, 107, 111, 74, 70, 91, 262, 252, 370, 273, 165, 135, 261, 219, 214, 203, 204, 211, 222, 208","210, 203, 199, 198, 209, 213, 205, 192, 195, 201, 213, 198",Gambling
13,maxbet casino online,ro,72,250,1.90,1.48,maxbet casino,2026-07-06 06:46:32,Sitelinks,400,11000,16000,2016-02-25,"Navigational,Commercial,Transactional,Branded,Non-local",English,"122, 99, 160, 151, 153, 192, 115, 83, 92, 99, 154, 130, 326, 150, 240, 218, 165, 365, 316, 270, 318, 296, 279, 261","276, 264, 290, 306, 283, 323, 335, 289, 337, 315, 298, 281",Sports betting
14,maxbet contact,ro,50,250,1.70,0.88,maxbet contact,2026-06-28 03:05:15,,300,250,250,2015-10-07,"Informational,Navigational,Branded,Non-local",English,"161, 161, 138, 166, 138, 197, 200, 190, 195, 237, 236, 158, 211, 210, 256, 273, 325, 288, 322, 283, 314, 289, 284, 271","265, 257, 266, 275, 289, 299, 323, 284, 314, 289, 285, 272",Sports betting; Business
15,agentii pariuri sportive,ro,80,250,6.00,0.7,pariuri sportive,2026-06-27 02:07:52,"Local pack,Sitelinks",300,13000,16000,2015-09-17,"Informational,Commercial,Non-branded,Local",Romanian,"265, 220, 219, 222, 219, 140, 145, 167, 308, 217, 176, 211, 281, 347, 236, 220, 231, 194, 260, 228, 276, 186, 227, 241","249, 248, 238, 272, 260, 254, 258, 250, 269, 235, 228, 243",Sports betting; Business
16,maxbet.ro casino,ro,63,200,0.70,,maxbet online,2026-06-30 23:25:56,Sitelinks,350,4000,5500,2016-03-16,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"42, 77, 46, 41, 26, 55, 21, 40, 60, 27, 34, 81, 91, 104, 95, 205, 142, 231, 287, 177, 352, 241, 211, 185",,Lottery
17,maxbey,ro,65,200,1.50,,maxbet online,2026-06-27 20:44:34,Sitelinks,900,4000,5500,2017-03-29,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"183, 212, 219, 211, 177, 220, 215, 174, 214, 182, 184, 175, 190, 222, 192, 218, 194, 230, 230, 213, 214, 202, 211, 194","192, 189, 194, 194, 176, 188, 191, 178, 176, 167, 175, 160",Sports betting
18,maxbe,ro,30,200,1.30,,maxbe,2026-06-16 06:03:22,,800,0,20,2016-01-11,"Informational,Non-branded,Non-local",,"142, 186, 133, 148, 121, 167, 151, 131, 187, 175, 194, 177, 203, 198, 215, 195, 176, 269, 187, 171, 225, 202, 143, 111",,/Other
19,maxbet login,ro,48,150,1.20,1.33,maxbet login,2026-06-02 17:53:39,,8600,350,400,2017-01-03,"Navigational,Transactional,Branded,Non-local",English,"82, 97, 83, 81, 76, 112, 101, 67, 124, 100, 97, 76, 87, 74, 124, 125, 138, 234, 154, 147, 170, 149, 396, 69","60, 51, 162, 85, 60, 138, 224, 79, 71, 70, 46, 36",Sports betting
20,maxbet casino - jocuri & slots,ro,70,150,2.50,,maxbet.ro,2026-06-19 20:26:07,Sitelinks,150,7800,12000,2022-09-25,"Navigational,Transactional,Branded,Non-local",Romanian,"31, 85, 172, 179, 165, 348, 206, 151, 83, 101, 99, 68, 82, 112, 94, 93, 193, 145, 125, 277, 297, 133, 105, 123",,Lottery
21,maxbet pariuri,ro,12,150,2.50,,maxbet ro,2026-06-08 21:18:44,"Sitelinks,Video preview",200,500,600,2015-11-26,"Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"390, 390, 476, 386, 202, 48, 86, 123, 120, 145, 100, 102, 85, 127, 217, 125, 164, 233, 201, 155, 147, 266, 157, 220","151, 160, 202, 194, 189, 198, 205, 158, 149, 269, 158, 221",Sports betting
22,maxbet demo,ro,56,150,0.80,,maxbet ro,2026-06-12 06:11:42,,250,150,150,2019-05-11,"Informational,Branded,Non-local",English,"42, 65, 44, 60, 130, 116, 129, 88, 66, 49, 63, 58, 112, 126, 93, 128, 104, 180, 188, 239, 224, 193, 108, 125",,Gambling
23,maxbet sport,ro,19,150,1.30,,maxbet ro,2026-06-04 17:47:40,,74000,500,600,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"79, 60, 50, 49, 91, 123, 22, 93, 41, 27, 44, 44, 83, 93, 83, 133, 199, 142, 220, 149, 153, 134, 175, 115",,Sports betting; Sports
24,maxbet app,ro,59,150,1.90,,maxbet ro,2026-05-16 15:00:37,,2900,350,7700,2017-04-21,"Informational,Transactional,Branded,Non-local",English,"139, 73, 55, 89, 70, 56, 56, 79, 82, 81, 68, 81, 92, 102, 230, 123, 130, 183, 173, 178, 189, 170, 180, 183","179, 162, 173, 170, 164, 175, 175, 179, 190, 171, 181, 184",Sports betting; Add-ons
25,maxbet pariuri sportive,ro,11,150,0.70,1.2,maxbet ro,2026-06-08 22:24:32,Video preview,150,500,600,2016-06-07,"Transactional,Branded,Non-local",Romanian,"26, 21, 40, 53, 27, 25, 64, 30, 44, 53, 32, 15, 83, 97, 173, 163, 143, 232, 292, 155, 117, 170, 149, 112",,Sports betting; Sports
26,maxbet.,ro,64,150,1.70,,maxbet online,2026-06-24 19:25:04,Sitelinks,1100,4000,5500,2017-01-08,"Informational,Navigational,Branded,Non-local",,"94, 95, 104, 112, 88, 137, 128, 86, 116, 78, 132, 80, 91, 154, 130, 139, 159, 164, 150, 126, 164, 148, 105, 102",,Sports betting
27,aplicatie maxbet,ro,52,150,,,maxbet ro,2026-05-30 08:22:36,,200,350,350,2017-04-04,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"31, 37, 32, 35, 36, 35, 33, 38, 38, 49, 39, 36, 201, 246, 265, 209, 145, 148, 172, 97, 104, 124, 128, 117",,Sports betting; Add-ons
28,betmag,ro,0,150,0.60,0.97,betmgm,2026-06-22 09:53:39,Local pack,250,20,231000,2015-09-09,"Navigational,Branded,Non-local",,"130, 225, 208, 223, 141, 164, 199, 145, 121, 188, 159, 138, 130, 225, 208, 223, 141, 164, 199, 145, 121, 188, 159, 138","130, 225, 208, 223, 141, 164, 199, 145, 121, 188, 159, 138",Sports betting
29,maxbet conectare,ro,40,150,1.80,,maxbet ro,2026-06-11 00:33:44,,150,400,400,2017-05-03,"Navigational,Branded,Non-local",Romanian,"196, 171, 166, 203, 161, 116, 117, 105, 165, 40, 70, 31, 139, 141, 131, 144, 159, 281, 276, 214, 159, 97, 89, 84",,Sports betting
30,maxbet 350 rotiri,ro,42,150,0.60,,maxbet online,2026-07-08 08:52:47,"Top ads,Paid sitelinks,Bottom ads",150,700,700,2022-06-29,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"587, 599, 876, 483, 207, 209, 141, 90, 137, 108, 140, 109, 148, 109, 80, 123, 93, 188, 185, 153, 154, 153, 182, 163","161, 146, 189, 146, 150, 142, 153, 128, 124, 128, 154, 138",Sports betting
31,maxbet aplicatie,ro,61,150,1.90,,maxbet casino,2026-07-03 13:46:16,,150,7800,12000,2018-10-15,"Informational,Transactional,Branded,Non-local",Romanian,"18, 27, 56, 23, 58, 16, 12, 20, 15, 43, 22, 14, 116, 110, 101, 142, 128, 177, 228, 130, 128, 144, 115, 131",,Sports betting; Add-ons
32,maxber,ro,64,150,1.70,,maxbet,2026-06-06 03:46:58,Sitelinks,800,169000,175000,2016-07-04,"Informational,Navigational,Commercial,Branded,Non-local",Romanian,"109, 112, 135, 92, 106, 117, 115, 100, 92, 112, 106, 77, 140, 144, 157, 145, 137, 153, 134, 129, 135, 134, 90, 95",,Sports betting
33,case pariuri sportive,ro,77,150,6.00,1.68,pariuri sportive,2026-06-06 20:38:06,"Sitelinks,Local pack",200,11000,11000,2015-09-19,"Informational,Commercial,Non-branded,Non-local",Romanian,"56, 56, 76, 75, 58, 76, 79, 121, 217, 107, 108, 104, 226, 245, 151, 80, 80, 123, 114, 120, 132, 114, 115, 115","121, 123, 121, 138, 124, 128, 119, 125, 137, 118, 120, 120",Sports betting
34,contact maxbet,ro,25,150,2.00,,maxbet contact,2026-06-06 14:27:21,,150,200,200,2016-09-12,"Informational,Branded,Non-local",English,"108, 85, 118, 71, 87, 137, 127, 113, 95, 111, 141, 109, 131, 171, 164, 183, 185, 181, 155, 137, 198, 111, 119, 115",,Gambling
35,maxbwt,ro,62,150,1.40,,maxbet casino,2026-07-05 06:45:21,Sitelinks,600,11000,16000,2017-12-22,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"108, 88, 128, 126, 124, 130, 131, 94, 117, 95, 121, 93, 140, 131, 157, 177, 165, 239, 241, 159, 174, 150, 150, 108",,Sports betting
36,download maxbet,ro,51,100,2.50,,maxbet,2026-07-07 03:44:10,,400,7800,8000,2019-10-10,"Informational,Transactional,Branded,Non-local",English,"16, 17, 18, 18, 24, 14, 15, 9, 11, 16, 16, 5, 78, 94, 91, 162, 115, 127, 130, 105, 134, 114, 64, 66",,Sports betting; Add-ons
37,coduri bonus maxbet,ro,56,100,1.00,,maxbet romania,2026-07-03 11:39:06,Video preview,100,150,150,2017-04-02,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"43, 54, 47, 70, 60, 47, 48, 44, 33, 30, 40, 37, 66, 66, 90, 134, 103, 145, 121, 87, 73, 91, 80, 74",,Sports betting
38,casino maxbet,ro,73,100,2.00,,maxbet online,2026-06-29 09:02:23,"Sitelinks,Local pack",250,4000,5500,2015-12-20,"Informational,Navigational,Commercial,Transactional,Branded,Local",Romanian,"55, 56, 35, 68, 106, 96, 89, 55, 82, 63, 46, 66, 78, 52, 60, 66, 119, 219, 201, 132, 158, 132, 146, 89",,Sports betting
