#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,mozzart,ro,65,13000,0.40,1.04,mozzart,2026-07-06 16:41:55,Video preview,449000,22000,22000,2015-09-01,"Informational,Branded,Non-local",,"14833, 15410, 16267, 16538, 15627, 26432, 15600, 12699, 16218, 16482, 13721, 12626, 10288, 10922, 10087, 14908, 12482, 16399, 13819, 13803, 14218, 15157, 12180, 11119","12089, 12925, 13469, 14337, 13287, 15593, 13947, 13932, 14350, 15298, 12293, 11222",Sports betting; Sports
2,mozzartbet,ro,61,13000,0.40,1.08,mozzartbet,2026-07-04 17:45:54,Sitelinks,383000,13000,532000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"11743, 13656, 14059, 15572, 14792, 32806, 15438, 11194, 17840, 15507, 14357, 11846, 9803, 11877, 9567, 13754, 13243, 17426, 13120, 11029, 14714, 15175, 10701, 8209","5938, 7170, 7825, 10700, 8509, 13593, 9451, 7441, 11249, 11803, 7435, 5037",Sports betting
3,mozzart bet,ro,59,6100,0.35,1.08,mozzart,2026-07-07 07:08:20,,51000,22000,22000,2015-09-01,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"4653, 5358, 5395, 5732, 5423, 6171, 5656, 5537, 5545, 5414, 5085, 4859, 5460, 6164, 6202, 6539, 6230, 6978, 6462, 6344, 6352, 6221, 5892, 5666","6267, 6971, 7009, 7346, 7037, 7785, 7269, 7150, 7158, 7028, 6699, 6473",Sports betting
4,mozzart casino,ro,69,1600,0.45,,mozzart,2026-07-04 14:50:51,,7300,22000,22000,2019-02-23,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"1497, 1551, 1718, 1599, 1687, 2014, 1551, 1437, 1912, 1865, 1638, 1475, 1427, 1489, 1665, 1552, 1646, 1978, 1520, 1410, 1887, 1843, 1619, 1459","1412, 1477, 1654, 1542, 1637, 1971, 1513, 1404, 1882, 1839, 1615, 1455",Gambling
5,mozzart pariuri,ro,26,700,0.35,1.11,mozzart ro,2026-07-06 15:49:32,,800,40,40,2015-09-11,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"513, 633, 757, 757, 711, 899, 800, 849, 785, 664, 599, 469, 490, 610, 735, 734, 688, 876, 777, 827, 762, 641, 577, 446","467, 587, 712, 711, 665, 853, 754, 804, 740, 618, 554, 423",Sports betting
6,mozzartbet ro,ro,59,450,0.60,,www mozzartbet.ro,2026-06-16 01:28:16,Sitelinks,500,0,1300,2015-09-25,"Navigational,Branded,Non-local",,"491, 603, 551, 761, 605, 943, 863, 583, 708, 552, 481, 440, 359, 493, 496, 573, 457, 571, 540, 432, 457, 417, 353, 320","315, 420, 356, 522, 374, 550, 484, 379, 425, 367, 314, 287",Sports betting
7,mozzartbet casino,ro,71,250,0.50,,mozzart casino,2026-06-17 08:10:32,,1900,450,5900,2020-01-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"171, 197, 259, 112, 143, 502, 175, 105, 207, 291, 203, 319, 253, 203, 208, 256, 298, 407, 179, 124, 173, 209, 190, 227","170, 219, 237, 228, 246, 500, 194, 130, 202, 252, 200, 263",Lottery; Sports betting
8,www.mozzart.ro pariuri sportive,ro,50,200,0.06,,mozzart pariuri,2026-06-20 07:02:37,,200,800,800,2015-09-17,"Navigational,Transactional,Branded,Non-local",Romanian,"354, 152, 0, 0, 20, 511, 660, 236, 75, 6, 0, 70, 54, 30, 104, 119, 70, 170, 173, 186, 495, 579, 283, 394",,Sports betting; Sports
9,mozzard,ro,56,200,0.40,0.7,mozzartbet,2026-06-04 11:11:07,,500,60,514000,2015-09-02,"Informational,Commercial,Branded,Non-local",,"208, 196, 211, 237, 262, 464, 252, 199, 263, 254, 205, 201, 160, 151, 156, 239, 181, 232, 233, 248, 236, 160, 213, 182","184, 184, 183, 209, 215, 240, 205, 202, 222, 207, 193, 165",Sports betting; Sports
10,mozartbet,ro,49,200,0.35,1.01,mozzartbet,2026-06-05 21:15:09,Sitelinks,8300,12000,526000,2015-09-06,"Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"924, 1136, 1006, 148, 977, 1988, 133, 527, 975, 1093, 110, 86, 69, 83, 82, 1044, 107, 125, 102, 132, 105, 105, 375, 299","215, 255, 412, 31, 151, 255, 46, 148, 357, 497, 333, 228",Sports betting
