#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,publicwin,ro,55,9400,1.00,1.09,publicwin,2026-07-06 05:38:56,,12000,12000,12000,2017-01-30,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"22872, 21329, 22686, 18709, 19439, 22929, 15676, 10005, 8553, 11601, 9089, 9034, 11067, 13212, 13191, 9519, 8745, 9798, 6915, 6565, 7582, 9688, 7974, 7484","6772, 9521, 9838, 6117, 5583, 6648, 3946, 3640, 4799, 6967, 5370, 4949",Sports betting
2,public win,ro,61,500,1.90,0.97,publicwin casino,2026-06-20 12:30:09,,600,80,1500,2016-10-17,"Informational,Commercial,Branded,Non-local",English,"451, 555, 579, 619, 411, 393, 503, 556, 559, 762, 458, 486, 451, 555, 579, 619, 411, 393, 503, 556, 559, 762, 458, 486","451, 555, 579, 619, 411, 393, 503, 556, 559, 762, 458, 486",Gambling
3,publicwin casino,ro,42,300,0.90,,publicwin casino,2026-05-27 14:56:37,,450,80,2500,2019-12-09,"Informational,Commercial,Branded,Non-local",English,"324, 333, 218, 281, 267, 544, 252, 254, 320, 348, 450, 326, 333, 258, 309, 427, 697, 394, 117, 72, 166, 252, 145, 137","129, 132, 123, 137, 122, 143, 99, 116, 148, 142, 135, 121",Gambling
4,publicwin bonus fara depunere,ro,59,250,1.00,,publicwin bonus fara depunere,2026-06-25 02:51:22,Sitelinks,300,150,150,2018-08-23,"Informational,Commercial,Branded,Non-local",Romanian,"253, 308, 311, 374, 464, 209, 221, 383, 207, 204, 203, 242, 147, 212, 179, 218, 273, 400, 297, 313, 315, 306, 305, 307","292, 310, 308, 316, 334, 319, 321, 337, 339, 330, 329, 331",Gambling
5,publicwin.ro,ro,43,150,0.90,0.97,publicwin,2026-06-10 11:42:05,,200,12000,14000,2016-11-19,"Informational,Navigational,Branded,Non-local",,"707, 786, 434, 228, 486, 384, 276, 211, 216, 134, 226, 225, 273, 192, 419, 442, 194, 68, 46, 26, 18, 46, 57, 70",,Sports betting
6,www. publicwin.ro,ro,53,150,1.50,1,www. publicwin.ro,2026-07-06 13:51:04,,150,50,50,2017-07-28,"Navigational,Transactional,Branded,Non-local",,"89, 120, 149, 214, 133, 129, 145, 121, 138, 108, 104, 110, 141, 160, 173, 215, 168, 180, 177, 180, 175, 155, 150, 141","149, 167, 186, 201, 161, 152, 177, 181, 175, 155, 151, 141",Sports betting
7,publicwin contact,ro,0,100,0.15,,publicwin contact,2026-06-04 15:34:39,,150,50,50,2017-10-13,"Informational,Branded,Non-local",English,"93, 97, 90, 104, 103, 117, 144, 120, 83, 88, 131, 99, 192, 132, 173, 178, 174, 152, 54, 34, 43, 51, 62, 49",,Gambling; Business
8,publicwin bonus,ro,57,100,1.20,,publicwin bonus fara depunere,2026-06-02 06:12:52,,200,150,150,2017-06-19,"Informational,Commercial,Branded,Non-local",English,"144, 97, 109, 113, 104, 130, 118, 94, 128, 110, 119, 128, 126, 104, 117, 121, 112, 139, 127, 101, 137, 118, 127, 137","135, 112, 126, 129, 119, 149, 136, 108, 146, 126, 136, 146",Sports betting
9,publicwin pareri,ro,42,70,1.10,,publicwin,2026-06-09 09:12:10,,80,450,450,2017-02-05,"Informational,Commercial,Branded,Non-local",Romanian,"24, 10, 23, 25, 15, 29, 74, 21, 5, 7, 14, 12, 42, 52, 46, 54, 76, 144, 144, 64, 45, 50, 90, 55",,Sports betting
10,publicein,ro,39,60,0.70,,publicwin,2026-06-27 10:03:19,,60,400,400,2020-04-21,"Informational,Non-branded,Non-local",Romanian,"116, 123, 100, 104, 102, 120, 106, 59, 74, 63, 61, 58, 84, 96, 112, 132, 59, 86, 15, 8, 21, 13, 25, 15",,Government contracting; Public records
