#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,totogaming,ro,55,222000,0.90,,totogaming,2026-07-05 15:50:08,Sitelinks,905000,196000,196000,2018-10-17,"Informational,Navigational,Commercial,Branded,Non-local",,"247377, 218588, 179424, 177350, 202751, 260638, 230579, 210253, 227311, 194705, 181830, 182795, 191211, 212595, 195192, 197410, 198741, 253801, 253401, 248379, 248644, 238679, 238651, 234641","233484, 226088, 217264, 212565, 211301, 214691, 210083, 220807, 219273, 211267, 210225, 207542",Lottery
2,toto gaming,ro,51,4400,0.80,,totogaming,2026-07-06 12:02:16,Sitelinks,11000,196000,196000,2020-01-27,"Informational,Commercial,Branded,Non-local",English,"518, 482, 2905, 465, 536, 621, 5002, 4101, 4898, 4000, 3959, 311, 467, 403, 4015, 3998, 4076, 4944, 7941, 6492, 7315, 6223, 6163, 2495","2820, 3014, 6768, 6328, 5668, 6022, 8689, 7207, 7997, 6874, 6784, 3088",Lottery
3,totogaming casino,ro,48,4200,0.60,,totogaming,2026-07-05 10:04:49,Sitelinks,13000,196000,196000,2020-04-02,"Informational,Commercial,Branded,Non-local",English,"9624, 8714, 6949, 7942, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235","4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235, 4235",Gambling
4,toto casino,ro,73,4100,1.00,,totogaming,2026-07-06 14:39:00,Sitelinks,178000,196000,196000,2020-01-25,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134","4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134, 4134",Lottery
5,toto,ro,78,2500,1.00,0.49,totogaming,2026-07-08 23:43:46,"Sitelinks,Video preview",1720000,197000,197000,2015-09-03,"Informational,Branded,Non-local",,"1860, 1792, 1926, 1754, 2188, 3080, 2876, 3107, 3070, 2462, 3090, 2168, 2221, 2405, 2697, 2262, 2163, 2709, 2760, 2807, 4433, 1233, 2207, 2092","2247, 2323, 4336, 4080, 4163, 3886, 3537, 3441, 3614, 3053, 2968, 2793",Rock music
6,totogaming romania,ro,54,2100,1.00,,totogaming,2026-07-05 16:49:36,Sitelinks,3600,196000,196000,2023-02-08,"Informational,Commercial,Branded,Non-local",English,"7757, 4339, 3811, 5334, 3810, 3837, 3155, 2971, 2484, 2513, 2408, 2942, 1808, 3595, 483, 1794, 2248, 1267, 2246, 2279, 2291, 1717, 1950, 1676","1742, 1267, 1089, 1198, 989, 888, 1247, 1802, 1462, 1201, 1240, 1155",Sports betting
7,totogaming bonus fara depunere,ro,59,2100,0.80,,totogaming bonus fara depunere,2026-06-30 08:59:38,,2300,1100,1100,2024-01-18,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"1589, 1596, 1307, 1270, 1573, 1888, 2401, 2308, 2341, 1879, 1579, 1299, 1584, 1592, 1617, 1918, 2445, 2406, 2422, 2711, 2559, 2470, 2378, 2260","2171, 2126, 2036, 1989, 1980, 1964, 2034, 2305, 2178, 2080, 2005, 1884",Sports betting
8,totogaming bonus,ro,56,1700,1.10,,totogaming bonus fara depunere,2026-06-26 03:27:31,,3600,1100,1100,2020-08-21,"Informational,Commercial,Branded,Non-local",English,"813, 719, 858, 1156, 970, 1872, 1534, 1279, 694, 1078, 1352, 856, 1431, 1290, 1731, 1497, 1449, 1582, 1305, 1749, 2295, 4170, 1524, 1486","1791, 1669, 1811, 1746, 1696, 1923, 1763, 1762, 1640, 1838, 1938, 1804",Sports betting
9,totogaming ro,ro,45,1600,0.80,,totogaming,2026-07-07 11:09:11,Sitelinks,2700,197000,197000,2023-12-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"5621, 5185, 3779, 3376, 3210, 3043, 2258, 526, 2356, 2292, 1856, 2678, 2141, 2049, 316, 1635, 1930, 1335, 1493, 1381, 1651, 1465, 1644, 1539","1409, 1265, 1020, 944, 860, 760, 662, 801, 937, 906, 1020, 1012",Sports betting
10,totogaming casino online,ro,62,1100,0.60,,totogaming,2026-06-21 07:26:18,Sitelinks,1800,197000,197000,2023-11-18,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"1289, 1303, 1011, 885, 1028, 1585, 2877, 1889, 1625, 1312, 1313, 1233, 1581, 1604, 1028, 1278, 909, 1344, 2224, 789, 837, 549, 655, 753","1336, 921, 271, 645, 183, 1124, 2062, 657, 687, 417, 513, 624, 1201",Sports betting
