#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,unibet,ro,60,121000,0.15,1.06,unibet ro,2026-07-07 22:35:12,Sitelinks,1510000,10000,13000,2015-09-01,"Navigational,Transactional,Branded,Non-local",,"181414, 163616, 157986, 160220, 143576, 194566, 159840, 158844, 153372, 133224, 138934, 104371, 116576, 129273, 129254, 123571, 120333, 129851, 111214, 127568, 123622, 125612, 115051, 117266","109640, 117976, 117027, 119447, 120551, 136150, 123551, 125203, 121774, 124099, 113935, 116351",Sports betting
2,unibet ro,ro,49,7300,0.20,1.03,unibet ro,2026-07-05 01:25:49,Sitelinks,14000,10000,13000,2015-09-02,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"12900, 16767, 12278, 1018, 2252, 2391, 1099, 10114, 7522, 8901, 7024, 8893, 9907, 9789, 9228, 4617, 5583, 7772, 5024, 6650, 6480, 6671, 6896, 6610","5976, 7317, 6964, 2448, 3454, 5685, 2987, 4590, 4528, 4761, 5065, 4804",Sports betting
3,forum loto polonia,ro,26,5500,0.35,,loto polonia forum,2026-07-06 14:38:49,"Sitelinks,AI Overview",5600,8300,8400,2015-09-13,"Informational,Branded,Non-local",Romanian,"916, 921, 823, 1210, 1242, 682, 664, 649, 941, 936, 1780, 4910, 1908, 6040, 5968, 6156, 5678, 6156, 7484, 5104, 4995, 6022, 6167, 5887","5553, 5977, 5985, 6113, 6159, 6231, 6417, 6432, 6486, 6686, 6726, 7054",Lottery; Communities
4,unibet casino,ro,74,3000,0.30,1.14,casino online romania,2026-07-04 18:57:59,Sitelinks,93000,41000,46000,2015-12-05,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",Romanian,"4136, 3312, 3358, 3938, 4860, 7220, 5104, 4086, 4035, 3415, 3399, 3240, 3468, 3516, 3481, 2834, 2318, 3075, 2957, 2735, 2928, 2864, 2851, 2641","2757, 2679, 2511, 2571, 2680, 3345, 3035, 2807, 3005, 2939, 2926, 2710",Gambling
5,unibet.ro,ro,38,2900,0.20,1.08,unibet,2026-07-05 01:57:42,Video preview,4800,143000,147000,2015-09-05,"Navigational,Transactional,Branded,Non-local",,"2483, 2488, 2729, 2703, 2882, 3350, 3162, 2683, 2432, 3121, 2819, 2749, 2573, 2578, 2828, 2801, 2985, 3471, 3275, 2778, 2518, 3231, 2918, 2846","2663, 2668, 2927, 2898, 3089, 3591, 3388, 2874, 2605, 3342, 3018, 2942",Sports betting; Sports
6,unibet.ro login,ro,48,2100,0.09,,unibet.ro login,2026-06-27 23:24:49,,4200,700,1500,2016-05-17,"Navigational,Transactional,Branded,Non-local",English,"2682, 3222, 3194, 3197, 3159, 4788, 3958, 3196, 2591, 2675, 2670, 2555, 3882, 2662, 2618, 2146, 1677, 2158, 2133, 1657, 1310, 1324, 1458, 1313","1363, 1399, 1359, 1438, 1349, 1691, 1401, 1256, 1226, 1245, 1259, 1115",Sports betting
7,casino nou,ro,76,2000,1.10,,cazino nou,2026-07-07 11:01:34,Sitelinks,2100,700,800,2020-07-13,"Informational,Commercial,Non-branded,Non-local",Romanian,"194, 659, 908, 1173, 1413, 1434, 1473, 1440, 1443, 1204, 268, 274, 473, 2062, 1983, 2851, 2574, 2502, 2473, 2392, 2322, 2093, 1513, 2026","2219, 3115, 2479, 2952, 2361, 2299, 2235, 2155, 2084, 1855, 1275, 1788",Gambling
8,pariuri,ro,73,1000,5.00,0.74,pariuri sportive,2026-06-21 09:07:00,"Top stories,Thumbnail,Local pack,Video preview",1500,12000,14000,2015-09-01,"Informational,Non-branded,Non-local",Romanian,"763, 1063, 1126, 1283, 1313, 1150, 910, 1357, 1149, 932, 813, 648, 699, 1000, 1064, 1223, 1254, 1092, 853, 1301, 1094, 879, 761, 596","648, 950, 1016, 1175, 1207, 1047, 808, 1258, 1051, 837, 720, 556",Sports betting; Company news
9,cazinou nou,ro,80,1000,1.20,,cazinouri online,2026-06-19 22:35:03,,1000,24000,28000,2022-06-28,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"221, 273, 222, 408, 420, 620, 634, 518, 426, 277, 418, 413, 627, 1391, 1113, 1388, 983, 956, 1021, 963, 910, 843, 873, 869","919, 1013, 968, 1090, 1058, 1179, 1176, 1115, 1040, 968, 1004, 1000",Gambling
10,unibet romania,ro,30,1000,0.30,1.09,pariuri sportive,2026-06-29 09:03:30,,3700,13000,16000,2015-09-04,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"841, 908, 1003, 1169, 1059, 1193, 1029, 1085, 1109, 994, 1069, 929, 840, 907, 1003, 1168, 1058, 1193, 1029, 1085, 1108, 993, 1069, 929","840, 907, 1003, 1168, 1058, 1193, 1029, 1085, 1108, 993, 1069, 929",Sports betting; Sports
