#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,case pariuri online,ro,76,1700,4.50,1.22,pariuri sportive,2026-06-21 13:12:39,Sitelinks,2000,12000,14000,2015-09-03,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"983, 1006, 1277, 1283, 1302, 1290, 1582, 1605, 1573, 1828, 1563, 1572, 1247, 1433, 1435, 1957, 1692, 1762, 1831, 1885, 1998, 1824, 1715, 1664","1526, 1537, 1775, 1965, 2117, 2153, 2215, 2194, 2313, 2100, 1965, 1896, 1731",Sports betting
2,pariuri online,ro,77,1400,8.00,1.33,pariuri sportive,2026-06-21 11:36:33,,2400,12000,14000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"1209, 1095, 1289, 1289, 1491, 1582, 1544, 1404, 1550, 1512, 1351, 1264, 1196, 1083, 1276, 1277, 1478, 1569, 1532, 1394, 1538, 1501, 1342, 1257","1189, 1077, 1269, 1271, 1471, 1561, 1525, 1388, 1532, 1496, 1337, 1252, 1185",Sports betting; Sports
3,pariuri sportive online,ro,81,1000,5.00,1.29,unibet.ro,2026-06-19 01:08:00,Sitelinks,2000,15000,16000,2015-09-02,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"936, 911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846, 936, 911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846","936, 911, 909, 928, 979, 1229, 1152, 1185, 1279, 1055, 940, 846, 936",Sports betting
4,pariuri online romania,ro,81,700,7.00,1.33,netbet sport,2026-06-08 09:55:11,Sitelinks,1000,9100,11000,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Romanian,"536, 359, 307, 498, 580, 570, 608, 482, 347, 618, 616, 625, 508, 777, 726, 691, 676, 679, 695, 680, 690, 697, 684, 700","684, 687, 707, 721, 738, 691, 722, 703, 710, 715, 700",Sports betting
5,cele mai bune case de pariuri online,ro,68,700,3.00,1.49,pariuri sportive,2026-06-10 18:37:55,Sitelinks,900,11000,11000,2015-10-16,"Informational,Commercial,Non-branded,Non-local",Romanian,"344, 232, 286, 352, 352, 288, 351, 354, 409, 611, 424, 415, 287, 473, 689, 780, 631, 674, 789, 704, 783, 819, 688, 692","621, 600, 651, 727, 748, 747, 723, 713, 792, 828, 695, 699, 627",Sports betting
6,case de pariuri online,ro,73,600,6.00,1.3,unibet.ro,2026-06-17 09:26:21,,1400,11000,11000,2015-09-03,"Informational,Commercial,Non-branded,Non-local",Romanian,"379, 477, 766, 561, 864, 570, 670, 657, 770, 803, 693, 568, 379, 477, 766, 561, 864, 569, 670, 657, 770, 803, 693, 568","379, 477, 766, 561, 864, 569, 670, 657, 770, 803, 693, 568, 379",Sports betting; Sports
7,casa de pariuri online,ro,81,450,8.00,1.45,casa pariurilor,2026-06-14 23:56:35,"Bottom ads,Paid sitelinks",600,346000,378000,2015-09-30,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"184, 145, 145, 188, 219, 284, 344, 233, 231, 412, 346, 352, 281, 401, 440, 497, 397, 378, 461, 555, 624, 506, 475, 514","493, 493, 503, 510, 512, 534, 512, 510, 536, 538, 502, 516, 494",Sports betting
8,pariuri sportive online romania,ro,81,350,4.00,1.52,pariuri sportive,2026-06-04 03:25:04,,500,11000,11000,2015-09-17,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"286, 187, 123, 166, 170, 166, 236, 236, 220, 229, 278, 337, 284, 244, 223, 363, 263, 290, 244, 347, 487, 466, 322, 439","451, 436, 436, 467, 478, 487, 483, 495, 511, 511, 512, 521, 535",Sports betting
9,case de pariuri online noi,ro,,300,1.90,,,,,350,,,2015-10-19,,,"137, 135, 113, 115, 132, 137, 131, 177, 172, 244, 208, 212, 181, 345, 436, 300, 312, 386, 258, 266, 287, 277, 330, 309","335, 358, 455, 478, 501, 498, 362, 370, 396, 378, 448, 415, 448",
10,top case pariuri online,ro,64,300,6.00,1.56,case pariuri online,2026-05-21 04:48:14,Sitelinks,400,2100,2500,2015-10-16,"Informational,Commercial,Non-branded,Non-local",Romanian,"83, 107, 85, 135, 129, 128, 107, 109, 188, 339, 236, 192, 166, 348, 449, 448, 319, 259, 251, 253, 257, 292, 242, 231","226, 245, 252, 258, 260, 273, 269, 271, 275, 310, 260, 249, 245",Sports betting; Sports
11,case pariuri online noi,ro,,250,1.80,,,,,300,,,2016-02-16,,,"53, 58, 103, 61, 103, 78, 82, 235, 191, 176, 158, 158, 187, 355, 340, 302, 211, 223, 274, 239, 222, 215, 202, 197","180, 181, 184, 178, 187, 202, 190, 175, 159, 155, 143, 139, 124",
12,top case de pariuri online,ro,57,250,5.00,1.67,case pariuri online,2026-06-13 09:50:54,Sitelinks,300,2100,2600,2015-09-11,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"51, 95, 94, 95, 139, 121, 83, 86, 150, 203, 168, 107, 137, 182, 269, 341, 230, 161, 166, 270, 206, 340, 238, 252","238, 215, 250, 263, 264, 241, 256, 243, 255, 293, 238, 258, 243",Sports betting
13,agentii pariuri online,ro,74,200,3.50,1.18,pariuri sportive,2026-06-26 07:11:39,Sitelinks,250,13000,16000,2015-10-16,"Informational,Commercial,Transactional,Non-branded,Non-local",Romanian,"101, 80, 61, 80, 102, 126, 103, 159, 121, 154, 154, 153, 149, 171, 146, 222, 189, 240, 215, 223, 219, 212, 216, 221","225, 187, 194, 212, 218, 243, 217, 241, 234, 224, 227, 231, 234",Sports betting; Sports
14,cea mai buna casa de pariuri online,ro,67,200,8.00,1.56,case pariuri online,2026-05-26 00:49:48,Top ads,250,1900,2300,2015-10-09,"Informational,Commercial,Non-branded,Non-local",Romanian,"104, 104, 81, 127, 122, 101, 98, 104, 160, 224, 161, 127, 124, 281, 367, 237, 159, 180, 179, 167, 181, 172, 136, 135","138, 161, 161, 163, 183, 192, 178, 167, 181, 172, 136, 135, 138",Sports betting; Sports
