#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,ponturi pariuri,ro,59,13000,0.70,1.79,ponturi pariuri azi,2026-06-26 07:10:12,,16000,16000,18000,2015-09-01,"Informational,Commercial,Non-branded,Non-local",Romanian,"11215, 10666, 13863, 15165, 13575, 14499, 13387, 12665, 14448, 13186, 11410, 11326, 7436, 8691, 13482, 15177, 15320, 14891, 14317, 12921, 14999, 13627, 13286, 11385","9125, 9879, 12711, 14304, 14435, 14026, 13481, 12163, 14115, 12820, 12495, 10703, 8576",Sports betting; Sports
2,ponturi pariuri azi,ro,58,5100,0.50,1.71,ponturi pariuri azi,2026-06-26 01:06:23,,6200,12000,13000,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Romanian,"3509, 3766, 4829, 5282, 5475, 5522, 5187, 5163, 5533, 4943, 5377, 4350, 3690, 3947, 5010, 5463, 5656, 5703, 5368, 5344, 5714, 5124, 5558, 4531","3871, 4128, 5191, 5644, 5837, 5884, 5549, 5525, 5895, 5305, 5739, 4712, 4052",Sports betting; Sports
3,ponturi pariuri pro,ro,56,1100,1.10,1.16,ponturi pariuri pro,2026-06-12 20:48:26,Sitelinks,1300,1600,1800,2016-05-06,"Informational,Commercial,Non-branded,Non-local",Romanian,"429, 449, 555, 543, 549, 663, 668, 800, 771, 801, 672, 554, 446, 714, 868, 991, 1253, 1191, 1314, 1392, 1539, 1431, 1266, 1185","1176, 1163, 1192, 1329, 1394, 1350, 1374, 1460, 1606, 1499, 1333, 1253, 1244",Sports betting
4,ponturi pariuri experti,ro,65,700,0.30,1.73,ponturi pariuri azi,2026-06-26 07:10:10,Video preview,1100,13000,14000,2018-07-01,"Informational,Non-branded,Non-local",Romanian,"987, 977, 977, 1244, 855, 857, 857, 896, 698, 708, 722, 988, 718, 752, 732, 762, 899, 762, 562, 747, 725, 781, 656, 705","640, 685, 673, 754, 737, 724, 672, 722, 701, 754, 634, 681, 618",Sports betting
5,ponturi pariuri sportive,ro,67,700,0.70,1.98,ponturi pariuri,2026-06-17 13:40:27,Video preview,1000,13000,15000,2015-09-03,"Informational,Commercial,Non-branded,Non-local",Romanian,"459, 510, 621, 677, 666, 734, 655, 620, 898, 889, 686, 584, 456, 507, 617, 673, 663, 730, 652, 617, 894, 885, 683, 582","454, 505, 615, 671, 661, 728, 651, 616, 892, 883, 681, 581, 454",Sports betting; Sports
6,ponturi pariuri fotbal,ro,55,400,0.80,1.77,ponturi pariuri azi,2026-06-26 07:12:08,,500,3400,4000,2015-09-10,"Informational,Commercial,Non-branded,Non-local",Romanian,"210, 217, 268, 222, 275, 196, 191, 286, 330, 259, 269, 270, 225, 287, 298, 478, 359, 358, 371, 464, 419, 646, 364, 518","480, 493, 493, 533, 553, 545, 515, 511, 559, 548, 497, 494, 453",Sports betting; Soccer
7,ponturi pariuri hunter,ro,41,350,0.90,1.29,biletul zilei hunter,2026-06-10 11:36:32,Sitelinks,400,8500,8800,2015-09-17,"Informational,Branded,Non-local",Romanian,"216, 261, 270, 268, 324, 329, 327, 326, 309, 318, 176, 220, 213, 189, 413, 409, 482, 388, 347, 345, 326, 320, 294, 282","248, 289, 313, 431, 366, 336, 311, 309, 292, 286, 263, 251, 221",Sports betting
8,ponturi pariuri maine,ro,65,300,0.35,1.68,ponturi pariuri,2026-06-09 09:43:58,,350,12000,14000,2015-09-03,"Informational,Non-branded,Non-local",Romanian,"164, 171, 172, 214, 217, 184, 225, 225, 262, 410, 404, 407, 225, 281, 230, 233, 344, 287, 288, 284, 293, 296, 279, 266","228, 236, 240, 246, 258, 253, 259, 254, 263, 266, 249, 236, 199",Sports betting
9,site uri ponturi pariuri sportive,ro,64,300,0.35,,ponturi pariuri,2026-06-16 08:40:19,,350,13000,15000,2017-05-03,"Informational,Non-branded,Non-local",Romanian,"125, 187, 159, 189, 162, 204, 245, 302, 245, 357, 242, 300, 239, 373, 293, 374, 381, 218, 324, 323, 334, 350, 315, 329","318, 341, 338, 357, 362, 361, 373, 376, 387, 403, 368",Sports betting
10,ponturi pariuri tenis,ro,2,250,0.70,1.65,ponturi tenis,2026-05-13 12:17:20,"Top stories,Thumbnail",350,2200,2500,2015-09-08,"Informational,Commercial,Non-branded,Non-local",Romanian,"283, 347, 284, 288, 198, 199, 129, 355, 286, 404, 417, 352, 359, 318, 266, 322, 237, 146, 123, 256, 237, 300, 273, 276","274, 277, 255, 270, 248, 228, 197, 277, 285, 295, 262, 286, 284",Sports betting; General reference; Racquet sports
11,ponturi pariuri azi fotbal,ro,56,250,0.30,1.92,ponturi pariuri azi,2026-06-20 15:12:30,,400,11000,12000,2015-10-18,"Informational,Non-branded,Non-local",Romanian,"74, 133, 166, 197, 259, 264, 223, 221, 207, 204, 205, 113, 54, 124, 186, 269, 236, 388, 380, 369, 388, 377, 343, 305","278, 298, 351, 374, 387, 396, 390, 379, 398, 386, 353, 315",Sports betting
12,ponturi pariuri fotbal azi,ro,58,250,0.30,3.27,ponturi pariuri,2026-06-02 12:34:00,,350,6100,7800,2015-10-20,"Informational,Commercial,Non-branded,Non-local",Romanian,"89, 169, 143, 171, 210, 140, 136, 146, 144, 166, 167, 165, 87, 96, 117, 206, 363, 246, 246, 323, 429, 351, 307, 330","302, 321, 322, 330, 357, 350, 333, 337, 337, 331, 314, 301, 277",Sports betting; Soccer
13,ponturi pariuri cote mari,ro,52,200,0.40,,biletul zilei cota mare,2026-05-15 04:19:21,,250,0,0,2015-10-01,"Informational,Commercial,Non-branded,Non-local",Romanian,"202, 195, 201, 169, 167, 167, 187, 210, 125, 152, 121, 149, 43, 116, 128, 146, 173, 210, 235, 302, 243, 286, 243, 252",260,Sports betting
14,pariuri ponturi,ro,60,200,0.50,1.6,ponturi pariuri,2026-05-30 07:05:20,"Top stories,Thumbnail",300,6000,7700,2015-09-20,"Informational,Non-branded,Non-local",Romanian,"171, 141, 194, 198, 207, 212, 196, 132, 100, 183, 186, 188, 152, 127, 114, 198, 165, 230, 189, 170, 178, 209, 170, 167","137, 151, 150, 168, 198, 197, 189, 171, 178, 209, 171",Sports betting
15,ponturi pariuri baschet,ro,1,150,,,ponturi baschet,2026-06-26 15:19:18,,200,600,700,2015-11-10,"Informational,Non-branded,Non-local",Romanian,"43, 33, 35, 41, 58, 148, 123, 103, 80, 63, 69, 38, 19, 95, 90, 165, 220, 231, 313, 314, 139, 166, 154, 124",148,Sports betting; Basketball
16,ponturi pariuri liga campionilor,ro,9,150,,,ponturi pariuri champions league,2026-04-16 12:29:57,,200,,,2015-09-16,,,"21, 35, 37, 37, 36, 32, 32, 48, 37, 39, 46, 44, 39, 123, 140, 155, 207, 182, 209, 204, 140, 166, 172, 163",168,
