#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (06-2024 - 05-2026),SV Forecasting trend (06-2026 - 06-2027),Category
1,top casino online,ro,65,6600,4.50,,top cazinouri online,2026-06-20 19:16:16,Sitelinks,17000,17000,18000,2015-09-03,"Informational,Commercial,Non-branded,Non-local",English,"1217, 1224, 977, 992, 1247, 1365, 1658, 4316, 11827, 11994, 6449, 6454, 4407, 5385, 6664, 7990, 8268, 6849, 6844, 6573, 7151, 6023, 4935, 4837","4119, 4235, 3862, 3831, 3334, 3035, 2815, 3106, 3747, 2995, 2026",Casino games; Gambling
2,top casino,ro,74,6000,2.00,,cazinouri online,2026-06-22 09:02:40,"Sitelinks,Video preview",22000,32000,33000,2016-01-18,"Informational,Commercial,Non-branded,Non-local",English,"570, 560, 572, 694, 685, 803, 1104, 3172, 10408, 10760, 5704, 5643, 3884, 4794, 5935, 7058, 7281, 7114, 7117, 6178, 6765, 5949, 5182, 4571","4092, 3883, 3602, 3198, 2921, 2586, 2452, 2362, 2932, 2643, 1993, 1735, 1400",Gambling
3,top 10 casino online,ro,67,5200,6.00,,top 10 casino online,2026-06-18 02:54:20,"Sitelinks,Video preview",13000,3800,4000,2020-01-11,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"262, 319, 290, 363, 499, 575, 711, 775, 12517, 15195, 6823, 6852, 3906, 5667, 7024, 8369, 1676, 7074, 7060, 1821, 8049, 5429, 2144, 3957","3371, 3111, 2972, 2754, 2120, 2009, 1727, 1394, 2623, 2509, 1519, 1326, 878",Gambling
4,top 10 casino,ro,68,4000,4.50,,top 10 casino,2026-06-21 19:19:21,"Featured snippet,Video preview",9300,350,350,2018-07-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"227, 227, 188, 347, 346, 537, 658, 1993, 2593, 871, 768, 3021, 2310, 3224, 4784, 3587, 3798, 3506, 4045, 1332, 20139, 234, 1326, 274",609,Gambling
5,top casino romania,ro,75,1300,2.50,,cazinouri online,2026-06-19 05:03:51,,1600,33000,35000,2015-11-18,"Informational,Commercial,Non-branded,Non-local",English,"397, 406, 410, 411, 493, 494, 754, 230, 213, 225, 278, 768, 757, 1077, 988, 1070, 1450, 1486, 1521, 1452, 1485, 1514, 1529, 1594","1588, 1671, 1666, 1670, 1726, 1719, 1736, 1678, 1712, 1740, 1755, 1820, 1815",Gambling
6,top bet casino,ro,19,1200,,,topbet,2026-05-22 15:10:26,,1500,,,2017-10-16,,,"1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 21, 58, 169, 902, 951, 3001, 1770, 1815, 2279, 1911, 1870",,
7,top casino online romania,ro,70,900,3.50,,cazinouri online,2026-06-20 09:37:43,Video preview,1200,33000,34000,2018-11-20,"Informational,Commercial,Non-branded,Local",English,"176, 223, 221, 276, 268, 323, 333, 352, 324, 494, 615, 506, 418, 685, 1024, 812, 964, 1005, 993, 999, 998, 1037, 1032, 1062","1044, 1087, 1136, 1144, 1183, 1185, 1214, 1215, 1213, 1253, 1247, 1277",Casino games; Gambling
8,top online casino,ro,73,800,5.00,,cazinouri online,2026-06-27 05:15:33,Video preview,24000,31000,33000,2019-06-14,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"228, 186, 275, 278, 277, 239, 414, 350, 340, 591, 506, 509, 504, 675, 1126, 674, 921, 809, 714, 830, 819, 852, 841, 850","848, 882, 949, 926, 953, 918, 942, 992, 980, 1013, 1003, 1011, 1009",Gambling
9,casino online top,ro,62,400,3.00,,cazinouri online,2026-06-06 07:36:58,Video preview,2500,30000,30000,2017-08-18,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"152, 156, 108, 194, 230, 83, 75, 103, 338, 118, 470, 147, 464, 151, 256, 417, 287, 284, 661, 485, 465, 495, 414, 479","475, 439, 350, 435, 431, 447, 443, 577, 550, 513, 656, 589, 583",Gambling
10,online casino top,ro,67,250,2.50,,casino online romania,2026-05-18 21:07:40,,3400,31000,32000,2020-01-16,"Informational,Commercial,Non-branded,Non-local",English,"92, 135, 72, 98, 107, 164, 170, 140, 111, 373, 319, 259, 211, 468, 579, 239, 323, 180, 177, 187, 177, 179, 161, 196","169, 188, 191, 163, 169, 178, 167, 172, 177, 171, 165, 185, 159",Gambling
