#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,vbet,ro,46,104000,0.90,1,vbet,2026-07-07 20:13:58,Sitelinks,1000000,143000,144000,2015-09-12,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"42, 52, 63, 79, 868, 4670, 16823, 26500, 28124, 34207, 28293, 30699, 72461, 152333, 158865, 110678, 107886, 124941, 114996, 114061, 98148, 72752, 95414, 36822",,Sports betting
2,victorybet,ro,55,26000,0.80,,vbet,2026-07-04 04:03:25,Sitelinks,31000,143000,145000,2020-02-28,"Informational,Navigational,Branded,Non-local",,"0, 18, 1638, 146, 145, 4764, 6962, 5457, 5908, 8238, 8513, 9673, 25018, 40658, 48142, 38248, 33825, 28386, 26627, 23772, 19057, 16364, 7349, 24862",,Sports betting
3,victory bet,ro,56,21000,0.70,,vbet,2026-07-07 18:51:16,Sitelinks,64000,143000,144000,2020-01-07,"Commercial,Transactional,Non-branded,Non-local",English,"1, 18, 177, 127, 84, 11792, 19086, 19701, 20906, 16882, 13332, 11988, 22923, 33998, 36057, 20686, 19202, 18300, 23710, 23249, 13709, 13709, 13709, 13709","13709, 13709, 13709, 13709, 13709, 13709, 13709, 13709, 13709, 13709, 13709, 13709",Sports betting
4,vbet casino,ro,61,14000,0.60,,vbet,2026-07-08 04:49:30,Sitelinks,40000,143000,144000,2020-01-10,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"2, 2, 3, 2, 2, 1165, 4668, 6286, 7957, 7627, 6525, 6058, 11306, 23675, 21954, 15411, 12132, 16025, 12534, 13112, 12209, 10795, 8932, 8932","8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932, 8932",Gambling
5,vbet ro,ro,58,3600,0.80,,vbet,2026-07-06 14:22:58,Sitelinks,3900,143000,144000,2024-12-17,"Informational,Navigational,Commercial,Branded,Non-local",,"0, 0, 0, 1, 3, 55, 89, 50, 61, 75, 61, 207, 1666, 3109, 7131, 5809, 3449, 4976, 5291, 5221, 3474, 1991, 479, 1484",,Sports betting
6,vbet romania,ro,28,2300,0.90,,vbet,2026-06-29 21:57:54,Sitelinks,2600,142000,144000,2023-11-21,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"61, 77, 93, 91, 73, 1154, 2094, 2110, 2610, 2572, 1426, 1683, 2560, 3860, 3894, 3262, 2194, 2155, 2018, 2048, 1701, 1212, 1030, 876","744, 633, 538, 457, 389, 330, 281, 270, 270, 270, 270, 270",Sports betting
7,victory bet casino,ro,60,1800,0.50,,vbet,2026-06-21 02:03:52,Sitelinks,1900,142000,144000,2024-09-13,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"0, 0, 156, 306, 304, 1586, 3541, 3551, 2912, 2855, 2325, 1573, 2393, 3583, 3609, 2819, 1561, 1018, 956, 1245, 861, 670, 807, 821","1104, 1203, 1107, 997, 906, 1060, 1210, 1086, 844, 869, 806, 820",Sports betting
8,viva casino,ro,58,1800,0.45,,vivabet,2026-06-19 23:19:31,Sitelinks,3000,120000,133000,2015-09-07,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"750, 1334, 1382, 1640, 2442, 4585, 3748, 2514, 3067, 2571, 3135, 3055, 3160, 2493, 1679, 2052, 1602, 1711, 1362, 1157, 1125, 856, 1208, 1166","1260, 1095, 957, 1312, 1220, 1697, 876, 677, 1188, 919, 1271, 1229",Gambling
9,senatorbet,ro,62,1100,1.20,1.06,senator bet pariuri sportive,2026-07-09 04:49:58,,1100,2300,2300,2015-09-01,"Informational,Commercial,Branded,Local",,"277, 756, 1832, 1888, 1588, 975, 1568, 2796, 3081, 273, 55, 46, 39, 464, 1558, 1631, 1348, 749, 1357, 2598, 2895, 98, 8, 7","6, 329, 1431, 1512, 1236, 645, 1259, 2506, 2809, 17, 1, 1",Sports betting; Business
10,bet casino,ro,78,700,1.20,,getsbet casino,2026-07-07 08:11:53,,216000,1500,1600,2016-12-28,"Commercial,Transactional,Non-branded,Non-local",English,"365, 464, 552, 536, 655, 261, 309, 703, 234, 699, 739, 545, 745, 621, 524, 609, 529, 782, 685, 731, 690, 744, 757, 731","772, 801, 802, 843, 846, 849, 877, 923, 882, 936, 949, 923",Sports betting
11,vbet bonus,ro,57,700,0.90,,vbet bonus,2026-07-04 07:07:49,Video preview,2900,350,500,2020-02-13,"Informational,Commercial,Branded,Non-local",English,"9, 10, 10, 1, 9, 33, 51, 30, 52, 93, 91, 178, 1309, 1632, 893, 741, 1660, 1085, 217, 135, 108, 119, 147, 385",,Sports betting
12,bet ro,ro,73,150,1.40,,netbet.ro,2026-06-14 23:01:09,,200,12000,14000,2016-04-05,"Branded,Non-local",,"68, 58, 87, 136, 160, 127, 119, 108, 128, 139, 122, 118, 184, 214, 210, 130, 142, 127, 107, 103, 97, 103, 88, 81","81, 72, 85, 83, 98, 87, 70, 63, 61, 67, 55, 47",Networks
13,casino victoria,ro,60,100,1.00,,casino victoria,2026-06-23 11:56:43,Local pack,1600,20,20,2015-09-30,"Informational,Commercial,Branded,Local",English,"26, 12, 66, 24, 23, 32, 94, 35, 42, 73, 61, 58, 364, 424, 203, 33, 38, 33, 33, 23, 26, 28, 36, 22",,Gambling; Business
