#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (07-2024 - 06-2026),SV Forecasting trend (07-2026 - 07-2027),Category
1,winmasters,ro,0,17000,0.15,1.1,winmasters,2026-07-06 07:05:02,Sitelinks,136000,28000,29000,2015-09-01,"Navigational,Branded,Non-local",,"13228, 15125, 14802, 15944, 16020, 19098, 21829, 18516, 16305, 16746, 15128, 15141, 14644, 15101, 14781, 15924, 16003, 19080, 21810, 18502, 16295, 16736, 15120, 15134","14639, 15096, 14776, 15919, 15999, 19076, 21806, 18499, 16292, 16734, 15119, 15132",Development
2,winmaster,ro,44,13000,0.15,1.13,winmasters romania,2026-07-06 12:26:10,Sitelinks,21000,300,700,2015-09-01,"Informational,Commercial,Branded,Non-local",,"7773, 9491, 7250, 9291, 7706, 7353, 9216, 12907, 12744, 15379, 13875, 9235, 5684, 10993, 10262, 10493, 14675, 13962, 17812, 16609, 13013, 14821, 17322, 16095","13922, 19023, 16292, 16943, 16103, 17148, 21500, 19989, 15617, 17739, 20677, 19163",Sports betting
3,winmasters casino,ro,66,900,0.15,,winmasters casino,2026-06-21 10:06:09,,2700,600,600,2016-01-28,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"518, 726, 1194, 1373, 912, 608, 706, 886, 696, 707, 883, 643, 791, 1126, 1245, 821, 662, 1007, 986, 889, 818, 757, 782, 749","705, 722, 712, 728, 679, 705, 765, 689, 613, 563, 588, 561",Sports betting
4,winmasters bonus fara depunere,ro,55,700,0.25,,winmasters bonus fara depunere,2026-06-28 16:26:47,,800,900,900,2016-04-11,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"568, 694, 239, 291, 790, 708, 1536, 2958, 2353, 1567, 291, 457, 346, 418, 409, 605, 811, 866, 1370, 1583, 1037, 624, 331, 641","610, 769, 415, 660, 999, 810, 1545, 2067, 919, 392, 18, 557",Sports betting
5,winmaster casino,ro,49,400,0.20,,winmasters casino,2026-05-26 14:04:09,Sitelinks,600,450,450,2015-12-26,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"214, 322, 468, 541, 399, 265, 314, 370, 296, 291, 363, 270, 390, 590, 577, 308, 278, 484, 549, 475, 322, 393, 355, 332","314, 335, 335, 325, 294, 306, 338, 292, 250, 242, 249, 236",Sports betting
6,winmasters romania,ro,1,350,0.25,1.05,winmasters casino,2026-06-16 01:19:00,Sitelinks,450,150,400,2015-09-08,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",,"199, 218, 258, 319, 247, 308, 303, 566, 185, 522, 141, 338, 281, 447, 508, 396, 265, 296, 363, 348, 332, 364, 357, 334","332, 427, 432, 389, 321, 314, 385, 369, 352, 385, 378, 354",Sports betting; Sports
7,winmasters bonus,ro,59,250,0.20,1.09,winmasters bonus,2026-06-21 08:45:26,Sitelinks,600,450,450,2015-09-02,"Informational,Commercial,Branded,Non-local",English,"441, 676, 678, 444, 244, 371, 372, 554, 442, 461, 381, 202, 174, 224, 405, 255, 209, 305, 389, 275, 258, 281, 299, 262","234, 242, 264, 240, 216, 301, 385, 272, 255, 279, 297, 260",Sports betting
8,win master,ro,47,200,0.60,0.89,winmaster,2026-06-05 05:44:59,Sitelinks,600,11000,18000,2015-09-14,"Informational,Commercial,Branded,Non-local",Romanian,"113, 130, 212, 195, 126, 146, 195, 111, 310, 232, 227, 150, 94, 167, 227, 188, 252, 436, 469, 117, 131, 144, 148, 126","120, 108, 123, 119, 16, 402, 435, 109, 121, 133, 137, 116",Sports betting
9,winmasters bonus de bun venit,ro,48,150,4.00,,winmasters bonus fara depunere,2026-06-01 18:56:01,Sitelinks,150,300,300,2017-02-05,"Informational,Commercial,Transactional,Branded,Non-local",Romanian,"25, 37, 50, 46, 33, 67, 116, 184, 93, 67, 167, 192, 108, 113, 92, 121, 165, 161, 186, 171, 178, 232, 129, 105",,Sports betting
10,winmasters contact,ro,1,150,0.45,,winmasters contact,2026-06-16 11:00:49,,150,70,70,2015-09-15,"Informational,Branded,Non-local",English,"34, 44, 60, 27, 22, 50, 83, 103, 80, 102, 101, 64, 71, 114, 109, 153, 190, 309, 255, 198, 240, 161, 189, 217","218, 229, 214, 215, 215, 230, 235, 223, 229, 227, 228, 213",Sports betting; Business
11,winmasters apk,ro,58,90,2.50,,winmasters apk,2026-06-17 15:20:36,,250,30,50,2018-05-08,"Informational,Transactional,Branded,Non-local",,"3, 6, 10, 4, 8, 4, 8, 2, 0, 3, 3, 3, 66, 87, 61, 100, 126, 113, 146, 63, 62, 84, 124, 79",,Sports betting; Add-ons
12,winmaster bonus,ro,54,80,0.90,,winmasters bonus fara depunere,2026-06-05 13:16:50,Sitelinks,100,400,400,2015-09-08,"Informational,Commercial,Branded,Non-local",English,"126, 146, 205, 81, 39, 11, 4, 25, 17, 10, 10, 8, 75, 45, 10, 48, 87, 94, 91, 86, 89, 124, 131, 94",,Gambling
13,winmasters casino bonus,ro,49,50,3.50,,winmasters bonus fara depunere,2026-06-09 05:06:26,,250,400,400,2020-03-02,"Informational,Commercial,Branded,Non-local",English,"34, 33, 28, 29, 39, 53, 48, 47, 34, 48, 34, 52, 41, 39, 35, 35, 45, 59, 54, 53, 40, 54, 40, 58","47, 45, 41, 41, 51, 65, 60, 59, 47, 60, 46, 64",Gambling
14,bonus winmasters,ro,55,50,2.50,1.39,winmasters bonus,2026-06-02 17:42:18,,100,600,600,2015-09-07,"Informational,Commercial,Transactional,Branded,Non-local",English,"55, 56, 50, 42, 44, 48, 58, 52, 43, 47, 47, 51, 55, 56, 50, 42, 44, 48, 58, 52, 43, 47, 47, 51","55, 56, 50, 42, 44, 48, 58, 52, 43, 47, 47, 51",Sports betting
15,win masters,ro,55,50,2.00,1.06,winmasters romania,2026-06-26 03:58:23,,350,300,600,2015-09-15,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,"48, 24, 16, 24, 18, 18, 22, 56, 56, 40, 46, 49, 37, 33, 36, 55, 86, 57, 65, 66, 48, 49, 59, 66",,Sports betting
