URL,Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://beturi.ro/meciuri-azi/,,15,18494,27702,9208,1884.32,2793.42,909.10,190,229,235,6,meciuri azi,meciuri azi,37000,54000,2,2,0,
https://beturi.ro/recenzie/ladycasino/,,,8,2068,2060,3.64,889.14,885.50,,2,2,,lady casino,lady casino,19000,18000,28,3,25,
https://beturi.ro/ponturi-pariuri/,,15,1344,1982,638,815.64,1209.15,393.51,216,58,63,5,ponturi pariuri,ponturi pariuri,11000,9100,8,5,3,
https://beturi.ro/ghid-pariuri/ungaria-putto/,,4.8,1328,1936,608,325.70,498.46,172.76,0,23,26,3,ungaria putto,ungaria putto,9300,9300,5,3,2,
https://beturi.ro/case-pariuri-oferte/superbet-club/,,4.5,1577,1461,-116,965.01,995.47,30.46,163,26,34,8,club superbet,club superbet,51000,47000,13,13,0,
https://beturi.ro/ghid-pariuri/loto-cehia-12-60/,,,1359,1214,-145,547.04,466.80,-80.24,,18,15,-3,cehia keno,cehia keno,40000,43000,14,15,-1,
https://beturi.ro/ponturi-pariuri/fotbal/,,15,676,1078,402,299.77,452.24,152.47,240,43,65,22,ponturi fotbal azi,ponturi fotbal azi,1900,1700,7,4,3,Article > How-to
https://beturi.ro/recenzie/vbet-casino/,,,2090,1069,-1021,1347.53,675.14,-672.40,,7,6,-1,vbet casino,vbet casino,12000,11000,3,7,-4,
https://beturi.ro/oferte-cazino/,,,354,1054,700,484.35,2523.75,2039.40,,4,16,12,bonus fara depunere 2026,rotiri gratuite fara depunere 2026,2100,4500,4,4,,
https://beturi.ro/recenzie/prowin/,,,249,946,697,124.65,473.05,348.40,,1,2,1,prowin casino,prowin casino,13000,13000,11,5,6,
https://beturi.ro/clasament-wta/,,4.8,47,883,836,2.92,238.57,235.65,0,8,8,,tenis clasamentul wta la zi,clasament wta,600,6300,6,4,,
https://beturi.ro/oferte-cazino/winmasters-bonus-fara-depunere/,,,235,838,603,164.04,388.82,224.78,,18,21,3,winmasters bonus fara depunere,winmaster,600,9900,4,2,,Article > How-to
https://beturi.ro/ghid-pariuri/powerbet-pariuri-sportive/,,4.5,388,824,436,213.14,385.04,171.89,168,19,20,1,power bet fotbal,power bet pariuri sportive,2400,5100,5,5,,
https://beturi.ro/recenzie/player-casino/,,,1306,751,-555,876.26,505.31,-370.95,,4,7,3,player casino,player casino,16000,15000,5,8,-3,
https://beturi.ro/rotiri-gratuite-fara-depunere/,New,,,733,733,,1520.16,1520.16,,,16,16,,bonusuri fara depunere,,2900,,8,,
https://beturi.ro/oferte-cazino/88-rotiri-gratuite-888/,,4.5,766,724,-42,823.70,811.18,-12.52,230,18,23,5,888 casino bonus fara depunere,888 casino bonus fara depunere,2100,2000,2,2,0,
https://beturi.ro/oferte-cazino/bonus-fara-depunere-12xbet/,,,696,698,2,348.40,351.11,2.71,,4,4,,12x bet,12x bet,5700,5800,3,3,0,
https://beturi.ro/ghid-pariuri/polonia-multi/,,4.6,214,657,443,83.56,259.34,175.78,162,39,76,37,biletul zilei loto polonia,loto polonia forum,4500,15000,15,13,,
https://beturi.ro/recenzie/don-casino/,New,,,648,648,,673.47,673.47,,,2,2,,don casino,,33000,,11,,
https://beturi.ro/ghid-pariuri/polonia-kaskada/,,,450,607,157,75.72,119.88,44.16,,12,15,3,polonia kaskada,polonia kaskada,4700,4600,9,7,2,
https://beturi.ro/oferte-cazino/888-casino-bonus-fara-depunere/,,4.5,270,585,315,235.13,387.81,152.67,232,16,17,1,888 casino 25 lei,888 casino 25 lei,800,800,3,1,2,
https://beturi.ro/case-pariuri-oferte/betano-bonus-fara-depunere/,,,218,513,295,412.84,1064.30,651.46,,15,18,3,betano bonus fara depunere,betano bonus fara depunere,2100,2000,8,3,5,
https://beturi.ro/,,15,535,501,-34,515.42,467.76,-47.66,583,27,26,-1,beturi,beturi,400,350,1,1,0,
https://beturi.ro/stiri-sport/program-meciuri-fcsb-europa-league/,,,320,470,150,162.41,256.91,94.50,,13,17,4,pe ce program joaca fcsb azi in europa league,pe ce program joaca fcsb azi in europa league,8600,8900,9,7,2,
https://beturi.ro/oferte-cazino/winner-bonus-fara-depunere/,,4.6,458,463,5,930.97,970.45,39.48,178,28,30,2,winner rotiri gratuite,winner bonus fara depunere,800,600,2,2,,
https://beturi.ro/ponturi-pariuri/fotbal/champions-league/,New,,,437,437,,436.86,436.86,,,3,3,,meciuri din champions league,,22000,,11,,
https://beturi.ro/oferte-cazino/bonus-fara-depunere-ladycasino/,,,1794,433,-1361,771.50,186.33,-585.17,,2,2,,lady casino,lady casino,19000,18000,4,10,-6,
https://beturi.ro/pariuri-online/,,15,229,413,184,1201.73,2161.48,959.75,259,17,33,16,case pariuri online,case pariuri online,1700,1500,11,6,5,
https://beturi.ro/recenzie/bilion-casino/,,15,146,412,266,129.68,404.67,274.99,0,2,2,,billion casino,billion casino,2400,2500,6,2,4,
https://beturi.ro/recenzie/maxwin-casino/,,,17,412,395,9.27,232.65,223.38,,2,4,2,maxwin ro,maxwin casino,4100,8300,18,7,,
https://beturi.ro/free-bet/,,15,163,401,238,474.13,1156.46,682.33,219,11,13,2,free bet fara depunere,free bet,300,200,3,1,,
https://beturi.ro/ghid-pariuri/loto-italia-millionday/,,4.5,310,398,88,119.71,222.16,102.45,0,10,10,,italia million day 5 din 55,italia million day 5 din 55,3100,3100,8,8,0,
https://beturi.ro/recenzie/conticazino-pariuri/,,,259,378,119,124.21,122.46,-1.76,,7,4,-3,conti casino,conti casino,22000,24000,15,15,0,
https://beturi.ro/oferte-cazino/bonus-fara-depunere-fortuna/,,6,314,373,59,474.02,578.98,104.96,120,12,13,1,fortuna bonus fara depunere,fortuna bonus fara depunere,1000,900,3,2,1,
https://beturi.ro/oferte-cazino/hot-spins-bonus-fara-depunere/,,,99,324,225,72.49,211.82,139.33,,4,4,,hot spin,hotspins,1700,4400,8,2,,
https://beturi.ro/oferte-cazino/promotii-fortuna-palace/,New,,,311,311,,132.33,132.33,,,2,2,,fortuna palace,,23000,,14,,
https://beturi.ro/aff/sp-getsbet/,,4.7,389,311,-78,292.63,125.99,-166.64,54,13,36,23,gets bet login,gets bet online,1900,1300,2,4,,
https://beturi.ro/ghid-pariuri/slovacia-keno/,,4.8,130,281,151,27.23,59.98,32.75,91,17,19,2,loto slovacia,loto slovacia keno,2000,1500,13,4,,
https://beturi.ro/recenzie/las-vegas-casino/,,4.5,55,261,206,48.69,233.80,185.11,181,2,12,10,las vegas casino ro,las vegas.ro casino,500,1800,6,5,,
https://beturi.ro/ghid-pariuri/loto-keno-letonia/,,4.5,405,260,-145,87.80,59.57,-28.23,0,26,23,-3,letonia 20/62,loto letonia 20 din 62,2100,1500,7,10,,
https://beturi.ro/ghid-casino/betmen-login/,,,301,256,-45,220.63,179.30,-41.33,,10,9,-1,betmen casino,betmen casino,2000,1900,6,6,0,
https://beturi.ro/ghid-pariuri/cat-dureaza-un-meci-de-baschet/,,,292,254,-38,,,,,13,13,,cat tine un meci de baschet,cat tine un meci de baschet,250,250,2,2,0,
https://beturi.ro/ghid-pariuri/spania-bono/,,,222,249,27,58.21,67.93,9.72,,7,8,1,spania bono,loto spania bono,4100,1700,7,8,,
https://beturi.ro/recenzie/888/,New,,,240,240,,205.70,205.70,,,2,2,,888,,51000,,6,,
https://beturi.ro/oferte-cazino/bonus-fara-depunere-toto-gaming/,,15,211,238,27,170.76,194.60,23.84,164,2,2,,totogaming bonus fara depunere,totogaming bonus fara depunere,2400,2300,5,5,0,
https://beturi.ro/case-pariuri-oferte/,,15,71,226,155,404.74,642.61,237.87,170,11,11,,bonusuri case de pariuri,oferta casa pariurilor azi,350,1800,6,5,,
https://beturi.ro/oferte-cazino/manhattan-bonus-fara-depunere/,New,8,,217,217,,21.52,21.52,45,,6,6,,manhattan casino bonus fara depunere,,1600,,3,,
https://beturi.ro/stiri-sport/top-10-jucatori-de-tenis/,,,60,208,148,,,,,5,5,,jucător de tenis,jucător de tenis,8100,5500,21,10,11,
https://beturi.ro/oferte-cazino/500-rotiri-gratuite-netbet/,,,191,206,15,404.00,401.73,-2.27,,14,12,-2,netbet bonus fara depunere,netbet bonus fara depunere,1300,1300,7,6,1,
https://beturi.ro/case-pariuri-oferte/bonus-fara-depunere-maxbet/,,,175,198,23,332.33,397.16,64.83,,14,14,,maxbet bonus fara depunere,maxbet bonus fara depunere,1200,1200,8,5,3,Article > How-to
https://beturi.ro/oferte-cazino/bonus-fara-depunere-elite-slots/,,,35,187,152,37.04,196.06,159.02,,6,8,2,elite casino bonus fara depunere,elite slots bonus fara depunere,40,400,1,1,,
https://beturi.ro/clasament-rezultate-fotbal-top-campionate/,,15,10,185,175,0.51,303.31,302.80,2,5,8,3,poziții superliga greciei,poziții superliga,1600,517000,19,29,,
https://beturi.ro/ghid-casino/betano-loto/,,,40,153,113,49.67,187.79,138.12,,2,2,,loto betano,loto betano,1200,1000,11,4,7,
https://beturi.ro/recenzie/mr-play/,,,119,140,21,103.10,122.02,18.92,,1,1,,mr play,mr play,3900,3600,9,8,1,
https://beturi.ro/ghid-pariuri/cat-dureaza-un-meci-de-handbal/,,4.5,133,140,7,,,,0,11,11,,cat dureaza un meci de handbal,cat dureaza un meci de handbal,250,250,2,2,0,
https://beturi.ro/stiri-sport/rxf-romania/,,4.5,58,133,75,4.29,88.09,83.80,160,9,13,4,gala rxf,rxf pariuri,5300,1000,15,7,,
