URL,Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://biletu-zilei.com/ponturi-pariuri/,,4.4,5449,9241,3792,3726.73,6226.16,2499.42,201,142,156,14,ponturi pariuri,ponturi pariuri azi,11000,3900,5,1,,
https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,,4.5,6479,6766,287,2235.73,2160.26,-75.47,273,288,313,25,loto polonia 20 din 80,polonia multi,9100,63000,8,6,,
https://biletu-zilei.com/pronosticuri-fotbal/,,4.4,5176,6013,837,2111.03,2489.90,378.86,182,116,150,34,biletul zilei fotbal,biletul zilei fotbal,1200,900,1,1,0,
https://biletu-zilei.com/fotbal-azi-la-tv/,,4.5,3435,3558,123,331.87,368.50,36.63,93,71,90,19,fotbal la tv,fotbal la tv,7800,8200,4,4,0,
https://biletu-zilei.com/ponturi-tenis/,,4.6,1279,1467,188,975.97,1139.61,163.64,11,20,21,1,ponturi tenis,ponturi tenis,1500,1400,2,2,0,
https://biletu-zilei.com/loterii-internationale/loto-italia-keno-10e-20-90/,,4.7,389,1270,881,127.14,423.90,296.76,0,20,49,29,loto italia 20 90,loto italia 20 din 90,7200,11000,11,9,,
https://biletu-zilei.com/loterii-internationale/loto-polonia-kaskada-12-24/,,,1075,1183,108,279.19,315.97,36.78,,14,13,-1,polonia kaskada,polonia kaskada,4700,4600,5,5,0,
https://biletu-zilei.com/,,4.6,1138,1175,37,779.81,752.23,-27.57,563,40,29,-11,biletul zilei,biletul zilei,2800,900,4,1,3,
https://biletu-zilei.com/aplicatii-jocuri-de-noroc/player-aplicatie/,New,,,1091,1091,,752.86,752.86,,,1,1,,player casino,,15000,,5,,
https://biletu-zilei.com/loterii-internationale/loto-spania-bono-6-49/,,4.5,454,970,516,142.23,291.90,149.67,0,15,18,3,spania bono 6/49,spania bono,1300,4000,6,6,,
https://biletu-zilei.com/loterii-internationale/strategie-polonia-3-numere/,,,950,955,5,475.03,475.71,0.68,,3,4,1,strategie loto polonia 3 numere,strategie loto polonia 3 numere,800,800,1,1,0,
https://biletu-zilei.com/loterii-internationale/loto-cehia-keno-12-60/,,,867,953,86,317.48,360.58,43.10,,19,18,-1,loto cehia,cehia keno 12 din 60,16000,7600,14,9,,
https://biletu-zilei.com/loterii-internationale/loto-ungaria-putto-8-20/,,,1001,888,-113,186.13,148.56,-37.57,,22,23,1,ungaria putto,ungaria putto,9300,9300,8,9,-1,
https://biletu-zilei.com/biletul-zilei/cota-2/,,9,568,881,313,242.84,344.92,102.07,4,13,16,3,cota 2 azi,cota 2,400,1500,3,3,,
https://biletu-zilei.com/loterii-internationale/polonia-keno/,,4.6,680,875,195,164.10,217.37,53.26,1,24,26,2,loto polonia 20/70,loto polonia 20/70,2800,3000,6,5,1,
https://biletu-zilei.com/biletul-zilei/,,9,744,810,66,253.89,264.46,10.58,192,51,52,1,biletul zilei pariu sigur,biletul zilei sigur 100,600,450,2,1,,
https://biletu-zilei.com/loterii-internationale/loto-italia-win-for-life-10-20/,,4.5,302,799,497,82.17,248.50,166.33,0,41,72,31,10 din 20,10 din 20,1200,1300,11,5,6,
https://biletu-zilei.com/casino-online/top-cazinouri-online-romania/,,4.4,1682,772,-910,5234.73,2147.04,-3087.69,212,29,39,10,top 10 casino online,top casino online,4900,4100,5,8,,
https://biletu-zilei.com/recenzii/don-pareri/,New,,,744,744,,912.88,912.88,,,6,6,,don ro,,45000,,13,,
https://biletu-zilei.com/loterii-internationale/loto-canada-atlantic-bucko-5-41/,,,283,712,429,29.27,101.51,72.24,,24,26,2,canada 5/41 ultimele rezultate,loto canada,500,5100,4,7,,
https://biletu-zilei.com/loterii-internationale/loto-italia-millionday-5-55/,,4.5,588,668,80,238.16,329.90,91.74,0,9,12,3,italia million day 5 din 55,italia million day 5 din 55,3100,3100,6,6,0,
https://biletu-zilei.com/loterii-internationale/loto-sua-pennsylvania-treasure-hunt-5-30/,,4.7,558,642,84,128.12,130.66,2.55,0,36,40,4,pennsylvania 5 30,pennsylvania 5 din 30,700,700,3,3,,
https://biletu-zilei.com/loterii-internationale/cu-cate-numere-se-castiga-la-joker/,,5,454,592,138,94.65,126.17,31.52,0,6,8,2,ce castigi cu 2 numere loto joker,ce castigi cu 2 numere loto joker,1600,1600,5,4,1,
https://biletu-zilei.com/loterii-internationale/loto-finlanda-keno-20-70/,,4.5,225,484,259,36.51,99.06,62.54,0,11,14,3,finlanda keno 20/70,finlanda keno 20/70,2200,2200,9,5,4,
