URL,Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://legalbet.ro/cazinouri/,,5,22534,37474,14940,48147.32,92440.14,44292.82,385,123,134,11,cazinouri noi romania,casino online romania,8600,22000,1,1,,
https://legalbet.ro/centrul-de-pariere/astazi/,,5,8846,11781,2935,1168.33,1954.11,785.78,126,233,190,-43,meciuri fotbal azi,fotbal azi,4900,16000,2,3,,
https://legalbet.ro/cazinouri/rotiri-gratuite/,,0,18532,5815,-12717,44974.11,13306.60,-31667.51,193,176,139,-37,rotiri gratuite fara depunere,rotiri gratuite fara depunere 2025,70000,18000,6,5,,
https://legalbet.ro/cazinouri/las-vegas/,,0,5821,5737,-84,5133.80,4968.86,-164.94,161,67,67,,lasvegas,lasvegas,48000,46000,4,4,0,
https://legalbet.ro/cazinouri/maxwin-casino/,,,3565,3825,260,2190.38,2310.72,120.34,,5,5,,max win casino,max win casino,11000,11000,3,3,0,
https://legalbet.ro/cazinouri/doncasino/,,,3055,3101,46,3162.85,3211.35,48.50,,4,2,-2,don casino,don casino,32000,33000,4,4,0,
https://legalbet.ro/cazinouri/seven-casino/,,0,2734,2982,248,1461.85,1582.26,120.40,125,12,15,3,seven casino,seven casino,28000,25000,4,3,1,
https://legalbet.ro/cazinouri/royal-casino/,,0,2673,2685,12,1791.47,1855.16,63.69,165,5,6,1,royal casino,royal casino,26000,25000,2,2,0,
https://legalbet.ro/scoala-pariurilor/recenzia-casei-de-pariuri-totalbet/,,0,592,2065,1473,427.86,1557.97,1130.12,188,51,55,4,pariuri sportive total bet ro,total bet,1600,20000,3,2,,
https://legalbet.ro/cazinouri/prowin-casino/,,,1487,1872,385,743.17,927.96,184.79,,2,2,,prowin casino,prowin casino,13000,13000,3,2,1,
https://legalbet.ro/scoala-de-cazino/aplicatie-magic-jackpot/,,0,1718,1751,33,2391.22,2448.70,57.49,107,13,17,4,magic jackpot,magic jackpot,18000,18000,4,4,0,
https://legalbet.ro/ponturi/ponturile-de-astazi/,,5,44,1536,1492,19.83,927.40,907.57,135,13,47,34,ponturi meciuri azi,ponturi pariuri,200,9100,6,6,,
https://legalbet.ro/cazinouri/bonusuri-fara-depunere/,,0,96,1479,1383,80.78,3167.38,3086.60,45,1,9,8,diamond casino bonus fara depunere,casino bonus fara depunere,2000,9100,7,7,,
https://legalbet.ro/case-de-pariuri-licentiate/,,4.4,1594,1473,-121,8785.43,8525.20,-260.23,625,52,59,7,case pariuri online,case pariuri online,1700,1500,6,5,1,
https://legalbet.ro/cazinouri/conti-cazino/,,0,2107,1306,-801,931.67,422.74,-508.93,162,10,10,,conti casino,conti casino,22000,24000,5,9,-4,
https://legalbet.ro/cazinouri/lady-casino/,,,1435,1058,-377,617.16,454.90,-162.26,,2,2,,lady casino,lady casino,19000,18000,5,6,-1,
https://legalbet.ro/feedback/gets-bet/,,0,3847,1011,-2836,1685.86,515.88,-1169.98,187,33,29,-4,gets bet,getsbet.ro,60000,5900,2,2,,
https://legalbet.ro/cazinouri/red-sevens/,,0,1649,981,-668,1080.24,646.40,-433.85,73,8,8,,redsevens,red sevens,14000,6700,2,4,,
https://legalbet.ro/cazinouri/one-casino/,,0,1214,957,-257,837.98,660.25,-177.73,160,1,1,,one casino,one casino,25000,25000,7,8,-1,
https://legalbet.ro/cazinouri/32rosu-casino/,,,488,790,302,577.07,939.99,362.93,,3,3,,32 rosu,32 rosu,6100,6200,7,5,2,
https://legalbet.ro/centrul-de-pariere/maine/,,5,751,772,21,174.28,174.90,0.62,105,26,31,5,meciuri maine,meciuri maine,600,700,1,1,0,
https://legalbet.ro/case-de-pariuri/powerbet/,,0,537,671,134,248.59,310.74,62.15,176,18,20,2,power bet pariuri sportive,power bet pariuri sportive,5200,5100,8,7,1,
https://legalbet.ro/feedback/victorybet/,,,592,655,63,432.30,430.84,-1.45,,5,4,-1,vbet ro,victory bet,3900,13000,5,8,,
https://legalbet.ro/feedback/topbet/,New,,,630,630,,598.53,598.53,,,1,1,,topbet,,12000,,2,,
https://legalbet.ro/,,,635,609,-26,629.12,608.61,-20.51,,7,6,-1,legalbet,legalbet,700,700,1,1,0,
https://legalbet.ro/cazinouri/bonusuri/bonusuri-la-inregistrare/,,0,587,531,-56,2830.43,2684.99,-145.44,201,12,13,1,bonusuri de bun venit,bonus la inregistrare,350,1000,1,3,,
https://legalbet.ro/ponturi/maine/,,4.7,1711,511,-1200,995.09,304.26,-690.83,139,59,51,-8,ponturi pariuri,ponturi pariuri,11000,9100,7,14,-7,
https://legalbet.ro/cazinouri/swiper-casino/,,0,214,495,281,271.30,629.02,357.72,0,1,1,,swiper casino,swiper casino,3600,3400,6,2,4,
https://legalbet.ro/cazinouri/joker-casino/,New,,,493,493,,492.65,492.65,,,1,1,,joker casino,,16000,,9,,
https://legalbet.ro/ponturi/,,4.5,809,460,-349,471.40,281.13,-190.27,176,52,45,-7,ponturi pariuri azi,pronosticuri sportive,4500,500,6,7,,
https://legalbet.ro/cazinouri/12xbet-casino/,,,445,448,3,222.14,223.70,1.56,,3,3,,12x bet,12x bet,5700,5800,5,5,0,
https://legalbet.ro/cazinouri/mrplay-casino/,,,148,424,276,128.88,348.14,219.26,,1,2,1,mr play,mr play,3900,3600,8,5,3,
https://legalbet.ro/scoala-pariurilor/casa-pariurilor-verificare-bilet-online/,,0,285,420,135,225.04,326.76,101.72,10,18,20,2,verificare bilet casa pariurilor cod scurt,verificare bilet casa pariurilor cod scurt,1900,3400,4,4,0,
https://legalbet.ro/cazinouri/manhattan/,,0,654,407,-247,706.17,426.90,-279.27,68,13,9,-4,manhattan casino,manhattan casino,3200,3200,3,5,-2,
https://legalbet.ro/scoala-pariurilor/fortuna-bet-verificare-bilet-online/,,0,502,374,-128,245.70,161.67,-84.03,191,38,35,-3,fortuna verificare bilet cod scurt,fortuna verificare bilet cod scurt,1400,1100,3,4,-1,
https://legalbet.ro/case-de-pariuri/888-sport/,,,104,344,240,196.23,533.25,337.01,,9,11,2,888 sport,888 sport,7400,6500,11,8,3,
https://legalbet.ro/feedback/,,,325,324,-1,13.88,13.17,-0.71,,2,2,,recenzii casino,recenzii casino,2700,2700,3,3,0,
https://legalbet.ro/scoala-pariurilor/recenzie-armin-bet/,,,16,318,302,13.73,272.47,258.74,,2,2,,arminbet,arminbet,300,300,2,1,1,
https://legalbet.ro/bonus/prowin-casino-bonus-de-bun-venit-100-pana-la-1-000-ron/,,,312,310,-2,155.81,155.01,-0.80,,2,2,,prowin casino,prowin casino,13000,13000,10,10,0,
https://legalbet.ro/rating-bonus/,,4.5,334,305,-29,1965.03,1863.53,-101.50,169,26,16,-10,bonusuri case de pariuri,bonusuri case de pariuri,350,350,2,2,0,
https://legalbet.ro/scoala-pariurilor/stanleybet-verificare-bilet-online/,,0,587,297,-290,181.12,106.95,-74.17,0,18,16,-2,verificare bilet stanleybet,stanleybet verificare bilet,700,350,2,2,,
https://legalbet.ro/alegerea-editorului/player-casino-ce-promotii-ai-cum-le-obtii-si-cum-le/,New,,,286,286,,197.36,197.36,,,1,1,,player casino,,15000,,11,,
https://legalbet.ro/cazinouri/777-casino/,,,238,282,44,309.56,349.53,39.97,,3,1,-2,777 casino romania,777 casino romania,3100,3000,5,4,1,
https://legalbet.ro/scoala-pariurilor/getsbet-verificare-bilet-online/,,0,365,280,-85,322.11,247.50,-74.61,160,23,20,-3,verificare bilet gets bet fotbal,verificare bilet gets bet fotbal,2700,2700,6,7,-1,
https://legalbet.ro/cazinouri/cashpot/,,0,315,278,-37,113.79,118.74,4.96,196,6,10,4,cashpot casino,cashpot casino,5900,6300,7,9,-2,
https://legalbet.ro/feedback/unibet/,,,280,271,-9,952.99,919.86,-33.13,,3,2,-1,unibet pareri,unibet pareri,250,250,1,1,0,
https://legalbet.ro/bonus/sets/freebet/,,0,420,270,-150,1245.48,820.92,-424.57,156,13,11,-2,free bet,bonus pariuri fara depunere,200,350,1,3,,
https://legalbet.ro/feedback/netbet/,,,260,248,-12,646.69,617.04,-29.66,,2,2,,netbet pareri,netbet pareri,200,200,1,1,0,
https://legalbet.ro/cazinouri/bet7-casino/,,,6,245,239,3.81,115.09,111.28,,1,1,,bet7 ro,bet7 casino,500,2100,14,3,,
https://legalbet.ro/feedback/casa-pariurilor/,,0,457,215,-242,549.88,194.42,-355.46,141,48,35,-13,casa pariurilor,casa pariurilor fotografii,300000,600,4,3,,
https://legalbet.ro/cazinouri/bonusuri/fara-rulaj/,,0,74,208,134,305.83,732.37,426.54,44,5,9,4,bonus fara rulaj,rotiri gratuite fara rulaj,1000,1000,7,5,,
https://legalbet.ro/feedback/mozzart/,,0,26,200,174,19.32,68.09,48.77,166,7,11,4,mozzart bet romania,pariuri mozzart,150,600,5,2,,
https://legalbet.ro/feedback/betano/,,,213,200,-13,624.72,608.26,-16.46,,4,3,-1,betano pareri,betano pareri,150,150,1,1,0,
https://legalbet.ro/bonus/sets/win2-fara-depunere/,,0,106,191,85,55.38,103.21,47.82,168,4,8,4,win 2,win 2,2200,2200,8,8,0,
https://legalbet.ro/feedback/las-vegas/,,,15,189,174,22.51,38.06,15.55,,4,4,,las vegas pariuri,recenzii casino,450,2700,10,6,,
https://legalbet.ro/cazinouri/magic-jackpot/,,,285,183,-102,403.85,255.49,-148.36,,22,20,-2,magic jackpot,magic jackpot,18000,18000,14,16,-2,
https://legalbet.ro/cazinouri/fortuna-palace/,,,1348,171,-1177,566.00,75.41,-490.59,,2,2,,fortuna palace,fortuna palace casino,22000,8800,7,15,,
https://legalbet.ro/feedback/favbet/,,,106,168,62,230.28,400.79,170.51,,3,4,1,favbet pareri,fav bet,100,1000,1,4,,
https://legalbet.ro/ponturi/sportul-baschet/,,5,155,141,-14,115.10,106.83,-8.27,0,7,8,1,ponturi baschet,ponturi baschet,400,300,5,4,1,
https://legalbet.ro/biletul-zilei/,,4.6,211,141,-70,63.89,44.72,-19.17,180,23,28,5,biletul zilei azi,biletul zilei cota mare,700,700,9,6,,
https://legalbet.ro/centrul-de-pariere/sassuolo-lecce-17-05-2026/,,,137,137,,,,,,1,1,,us lecce,us lecce,1100,1100,1,1,0,
https://legalbet.ro/cazinouri/platinum-casino/,,0,188,134,-54,199.94,145.54,-54.40,183,5,6,1,platinum casino bonus fara depunere,platinum casino bonus fara depunere,1400,900,3,3,0,
https://legalbet.ro/bonus/sets/fara-depunere-pariuri/,,,170,132,-38,617.27,401.46,-215.81,,12,11,-1,pariuri fara depunere,pariuri fara depunere,350,350,4,4,0,
https://legalbet.ro/cazinouri/zinx-casino/,,,0,132,132,,,,,1,1,,zinx,zinx,2500,2500,7,2,5,
https://legalbet.ro/ponturi/sportul-tenis/,,5,176,132,-44,126.16,98.53,-27.63,3,18,16,-2,ponturi tenis azi,ponturi tenis azi,500,800,8,10,-2,
https://legalbet.ro/feedback/winmasters/,,,128,128,,181.73,181.73,,,1,1,,winmasters pareri,winmasters pareri,150,150,1,1,0,
https://legalbet.ro/cazinouri/million/,,,2460,125,-2335,2717.31,165.52,-2551.78,,14,6,-8,million casino,casino million,29000,1000,4,4,,
https://legalbet.ro/cazinouri/magnum-casino/,,0,109,122,13,130.53,114.40,-16.13,137,5,9,4,magnum casino,magnum casino,900,1000,3,5,-2,
https://legalbet.ro/cazinouri/toto-gaming/,,,79,121,42,48.87,96.94,48.07,,3,2,-1,totogaming casino online,totogaming romania,700,1400,4,5,,
https://legalbet.ro/cazinouri/ultrabet-casino/,,,179,119,-60,155.67,103.83,-51.84,,2,2,,ultra bet,ultra bet,4700,4900,8,10,-2,
https://legalbet.ro/case-de-pariuri/betmen/,,,79,114,35,27.79,7.30,-20.49,,6,6,,betmen pariuri,betmen pariuri,1300,1300,9,5,4,
https://legalbet.ro/bonus/bonus-de-ziua-ta-betano/,,0,101,111,10,181.73,192.98,11.26,174,6,6,,bonus de ziua ta betano,bonus de ziua ta betano,100,100,1,1,0,
https://legalbet.ro/scoala-pariurilor/verificare-bilet-online-mozzartbet/,,,53,109,56,7.55,12.60,5.05,,11,12,1,mozzart verificare bilet fotbal,mozzart verificare bilet fotbal,100,100,2,1,1,
https://legalbet.ro/case-de-pariuri-licentiate/gets-bet/aplicatie/,,0,109,107,-2,71.46,72.57,1.12,205,17,14,-3,aplicatia gets bet,aplicatia gets bet,350,250,3,3,0,
https://legalbet.ro/feedback/pariuriplus/,,,139,106,-33,119.69,91.57,-28.12,,2,2,,pariuri plus,pariuri plus,5700,5400,10,11,-1,
https://legalbet.ro/ponturi/sportul-fotbal/,,5,139,102,-37,66.86,37.05,-29.81,131,16,18,2,ponturi fotbal azi,pronosticuri fotbal,1900,1300,12,15,,
