URL,Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://pariurix.com/casino/bonus-fara-depunere,,8,180990,122179,-58811,438418.46,282484.62,-155933.84,99,315,285,-30,rotiri gratuite fara depunere,bonus fara depunere,70000,48000,1,1,,
https://pariurix.com/casino,,5,33289,13027,-20262,93223.21,39168.94,-54054.27,159,197,156,-41,casino online,top cazinouri online,47000,4600,4,1,,
https://pariurix.com/ponturi,,4.5,14110,8375,-5735,8842.53,5352.39,-3490.14,75,162,143,-19,ponturi pariuri,ponturi pariuri,11000,9100,1,2,-1,
https://pariurix.com/casino/recenzii/million-casino,,,4872,4583,-289,5428.45,5206.82,-221.63,,15,15,,million casino,million casino,29000,27000,2,2,0,
https://pariurix.com/casino/recenzii/player-cazino,,,3304,3030,-274,2107.53,1935.96,-171.57,,11,10,-1,player casino,player casino,16000,15000,2,2,0,
https://pariurix.com/casino/recenzii/fortuna-casino,,7,4699,2990,-1709,2558.90,1627.09,-931.81,89,19,17,-2,fortuna casino,fortuna casino,50000,47000,5,7,-2,
https://pariurix.com/casino/recenzii/king-casino,,,3426,2952,-474,1858.53,1612.33,-246.20,,5,6,1,king casino,king casino,23000,20000,2,2,0,
https://pariurix.com/ponturi/fotbal,,4.7,4300,2859,-1441,2107.48,1664.23,-443.25,51,100,95,-5,ponturi fotbal,ponturi fotbal azi,1000,1700,1,2,,
https://pariurix.com/ponturi/tenis,,0,2655,2649,-6,1998.87,2013.65,14.77,6,31,29,-2,ponturi tenis,ponturi tenis,1500,1400,1,1,0,
https://pariurix.com/casino/recenzii/lady-casino,,,2805,2583,-222,1206.31,1110.64,-95.68,,2,2,,lady casino,lady casino,19000,18000,2,2,0,
https://pariurix.com/,,7,2371,2488,117,5027.57,4566.30,-461.27,718,61,67,6,pariurix,pariurix,1300,1200,1,1,0,
https://pariurix.com/casino/recenzii/eliteslots-casino,,0,2475,2222,-253,1588.82,1420.48,-168.34,83,18,17,-1,elite slots,elite slots,13000,11000,2,2,0,
https://pariurix.com/agentii,,4.4,1824,2149,325,10174.90,11661.69,1486.79,123,69,77,8,case pariuri online,case pariuri online,1700,1500,2,3,-1,
https://pariurix.com/casino/loto/polonia-keno.html,,6,1683,2013,330,421.47,493.03,71.56,120,37,44,7,loto polonia 20/70,loto polonia 20/70,2800,3000,3,3,0,
https://pariurix.com/casino/recenzii/gets-bet-casino,,4.5,2098,1736,-362,1085.23,751.50,-333.73,84,77,74,-3,gets bet pariuri sportive,get bet casino,4600,1300,6,2,,
https://pariurix.com/casino/recenzii/royal-casino,,0,1978,1618,-360,1495.79,1173.02,-322.77,89,5,5,,royal casino,royal casino,26000,25000,5,5,0,
https://pariurix.com/casino/recenzii/conti-cazino,,4.6,4025,1600,-2425,1907.50,721.83,-1185.67,89,23,18,-5,conti casino,conti casino,22000,24000,2,7,-5,
https://pariurix.com/agentii/top-bonus,,0,1649,1557,-92,8569.99,8051.69,-518.30,100,28,34,6,pariuri bonus,pariuri bonus,400,400,1,1,0,
https://pariurix.com/casino/recenzii/32rosu-casino,,,1442,1229,-213,1706.69,1429.30,-277.39,,3,3,,32 rosu,32 rosu,6100,6200,2,2,0,
https://pariurix.com/agentii/recenzii/king,,,1402,1193,-209,759.15,644.77,-114.38,,3,4,1,king casino,king casino,23000,20000,6,6,0,
https://pariurix.com/casino/recenzii/prowin-casino,,,1857,1183,-674,928.69,591.31,-337.38,,1,1,,prowin casino,prowin casino,13000,13000,2,4,-2,
https://pariurix.com/agentii/bonus-pariuri-fara-depunere,,0,1193,1085,-108,3675.48,3525.26,-150.22,212,27,19,-8,bonus pariuri fara depunere,bonus pariuri fara depunere,350,350,1,1,0,
https://pariurix.com/discutii/discutii-polonia-multi-1-si-2-stratgii-de-castig-sfaturi-etc-57653.html,,,1644,1063,-581,799.74,528.36,-271.38,,9,10,1,loto polonia forum,loto polonia forum,15000,15000,7,9,-2,
https://pariurix.com/agentii/recenzii/betano/promotii,,4.9,958,1030,72,1769.84,1951.24,181.40,101,50,45,-5,cod promo betano,betano bonus fara depunere,700,2000,2,5,,
https://pariurix.com/casino/recenzii/winner,,0,906,989,83,643.70,742.99,99.29,88,19,14,-5,winner casino,winner casino,5100,5600,3,2,1,
https://pariurix.com/casino/recenzii/fortuna-palace-casino,,,2460,949,-1511,1057.47,403.84,-653.62,,2,2,,fortuna palace,fortuna palace,22000,23000,5,9,-4,
https://pariurix.com/agentii/recenzii/superbet/promotii,,0,1216,908,-308,4556.03,3534.73,-1021.30,89,58,57,-1,cod bonus superbet,cod bonus superbet,3600,3200,2,4,-2,
https://pariurix.com/agentii/recenzii/victorybet/promotii,,,102,851,749,72.72,540.58,467.86,,4,4,,victory bet,victory bet,14000,13000,17,6,11,
https://pariurix.com/agentii/recenzii/888sport,,,374,766,392,583.85,1112.48,528.63,,9,9,,888 sport,888 sport,7400,6500,3,4,-1,
https://pariurix.com/agentii/stradale/verificare-bilet-total-bet.html,,0,1105,727,-378,777.51,482.62,-294.89,83,57,58,1,total bet,te1 total bet,29000,500,3,2,,
https://pariurix.com/casino/loto/cehia-keno.html,,,1059,727,-332,358.07,274.54,-83.53,,17,17,,cehia keno,cehia keno,40000,43000,13,17,-4,
https://pariurix.com/agentii/recenzii/fortuna,,0,905,686,-219,219.19,226.30,7.11,93,132,150,18,fortuna pariuri sportive,fortuna fotbal,3400,1200,2,5,,
https://pariurix.com/ponturi/handbal,,,939,644,-295,710.50,468.47,-242.03,,6,6,,ponturi handbal,ponturi handbal,500,300,1,1,0,
https://pariurix.com/casino/loto/polonia-multi-20-80.html,,4.4,1850,617,-1233,759.77,196.82,-562.95,22,110,98,-12,loto polonia 20 din 80,biletul zilei loto polonia,9100,4500,10,9,,
