URL,Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://www.pontul-zilei.com/bonusuri-cazino-fara-depunere/,,4.4,37068,53623,16555,84257.85,124365.18,40107.34,503,308,303,-5,bonus fara depunere,bonus fara depunere,49000,48000,4,2,2,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/don-ro-casino-bonus-fara-depunere/,,,2910,4784,1874,3448.57,5505.31,2056.74,,9,11,2,don ro,don casino,44000,33000,8,5,,
https://www.pontul-zilei.com/,,6,1754,1986,232,1366.31,1661.13,294.82,800,18,27,9,pontul zilei,pontul zilei,1800,1800,1,1,0,
https://www.pontul-zilei.com/agentie/million/,,,1547,1959,412,1808.11,2224.70,416.59,,8,7,-1,million casino,million casino,29000,27000,7,5,2,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/prowin-bonus-fara-depunere/,,,1189,1478,289,594.36,739.14,144.78,,2,2,,prowin casino,prowin casino,13000,13000,4,3,1,
https://www.pontul-zilei.com/articole-pariuri-sportive/loto-italia-keno-afla-acum-cand-si-unde-poti-paria/,,0,1241,1384,143,318.81,362.62,43.81,0,44,48,4,loto italia 20/90 combinatii,loto italia 20/90 combinatii,4100,4800,5,6,-1,
https://www.pontul-zilei.com/agentie/mr-play/,,,944,902,-42,768.09,733.58,-34.51,,2,2,,mr play,mr play,3900,3600,2,2,0,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/las-vegas-bonus-fara-depunere/,,4.5,864,803,-61,1152.86,1117.07,-35.79,198,40,43,3,las vegas.ro,las vegas.ro,8900,9700,10,11,-1,
https://www.pontul-zilei.com/agentie/elite-slots/,,0,831,776,-55,510.95,485.63,-25.32,159,5,9,4,elite slots,elite slots,13000,11000,6,6,0,
https://www.pontul-zilei.com/agentie/kingcasino/,,,570,764,194,307.99,412.88,104.88,,2,3,1,king casino,king casino,23000,20000,10,8,2,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/lady-casino-bonus-fara-depunere/,,,735,677,-58,315.99,291.14,-24.85,,2,2,,lady casino,lady casino,19000,18000,8,8,0,
https://www.pontul-zilei.com/agentie/totogaming/,,0,1037,653,-384,780.75,469.59,-311.16,172,14,12,-2,toto casino,toto gaming,24000,3300,11,6,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/player-bonus-fara-depunere/,,4.4,727,619,-108,802.62,772.89,-29.73,167,15,19,4,player casino,player,16000,9900,12,8,,
https://www.pontul-zilei.com/blog/superbet-club/,,4.4,737,615,-122,453.56,364.98,-88.58,74,21,21,,superbet club,club superbet,45000,47000,16,17,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/superbet-bonus-fara-depunere/,,4.4,415,598,183,1855.33,2548.76,693.44,192,38,45,7,superbet rotiri gratuite,cod bonus superbet,1300,3200,5,9,,
https://www.pontul-zilei.com/top-case-de-pariuri-online/,,4.5,337,577,240,1772.50,3082.72,1310.22,207,39,47,8,top case pariuri online,case pariuri online,250,1500,3,10,,
https://www.pontul-zilei.com/agentie/gets-bet/,,0,530,537,7,316.86,275.77,-41.09,261,40,51,11,gets bet pariuri sportive,getsbet,4600,92000,8,3,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/maxbet-bonus-fara-depunere/,,,525,501,-24,984.49,952.90,-31.59,,31,31,,maxbet bonus fara depunere,maxbet bonus fara depunere,1200,1200,3,3,0,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/betano-casino-bonus-fara-depunere/,,4.5,580,478,-102,1059.45,865.18,-194.26,163,43,41,-2,cod promotional betano,cod promotional betano,1000,1000,6,6,0,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/netbet-bonus-fara-depunere/,,7,578,468,-110,1154.60,897.58,-257.01,127,33,26,-7,netbet bonus fara depunere,netbet bonus fara depunere,1300,1300,3,3,0,
https://www.pontul-zilei.com/agentie/maxwin/,,,666,438,-228,374.28,278.65,-95.62,,5,5,,max win casino,max win,11000,11000,8,12,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/888casino-bonus-fara-depunere/,,0,583,342,-241,682.87,339.55,-343.33,160,25,25,,888 casino bonus fara depunere,888 casino bonus,2100,500,3,2,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/casa-pariurilor-bonus-fara-depunere/,,4.5,223,327,104,452.43,690.54,238.11,176,24,28,4,casa pariurilor bonus fara depunere,casa pariurilor bonus fara depunere,1300,1200,6,5,1,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/fortuna-bonus-fara-depunere/,,4.5,318,326,8,548.49,557.22,8.73,185,22,24,2,fortuna bonus fara depunere,fortuna bonus fara depunere,1000,900,5,5,0,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/32rosu-bonus-fara-depunere/,,,310,321,11,359.90,379.34,19.44,,3,3,,32 rosu,32 rosu,6100,6200,8,9,-1,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/conticazino-bonus-fara-depunere/,,,205,316,111,128.29,201.46,73.17,,18,14,-4,conti casino,conti casino,22000,24000,18,14,4,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/12xbet-bonus-fara-depunere/,,,4,280,276,3.06,139.95,136.89,,3,3,,12xbet ro,12x bet,250,5800,14,7,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/getsbet-bonus-fara-depunere/,,7,243,255,12,241.31,260.49,19.18,185,22,23,1,gets bet bonus fara depunere,gets bet bonus fara depunere,400,450,5,5,0,
https://www.pontul-zilei.com/agentie/betmen/,,0,120,245,125,50.93,87.50,36.57,163,10,11,1,betmen pariuri,betmen bet,1300,1000,8,5,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/vlad-cazino-bonus-fara-depunere/,,0,297,239,-58,505.49,398.61,-106.88,74,16,16,,vlad cazino bonus fara depunere,vlad cazino rotiri gratuite fara depunere,800,1000,3,6,,
https://www.pontul-zilei.com/agentie/casa-pariurilor/,,4.9,375,235,-140,288.12,233.15,-54.98,211,28,61,33,oferta casa pariurilor azi,oferta casa pariurilor azi,2000,1800,3,7,-4,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/mr-play-bonus-fara-depunere/,,,194,233,39,154.98,185.47,30.48,,3,2,-1,mr play casino,mr play casino,2600,2500,8,7,1,
https://www.pontul-zilei.com/agentie/powerbet/,,,237,225,-12,101.61,95.35,-6.26,,7,4,-3,power bet pariuri sportive,power bet pariuri sportive,5200,5100,10,10,0,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/million-bonus-fara-depunere/,,0,169,217,48,119.37,116.89,-2.48,159,10,11,1,million casino bonus fara depunere,million casino bonus,400,500,4,4,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/stanleybet-bonus-fara-depunere/,,0,198,208,10,297.96,318.96,21.01,68,19,19,,stanleybet rotiri gratuite,stanleybet rotiri gratuite,700,700,5,5,0,
https://www.pontul-zilei.com/category/ponturi-pariuri/,,4.9,150,200,50,75.52,122.13,46.61,140,28,25,-3,biletul zilei lavinia,ponturi pariuri,700,9100,7,17,,
https://www.pontul-zilei.com/agentie/bilion-casino/,,0,4,185,181,3.51,160.71,157.20,0,1,2,1,billion casino,billion casino,2400,2500,22,5,17,
https://www.pontul-zilei.com/articole-pariuri-sportive/multi-polonia-loto-strategii-rezultate-combinatii-sfaturi/,,0,242,184,-58,78.79,65.63,-13.16,82,17,18,1,loto polonia combinatii,loto polonia combinatii,2000,1900,5,6,-1,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/winner-bonus-fara-depunere/,,4.4,135,168,33,322.45,397.66,75.22,175,23,32,9,winner bonus fara depunere,winner bonus fara depunere,700,600,6,5,1,
https://www.pontul-zilei.com/bonusuri-cazino/bonus-de-bun-venit/betano-bonusuri-de-bun-venit/,,0,134,161,27,265.67,312.76,47.09,171,11,12,1,betano bonus de bun venit,betano bonus de bun venit,400,400,3,2,1,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/winbet-bonus-fara-depunere/,,6,91,159,68,117.40,182.12,64.71,166,12,15,3,winbet bonus,winbet bonus fara depunere,900,800,7,5,,
https://www.pontul-zilei.com/articole-pariuri-sportive/loto-grecia-kino-cele-mai-bune-strategii-de-joc-ca-sa-iti-cresti-sansele-de-castig/,,0,337,146,-191,86.40,87.01,0.61,0,8,3,-5,combinatii grecia kino,loto grecia combinații,2200,1600,5,5,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/mr-bit-bonus-fara-depunere/,,4.5,105,145,40,166.95,253.71,86.76,75,12,12,,mr bit rotiri gratuite,mr bit bonus fara depunere,700,400,8,3,,
https://www.pontul-zilei.com/agentie/one-casino/,,0,622,128,-494,429.05,88.62,-340.43,62,1,2,1,one casino,one casino,25000,25000,10,17,-7,
https://www.pontul-zilei.com/agentie/prowin/,,,0,127,127,0.00,63.49,63.49,,1,2,1,prowin,prowin casino,9500,13000,22,14,,
https://www.pontul-zilei.com/agentie/fortuna/,,0,92,121,29,78.50,63.27,-15.23,239,48,54,6,oferte fortuna,fortuna pariuri fotbal,150,1000,2,8,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/winmasters-bonus-fara-depunere/,,,149,119,-30,136.42,112.69,-23.73,,19,16,-3,winmasters bonus fara depunere,winmasters bonus fara depunere,600,500,6,8,-2,
https://www.pontul-zilei.com/articole-pariuri-sportive/slovacia-keno-loto-strategii-rezultate-scheme-combinatii-live-sfaturi-de-la-jucatori/,,0,116,115,-1,18.99,18.10,-0.89,0,8,12,4,rezultate slovacia keno,rezultate slovacia keno,2500,2400,9,9,0,
https://www.pontul-zilei.com/blog/superbet-verificare-bilet/,,0,168,110,-58,279.83,201.51,-78.32,175,39,34,-5,scanare bilet superbet,verificare superbet bilet,2900,400,12,7,,
https://www.pontul-zilei.com/agentie/hot-spins/,,,58,109,51,39.90,71.45,31.55,,5,5,,hot spins,hot spin,300,1600,4,8,,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/frank-casino-bonus-fara-depunere/,,,126,106,-20,151.50,129.79,-21.70,,12,12,,frank casino 100 rotiri gratuite,frank casino 100 rotiri gratuite,500,500,6,7,-1,
https://www.pontul-zilei.com/articole-pariuri-sportive/win-for-life-loto-italia-strategii-rezultate-combinatii-sfaturi/,,0,57,106,49,8.05,27.40,19.35,0,22,24,2,win for life combinatii,win for life combinatii,250,250,5,4,1,
https://www.pontul-zilei.com/blog/betano-contact/,,0,151,103,-48,209.67,148.27,-61.40,0,4,4,,betano contact telefon,betano contact telefon,700,700,3,5,-2,
https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/admiral-bonus-fara-depunere/,,,81,102,21,144.32,190.90,46.58,,6,7,1,admiral bonus fara depunere,admiral bonus fara depunere,200,250,3,2,1,
